age,at_risk,hits,hazard,cohort
1,211,211,1.0,events
2,0,0,,events
3,0,0,,events
4,0,0,,events
5,0,0,,events
6,0,0,,events
7,0,0,,events
8,0,0,,events
9,0,0,,events
10,0,0,,events
11,0,0,,events
12,0,0,,events
13,0,0,,events
14,0,0,,events
15,0,0,,events
16,0,0,,events
17,0,0,,events
18,0,0,,events
19,0,0,,events
20,0,0,,events
21,0,0,,events
22,0,0,,events
23,0,0,,events
24,0,0,,events
25,0,0,,events
26,0,0,,events
27,0,0,,events
28,0,0,,events
29,0,0,,events
30,0,0,,events
31,0,0,,events
32,0,0,,events
1,211,32,0.15165876777251186,controls
2,179,19,0.10614525139664804,controls
3,160,9,0.05625,controls
4,151,10,0.06622516556291391,controls
5,141,10,0.07092198581560284,controls
6,131,6,0.04580152671755725,controls
7,125,3,0.024,controls
8,122,4,0.03278688524590164,controls
9,118,5,0.0423728813559322,controls
10,113,4,0.035398230088495575,controls
11,109,8,0.07339449541284404,controls
12,101,5,0.04950495049504951,controls
13,96,3,0.03125,controls
14,93,2,0.021505376344086023,controls
15,91,2,0.02197802197802198,controls
16,89,6,0.06741573033707865,controls
17,83,3,0.03614457831325301,controls
18,80,3,0.0375,controls
19,77,2,0.025974025974025976,controls
20,75,3,0.04,controls
21,72,4,0.05555555555555555,controls
22,68,1,0.014705882352941176,controls
23,67,1,0.014925373134328358,controls
24,66,3,0.045454545454545456,controls
25,63,1,0.015873015873015872,controls
26,62,4,0.06451612903225806,controls
27,58,3,0.05172413793103448,controls
28,55,3,0.05454545454545454,controls
29,52,1,0.019230769230769232,controls
30,51,1,0.0196078431372549,controls
31,50,3,0.06,controls
32,47,1,0.02127659574468085,controls
