age,at_risk,hits,hazard,cohort
1,105,105,1.0,events
2,0,0,,events
3,0,0,,events
4,0,0,,events
5,0,0,,events
6,0,0,,events
7,0,0,,events
8,0,0,,events
9,0,0,,events
10,0,0,,events
11,0,0,,events
12,0,0,,events
13,0,0,,events
14,0,0,,events
15,0,0,,events
16,0,0,,events
17,0,0,,events
18,0,0,,events
19,0,0,,events
20,0,0,,events
21,0,0,,events
22,0,0,,events
23,0,0,,events
24,0,0,,events
25,0,0,,events
26,0,0,,events
27,0,0,,events
28,0,0,,events
29,0,0,,events
30,0,0,,events
31,0,0,,events
32,0,0,,events
1,105,17,0.1619047619047619,controls
2,88,11,0.125,controls
3,77,5,0.06493506493506493,controls
4,72,7,0.09722222222222222,controls
5,65,4,0.06153846153846154,controls
6,61,2,0.03278688524590164,controls
7,59,4,0.06779661016949153,controls
8,55,3,0.05454545454545454,controls
9,52,0,0.0,controls
10,52,3,0.057692307692307696,controls
11,49,5,0.10204081632653061,controls
12,44,1,0.022727272727272728,controls
13,43,2,0.046511627906976744,controls
14,41,1,0.024390243902439025,controls
15,40,4,0.1,controls
16,36,4,0.1111111111111111,controls
17,32,2,0.0625,controls
18,30,0,0.0,controls
19,30,0,0.0,controls
20,30,1,0.03333333333333333,controls
21,29,1,0.034482758620689655,controls
22,28,0,0.0,controls
23,28,1,0.03571428571428571,controls
24,27,0,0.0,controls
25,27,1,0.037037037037037035,controls
26,26,1,0.038461538461538464,controls
27,25,0,0.0,controls
28,25,2,0.08,controls
29,23,1,0.043478260869565216,controls
30,22,0,0.0,controls
31,22,1,0.045454545454545456,controls
32,21,0,0.0,controls
