event_id,symbol,anchor_hour,control_idx,start_idx,end_idx,funding_rate_scaled,funding_abs,rv_rank,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
ferw_BTCUSDT_005408,BTCUSDT,8,55522,55522,55618,0.0001,0.0001,0.7011789744882243,0.0033878604645490792,0.06050028460988589,0.08247422680412371,1,0.0
ferw_BTCUSDT_005505,BTCUSDT,8,35937,35937,36033,6.027e-05,6.027e-05,0.9444117729423954,0.005715061842595249,0.07440530763294143,0.16494845360824742,1,1.0
ferw_BTCUSDT_005952,BTCUSDT,0,40034,40034,40130,3.44e-06,3.44e-06,0.6637206306533366,0.002605897610982231,0.0563628578563413,0.041237113402061855,1,4.0
ferw_BTCUSDT_006752,BTCUSDT,8,13665,13665,13761,7.487e-05,7.487e-05,0.5347223389061581,0.0037052259780861628,0.09168789604648371,0.05154639175257732,1,14.0
ferw_BTCUSDT_007488,BTCUSDT,0,139969,139969,140065,0.0001,0.0001,0.5647707860763393,0.0023166425423828143,0.027095755875131532,0.0,0,
ferw_BTCUSDT_016736,BTCUSDT,8,155072,155072,155168,0.0001,0.0001,0.5924724859279173,0.0017677452820841668,0.02868566806543116,0.010309278350515464,1,73.0
ferw_BTCUSDT_016864,BTCUSDT,16,47393,47393,47489,0.00032669,0.00032669,0.7730656137108292,0.003245086031463934,0.04851875693369682,0.030927835051546393,1,65.0
ferw_BTCUSDT_020704,BTCUSDT,16,28675,28675,28771,0.0001,0.0001,0.8357164860399339,0.0034244715334530757,0.05232509827140853,0.061855670103092786,1,13.0
ferw_BTCUSDT_020801,BTCUSDT,16,62754,62754,62850,0.0001,0.0001,0.9689322019658909,0.005487841054174823,0.05518751222798163,0.061855670103092786,1,6.0
ferw_BTCUSDT_020928,BTCUSDT,0,162720,162720,162816,0.0001,0.0001,0.9731832311182055,0.006368281647188999,0.06977355140579397,0.10309278350515463,1,3.0
ferw_BTCUSDT_021025,BTCUSDT,0,80928,80928,81024,-0.00011779,0.00011779,0.9743874093365819,0.0067309900042593065,0.0627553698702788,0.041237113402061855,1,11.0
ferw_BTCUSDT_021122,BTCUSDT,0,71522,71522,71618,-4.114e-05,4.114e-05,0.9924332801254586,0.00856473431985203,0.12316559521170473,0.27835051546391754,1,2.0
ferw_BTCUSDT_021219,BTCUSDT,0,22561,22561,22657,0.0001,0.0001,0.9883110700383657,0.009186814888335835,0.16629064054298207,0.3711340206185567,1,0.0
ferw_BTCUSDT_021376,BTCUSDT,16,33378,33378,33474,0.00015069,0.00015069,0.9584082444201741,0.004579847156373534,0.07108720989544991,0.14432989690721648,1,15.0
ferw_BTCUSDT_021952,BTCUSDT,16,126690,126690,126786,0.0001,0.0001,0.9404967935254418,0.004640380193377375,0.07769966254218226,0.08247422680412371,1,3.0
ferw_BTCUSDT_022240,BTCUSDT,16,36354,36354,36450,-3.144e-05,3.144e-05,0.9369290655016943,0.004451693929267874,0.03934833577039076,0.09278350515463918,1,0.0
ferw_BTCUSDT_022337,BTCUSDT,16,41729,41729,41825,0.0001,0.0001,0.8605337589963314,0.004264475033628106,0.04338553148259617,0.09278350515463918,1,9.0
ferw_BTCUSDT_023296,BTCUSDT,16,44513,44513,44609,0.00022977,0.00022977,0.9761180654736901,0.007995084193009913,0.06631916552046205,0.17525773195876287,1,1.0
ferw_BTCUSDT_023680,BTCUSDT,16,62176,62176,62272,-8.919e-05,8.919e-05,0.8445601949088465,0.003894951228757589,0.05205436148706356,0.08247422680412371,1,36.0
ferw_BTCUSDT_023968,BTCUSDT,16,133409,133409,133505,0.0001951,0.0001951,0.8425270940099134,0.0034467668179784263,0.06672671736504339,0.09278350515463918,1,4.0
ferw_BTCUSDT_024065,BTCUSDT,16,50753,50753,50849,0.00021812,0.00021812,0.8562827298440169,0.0031345683392941556,0.04620762472015508,0.041237113402061855,1,37.0
ferw_BTCUSDT_024162,BTCUSDT,16,47296,47296,47392,0.0001,0.0001,0.9097426419110028,0.004902967468189934,0.04452764233511183,0.061855670103092786,1,37.0
ferw_BTCUSDT_024259,BTCUSDT,16,33666,33666,33762,0.00059294,0.00059294,0.9893640258758296,0.007974599954737474,0.08585159905023616,0.35051546391752575,1,0.0
ferw_BTCUSDT_024356,BTCUSDT,17,25798,25798,25894,0.00037289,0.00037289,0.9833151306393346,0.006626038444512018,0.08256598266921365,0.24742268041237114,1,2.0
ferw_BTCUSDT_024453,BTCUSDT,17,19172,19172,19268,0.00054618,0.00054618,0.9516984513708029,0.006586892249096882,0.05902825864462537,0.18556701030927836,1,3.0
ferw_BTCUSDT_024550,BTCUSDT,17,28583,28583,28679,0.0001,0.0001,0.9366154190820242,0.005143788370946402,0.054401971326095484,0.09278350515463918,1,3.0
ferw_BTCUSDT_024647,BTCUSDT,17,23109,23109,23205,0.0001,0.0001,0.9414713377579882,0.007115381625179343,0.09797877567062983,0.28865979381443296,1,3.0
ferw_BTCUSDT_024800,BTCUSDT,8,166979,166979,167075,6.413e-05,6.413e-05,0.7848441569352265,0.00425815748726906,0.07728667503665532,0.15463917525773196,1,6.0
ferw_BTCUSDT_024960,BTCUSDT,0,156097,156097,156193,0.0001,0.0001,0.896905542020219,0.004474953238553471,0.08203604279274437,0.15463917525773196,1,12.0
ferw_BTCUSDT_025057,BTCUSDT,0,81504,81504,81600,1.141e-05,1.141e-05,0.8772914391329917,0.004183545916780232,0.06923345692725681,0.10309278350515463,1,5.0
ferw_BTCUSDT_025154,BTCUSDT,0,39264,39264,39360,-4.883e-05,4.883e-05,0.7863395782575822,0.003066084691598885,0.06196166983953149,0.061855670103092786,1,5.0
ferw_BTCUSDT_025251,BTCUSDT,0,69312,69312,69408,-0.00012372,0.00012372,0.659032736845053,0.0028471889629135185,0.04280791417179346,0.010309278350515464,1,55.0
ferw_BTCUSDT_025348,BTCUSDT,1,62214,62214,62310,-9.808e-05,9.808e-05,0.8401523425466969,0.00375844785028178,0.052542734877784596,0.07216494845360824,1,2.0
ferw_BTCUSDT_025445,BTCUSDT,1,146791,146791,146887,2.637e-05,2.637e-05,0.8973536083340334,0.004985297129242091,0.10899667675895153,0.10309278350515463,1,0.0
ferw_BTCUSDT_025542,BTCUSDT,1,20069,20069,20165,0.0001994,0.0001994,0.7632025539779888,0.005413314785735027,0.09714647310627211,0.21649484536082475,1,19.0
ferw_BTCUSDT_027168,BTCUSDT,0,40515,40515,40611,-2.037e-05,2.037e-05,0.9010893612254613,0.005106943392147817,0.054817921799072473,0.17525773195876287,1,4.0
ferw_BTCUSDT_027265,BTCUSDT,0,132195,132195,132291,0.00019134,0.00019134,0.8474726259486404,0.0031018163417392093,0.010271324369890934,0.0,0,
ferw_BTCUSDT_027520,BTCUSDT,16,144640,144640,144736,2.717e-05,2.717e-05,0.6689966114985018,0.0028377875210797597,0.03155729534506713,0.010309278350515464,1,87.0
ferw_BTCUSDT_029184,BTCUSDT,0,27937,27937,28033,0.00032006,0.00032006,0.7984989778487216,0.0038677137759927857,0.05731470718112941,0.07216494845360824,1,0.0
ferw_BTCUSDT_029312,BTCUSDT,8,84417,84417,84513,3.541e-05,3.541e-05,0.46341258506258926,0.002291798008998977,0.04959171182468233,0.020618556701030927,1,21.0
ferw_BTCUSDT_029409,BTCUSDT,8,87490,87490,87586,-3.85e-06,3.85e-06,0.28807863563807445,0.0021105319074283774,0.04660485790241808,0.020618556701030927,1,64.0
ferw_BTCUSDT_029664,BTCUSDT,0,145346,145346,145442,0.0001,0.0001,0.459665630513316,0.002175031581757235,0.031116739461918216,0.0,0,
ferw_BTCUSDT_030080,BTCUSDT,8,47456,47456,47552,0.00023355,0.00023355,0.7002604385449046,0.0030048537787334996,0.046288236852877994,0.041237113402061855,1,2.0
ferw_BTCUSDT_030177,BTCUSDT,8,77026,77026,77122,1.412e-05,1.412e-05,0.5986277969139433,0.0022845429837912495,0.05509032055967422,0.0,0,
ferw_BTCUSDT_030274,BTCUSDT,8,176865,176865,176961,5.776e-05,5.776e-05,0.3681312834299476,0.0020939964982962327,0.03264692850779778,0.0,0,
ferw_BTCUSDT_030371,BTCUSDT,8,17410,17410,17506,0.0001,0.0001,0.7299280293483436,0.003162527023099756,0.042861172566371696,0.041237113402061855,1,11.0
ferw_BTCUSDT_030468,BTCUSDT,9,65989,65989,66085,6.251e-05,6.251e-05,0.6288330672939595,0.0021733442876487527,0.030486828852656026,0.010309278350515464,1,18.0
ferw_BTCUSDT_030592,BTCUSDT,16,49410,49410,49506,0.00013782,0.00013782,0.7042762328824667,0.005232259505713112,0.0901205981448549,0.15463917525773196,1,8.0
ferw_BTCUSDT_030689,BTCUSDT,16,115073,115073,115169,-3.502e-05,3.502e-05,0.6813688425887031,0.0026151956172990806,0.03156577661318233,0.0,0,
ferw_BTCUSDT_030786,BTCUSDT,16,80416,80416,80512,2.919e-05,2.919e-05,0.5700803718950405,0.002614648259930924,0.04225683160627057,0.010309278350515464,1,96.0
ferw_BTCUSDT_032608,BTCUSDT,16,35299,35299,35395,0.0001,0.0001,0.7418689966114985,0.00413027864734224,0.09631530012692549,0.13402061855670103,1,29.0
ferw_BTCUSDT_032960,BTCUSDT,8,28258,28258,28354,0.00045562,0.00045562,0.7264387129295136,0.0036807828193051225,0.09625544582984345,0.17525773195876287,1,6.0
ferw_BTCUSDT_033856,BTCUSDT,16,34337,34337,34433,2.089e-05,2.089e-05,0.9920580245876389,0.008139163781358875,0.09348414360522667,0.3711340206185567,1,1.0
ferw_BTCUSDT_085632,BTCUSDT,0,22562,22562,22658,0.0001,0.0001,0.9883166708672884,0.009170361526160017,0.16623849613437874,0.36082474226804123,1,1.0
ferw_BTCUSDT_131872,BTCUSDT,16,20515,20515,20611,0.00036744,0.00036744,0.9062477246632502,0.004394762818455354,0.047206632329791755,0.061855670103092786,1,1.0
