age,at_risk,hits,hazard,cohort
1,88,12,0.13636363636363635,events
2,76,7,0.09210526315789473,events
3,69,5,0.07246376811594203,events
4,64,4,0.0625,events
5,60,2,0.03333333333333333,events
6,58,3,0.05172413793103448,events
7,55,3,0.05454545454545454,events
8,52,1,0.019230769230769232,events
9,51,4,0.0784313725490196,events
10,47,1,0.02127659574468085,events
11,46,3,0.06521739130434782,events
12,43,1,0.023255813953488372,events
13,42,2,0.047619047619047616,events
14,40,2,0.05,events
15,38,3,0.07894736842105263,events
16,35,3,0.08571428571428572,events
17,32,2,0.0625,events
18,30,0,0.0,events
19,30,0,0.0,events
20,30,0,0.0,events
21,30,0,0.0,events
22,30,0,0.0,events
23,30,0,0.0,events
24,30,2,0.06666666666666667,events
25,28,0,0.0,events
26,28,0,0.0,events
27,28,2,0.07142857142857142,events
28,26,1,0.038461538461538464,events
29,25,0,0.0,events
30,25,3,0.12,events
31,22,1,0.045454545454545456,events
32,21,3,0.14285714285714285,events
33,18,1,0.05555555555555555,events
34,17,0,0.0,events
35,17,1,0.058823529411764705,events
36,16,1,0.0625,events
37,15,0,0.0,events
38,15,0,0.0,events
39,15,0,0.0,events
40,15,0,0.0,events
41,15,1,0.06666666666666667,events
42,14,0,0.0,events
43,14,1,0.07142857142857142,events
44,13,0,0.0,events
45,13,0,0.0,events
46,13,0,0.0,events
47,13,0,0.0,events
48,13,0,0.0,events
49,13,1,0.07692307692307693,events
50,12,1,0.08333333333333333,events
51,11,2,0.18181818181818182,events
52,9,0,0.0,events
53,9,0,0.0,events
54,9,0,0.0,events
55,9,0,0.0,events
56,9,4,0.4444444444444444,events
57,5,0,0.0,events
58,5,0,0.0,events
59,5,0,0.0,events
60,5,0,0.0,events
61,5,0,0.0,events
62,5,0,0.0,events
63,5,0,0.0,events
64,5,0,0.0,events
65,5,0,0.0,events
66,5,0,0.0,events
67,5,0,0.0,events
68,5,1,0.2,events
69,4,0,0.0,events
70,4,0,0.0,events
71,4,0,0.0,events
72,4,0,0.0,events
73,4,0,0.0,events
74,4,0,0.0,events
75,4,0,0.0,events
76,4,0,0.0,events
77,4,0,0.0,events
78,4,0,0.0,events
79,4,0,0.0,events
80,4,0,0.0,events
81,4,0,0.0,events
82,4,0,0.0,events
83,4,0,0.0,events
84,4,0,0.0,events
85,4,0,0.0,events
86,4,0,0.0,events
87,4,0,0.0,events
88,4,0,0.0,events
89,4,0,0.0,events
90,4,0,0.0,events
91,4,0,0.0,events
92,4,0,0.0,events
93,4,0,0.0,events
94,4,0,0.0,events
95,4,1,0.25,events
96,3,1,0.3333333333333333,events
1,98,10,0.10204081632653061,controls
2,88,7,0.07954545454545454,controls
3,81,5,0.06172839506172839,controls
4,76,5,0.06578947368421052,controls
5,71,5,0.07042253521126761,controls
6,66,4,0.06060606060606061,controls
7,62,1,0.016129032258064516,controls
8,61,1,0.01639344262295082,controls
9,60,3,0.05,controls
10,57,1,0.017543859649122806,controls
11,56,5,0.08928571428571429,controls
12,51,3,0.058823529411764705,controls
13,48,1,0.020833333333333332,controls
14,47,3,0.06382978723404255,controls
15,44,3,0.06818181818181818,controls
16,41,1,0.024390243902439025,controls
17,40,0,0.0,controls
18,40,1,0.025,controls
19,39,2,0.05128205128205128,controls
20,37,1,0.02702702702702703,controls
21,36,1,0.027777777777777776,controls
22,35,0,0.0,controls
23,35,1,0.02857142857142857,controls
24,34,0,0.0,controls
25,34,1,0.029411764705882353,controls
26,33,0,0.0,controls
27,33,0,0.0,controls
28,33,0,0.0,controls
29,33,1,0.030303030303030304,controls
30,32,0,0.0,controls
31,32,1,0.03125,controls
32,31,0,0.0,controls
33,31,1,0.03225806451612903,controls
34,30,0,0.0,controls
35,30,0,0.0,controls
36,30,1,0.03333333333333333,controls
37,29,3,0.10344827586206896,controls
38,26,0,0.0,controls
39,26,0,0.0,controls
40,26,0,0.0,controls
41,26,1,0.038461538461538464,controls
42,25,1,0.04,controls
43,24,0,0.0,controls
44,24,0,0.0,controls
45,24,0,0.0,controls
46,24,0,0.0,controls
47,24,0,0.0,controls
48,24,1,0.041666666666666664,controls
49,23,0,0.0,controls
50,23,0,0.0,controls
51,23,0,0.0,controls
52,23,0,0.0,controls
53,23,1,0.043478260869565216,controls
54,22,3,0.13636363636363635,controls
55,19,1,0.05263157894736842,controls
56,18,0,0.0,controls
57,18,0,0.0,controls
58,18,0,0.0,controls
59,18,0,0.0,controls
60,18,0,0.0,controls
61,18,1,0.05555555555555555,controls
62,17,0,0.0,controls
63,17,0,0.0,controls
64,17,1,0.058823529411764705,controls
65,16,1,0.0625,controls
66,15,0,0.0,controls
67,15,0,0.0,controls
68,15,1,0.06666666666666667,controls
69,14,0,0.0,controls
70,14,0,0.0,controls
71,14,0,0.0,controls
72,14,0,0.0,controls
73,14,1,0.07142857142857142,controls
74,13,0,0.0,controls
75,13,0,0.0,controls
76,13,0,0.0,controls
77,13,0,0.0,controls
78,13,1,0.07692307692307693,controls
79,12,0,0.0,controls
80,12,0,0.0,controls
81,12,0,0.0,controls
82,12,0,0.0,controls
83,12,0,0.0,controls
84,12,0,0.0,controls
85,12,0,0.0,controls
86,12,0,0.0,controls
87,12,1,0.08333333333333333,controls
88,11,0,0.0,controls
89,11,0,0.0,controls
90,11,0,0.0,controls
91,11,0,0.0,controls
92,11,0,0.0,controls
93,11,1,0.09090909090909091,controls
94,10,0,0.0,controls
95,10,0,0.0,controls
96,10,1,0.1,controls
