age,at_risk,hits,hazard,cohort
1,46,5,0.10869565217391304,events
2,41,6,0.14634146341463414,events
3,35,3,0.08571428571428572,events
4,32,1,0.03125,events
5,31,2,0.06451612903225806,events
6,29,2,0.06896551724137931,events
7,27,1,0.037037037037037035,events
8,26,0,0.0,events
9,26,3,0.11538461538461539,events
10,23,1,0.043478260869565216,events
11,22,3,0.13636363636363635,events
12,19,0,0.0,events
13,19,0,0.0,events
14,19,2,0.10526315789473684,events
15,17,1,0.058823529411764705,events
16,16,2,0.125,events
17,14,0,0.0,events
18,14,1,0.07142857142857142,events
19,13,0,0.0,events
20,13,0,0.0,events
21,13,0,0.0,events
22,13,0,0.0,events
23,13,0,0.0,events
24,13,0,0.0,events
25,13,0,0.0,events
26,13,1,0.07692307692307693,events
27,12,2,0.16666666666666666,events
28,10,1,0.1,events
29,9,0,0.0,events
30,9,0,0.0,events
31,9,1,0.1111111111111111,events
32,8,1,0.125,events
33,7,0,0.0,events
34,7,0,0.0,events
35,7,0,0.0,events
36,7,0,0.0,events
37,7,0,0.0,events
38,7,0,0.0,events
39,7,0,0.0,events
40,7,0,0.0,events
41,7,0,0.0,events
42,7,0,0.0,events
43,7,0,0.0,events
44,7,0,0.0,events
45,7,0,0.0,events
46,7,0,0.0,events
47,7,0,0.0,events
48,7,0,0.0,events
49,7,0,0.0,events
50,7,1,0.14285714285714285,events
51,6,0,0.0,events
52,6,0,0.0,events
53,6,0,0.0,events
54,6,0,0.0,events
55,6,0,0.0,events
56,6,3,0.5,events
57,3,0,0.0,events
58,3,0,0.0,events
59,3,0,0.0,events
60,3,0,0.0,events
61,3,0,0.0,events
62,3,0,0.0,events
63,3,0,0.0,events
64,3,0,0.0,events
65,3,0,0.0,events
66,3,0,0.0,events
67,3,0,0.0,events
68,3,1,0.3333333333333333,events
69,2,0,0.0,events
70,2,0,0.0,events
71,2,0,0.0,events
72,2,0,0.0,events
73,2,0,0.0,events
74,2,0,0.0,events
75,2,0,0.0,events
76,2,0,0.0,events
77,2,0,0.0,events
78,2,0,0.0,events
79,2,0,0.0,events
80,2,0,0.0,events
81,2,0,0.0,events
82,2,0,0.0,events
83,2,0,0.0,events
84,2,0,0.0,events
85,2,0,0.0,events
86,2,0,0.0,events
87,2,0,0.0,events
88,2,0,0.0,events
89,2,0,0.0,events
90,2,0,0.0,events
91,2,0,0.0,events
92,2,0,0.0,events
93,2,0,0.0,events
94,2,0,0.0,events
95,2,0,0.0,events
96,2,1,0.5,events
1,50,6,0.12,controls
2,44,4,0.09090909090909091,controls
3,40,6,0.15,controls
4,34,3,0.08823529411764706,controls
5,31,2,0.06451612903225806,controls
6,29,4,0.13793103448275862,controls
7,25,0,0.0,controls
8,25,1,0.04,controls
9,24,1,0.041666666666666664,controls
10,23,0,0.0,controls
11,23,2,0.08695652173913043,controls
12,21,0,0.0,controls
13,21,1,0.047619047619047616,controls
14,20,1,0.05,controls
15,19,1,0.05263157894736842,controls
16,18,0,0.0,controls
17,18,0,0.0,controls
18,18,1,0.05555555555555555,controls
19,17,0,0.0,controls
20,17,0,0.0,controls
21,17,1,0.058823529411764705,controls
22,16,0,0.0,controls
23,16,1,0.0625,controls
24,15,0,0.0,controls
25,15,0,0.0,controls
26,15,0,0.0,controls
27,15,0,0.0,controls
28,15,0,0.0,controls
29,15,0,0.0,controls
30,15,0,0.0,controls
31,15,0,0.0,controls
32,15,0,0.0,controls
33,15,0,0.0,controls
34,15,0,0.0,controls
35,15,0,0.0,controls
36,15,1,0.06666666666666667,controls
37,14,1,0.07142857142857142,controls
38,13,0,0.0,controls
39,13,0,0.0,controls
40,13,0,0.0,controls
41,13,0,0.0,controls
42,13,0,0.0,controls
43,13,0,0.0,controls
44,13,0,0.0,controls
45,13,0,0.0,controls
46,13,0,0.0,controls
47,13,0,0.0,controls
48,13,0,0.0,controls
49,13,0,0.0,controls
50,13,0,0.0,controls
51,13,0,0.0,controls
52,13,0,0.0,controls
53,13,0,0.0,controls
54,13,1,0.07692307692307693,controls
55,12,1,0.08333333333333333,controls
56,11,0,0.0,controls
57,11,0,0.0,controls
58,11,0,0.0,controls
59,11,0,0.0,controls
60,11,0,0.0,controls
61,11,0,0.0,controls
62,11,0,0.0,controls
63,11,0,0.0,controls
64,11,0,0.0,controls
65,11,2,0.18181818181818182,controls
66,9,0,0.0,controls
67,9,0,0.0,controls
68,9,0,0.0,controls
69,9,1,0.1111111111111111,controls
70,8,0,0.0,controls
71,8,0,0.0,controls
72,8,0,0.0,controls
73,8,1,0.125,controls
74,7,0,0.0,controls
75,7,0,0.0,controls
76,7,0,0.0,controls
77,7,0,0.0,controls
78,7,0,0.0,controls
79,7,0,0.0,controls
80,7,0,0.0,controls
81,7,0,0.0,controls
82,7,1,0.14285714285714285,controls
83,6,0,0.0,controls
84,6,0,0.0,controls
85,6,0,0.0,controls
86,6,0,0.0,controls
87,6,1,0.16666666666666666,controls
88,5,0,0.0,controls
89,5,0,0.0,controls
90,5,0,0.0,controls
91,5,0,0.0,controls
92,5,0,0.0,controls
93,5,0,0.0,controls
94,5,0,0.0,controls
95,5,0,0.0,controls
96,5,1,0.2,controls
