age,at_risk,hits,hazard,cohort
1,739,1,0.0013531799729364006,events
2,738,11,0.014905149051490514,events
3,727,3,0.0041265474552957355,events
4,724,3,0.004143646408839779,events
5,721,6,0.008321775312066574,events
6,715,9,0.012587412587412588,events
7,706,7,0.009915014164305949,events
8,699,6,0.008583690987124463,events
9,693,8,0.011544011544011544,events
10,685,4,0.00583941605839416,events
11,681,5,0.007342143906020558,events
12,676,6,0.008875739644970414,events
13,670,3,0.004477611940298508,events
14,667,5,0.0074962518740629685,events
15,662,3,0.004531722054380665,events
16,659,7,0.010622154779969651,events
17,652,2,0.003067484662576687,events
18,650,2,0.003076923076923077,events
19,648,5,0.007716049382716049,events
20,643,3,0.004665629860031105,events
21,640,6,0.009375,events
22,634,4,0.006309148264984227,events
23,630,4,0.006349206349206349,events
24,626,4,0.006389776357827476,events
25,622,7,0.011254019292604502,events
26,615,3,0.004878048780487805,events
27,612,1,0.0016339869281045752,events
28,611,3,0.004909983633387889,events
29,608,10,0.01644736842105263,events
30,598,6,0.010033444816053512,events
31,592,2,0.0033783783783783786,events
32,590,0,0.0,events
33,590,3,0.005084745762711864,events
34,587,7,0.01192504258943782,events
35,580,7,0.01206896551724138,events
36,573,1,0.0017452006980802793,events
37,572,3,0.005244755244755245,events
38,569,7,0.012302284710017574,events
39,562,2,0.0035587188612099642,events
40,560,2,0.0035714285714285713,events
41,558,1,0.0017921146953405018,events
42,557,6,0.010771992818671455,events
43,551,0,0.0,events
44,551,5,0.009074410163339383,events
45,546,3,0.005494505494505495,events
46,543,2,0.003683241252302026,events
47,541,2,0.0036968576709796672,events
48,539,2,0.0037105751391465678,events
49,537,3,0.00558659217877095,events
50,534,6,0.011235955056179775,events
51,528,2,0.003787878787878788,events
52,526,2,0.0038022813688212928,events
53,524,1,0.0019083969465648854,events
54,523,5,0.009560229445506692,events
55,518,4,0.007722007722007722,events
56,514,4,0.007782101167315175,events
57,510,4,0.00784313725490196,events
58,506,8,0.015810276679841896,events
59,498,3,0.006024096385542169,events
60,495,8,0.01616161616161616,events
61,487,5,0.01026694045174538,events
62,482,2,0.004149377593360996,events
63,480,3,0.00625,events
64,477,1,0.0020964360587002098,events
65,476,4,0.008403361344537815,events
66,472,3,0.006355932203389831,events
67,469,1,0.0021321961620469083,events
68,468,2,0.004273504273504274,events
69,466,5,0.01072961373390558,events
70,461,0,0.0,events
71,461,6,0.013015184381778741,events
72,455,4,0.008791208791208791,events
73,451,1,0.0022172949002217295,events
74,450,4,0.008888888888888889,events
75,446,3,0.006726457399103139,events
76,443,1,0.002257336343115124,events
77,442,2,0.004524886877828055,events
78,440,3,0.006818181818181818,events
79,437,1,0.002288329519450801,events
80,436,2,0.0045871559633027525,events
81,434,2,0.004608294930875576,events
82,432,2,0.004629629629629629,events
83,430,2,0.004651162790697674,events
84,428,2,0.004672897196261682,events
85,426,0,0.0,events
86,426,7,0.01643192488262911,events
87,419,4,0.00954653937947494,events
88,415,8,0.01927710843373494,events
89,407,4,0.009828009828009828,events
90,403,5,0.01240694789081886,events
91,398,1,0.002512562814070352,events
92,397,6,0.015113350125944584,events
93,391,1,0.0025575447570332483,events
94,390,3,0.007692307692307693,events
95,387,2,0.00516795865633075,events
96,385,2,0.005194805194805195,events
1,739,0,0.0,controls
2,739,0,0.0,controls
3,739,0,0.0,controls
4,739,134,0.18132611637347767,controls
5,605,0,0.0,controls
6,605,0,0.0,controls
7,605,0,0.0,controls
8,605,0,0.0,controls
9,605,0,0.0,controls
10,605,0,0.0,controls
11,605,0,0.0,controls
12,605,0,0.0,controls
13,605,0,0.0,controls
14,605,0,0.0,controls
15,605,0,0.0,controls
16,605,138,0.228099173553719,controls
17,467,0,0.0,controls
18,467,0,0.0,controls
19,467,0,0.0,controls
20,467,0,0.0,controls
21,467,0,0.0,controls
22,467,0,0.0,controls
23,467,0,0.0,controls
24,467,0,0.0,controls
25,467,123,0.2633832976445396,controls
26,344,0,0.0,controls
27,344,0,0.0,controls
28,344,103,0.29941860465116277,controls
29,241,0,0.0,controls
30,241,0,0.0,controls
31,241,0,0.0,controls
32,241,0,0.0,controls
33,241,0,0.0,controls
34,241,0,0.0,controls
35,241,0,0.0,controls
36,241,0,0.0,controls
37,241,0,0.0,controls
38,241,0,0.0,controls
39,241,0,0.0,controls
40,241,0,0.0,controls
41,241,131,0.5435684647302904,controls
42,110,0,0.0,controls
43,110,0,0.0,controls
44,110,0,0.0,controls
45,110,0,0.0,controls
46,110,0,0.0,controls
47,110,0,0.0,controls
48,110,0,0.0,controls
49,110,0,0.0,controls
50,110,0,0.0,controls
51,110,0,0.0,controls
52,110,0,0.0,controls
53,110,0,0.0,controls
54,110,0,0.0,controls
55,110,0,0.0,controls
56,110,0,0.0,controls
57,110,0,0.0,controls
58,110,0,0.0,controls
59,110,0,0.0,controls
60,110,0,0.0,controls
61,110,0,0.0,controls
62,110,0,0.0,controls
63,110,0,0.0,controls
64,110,0,0.0,controls
65,110,0,0.0,controls
66,110,0,0.0,controls
67,110,0,0.0,controls
68,110,0,0.0,controls
69,110,0,0.0,controls
70,110,0,0.0,controls
71,110,0,0.0,controls
72,110,0,0.0,controls
73,110,0,0.0,controls
74,110,0,0.0,controls
75,110,0,0.0,controls
76,110,0,0.0,controls
77,110,0,0.0,controls
78,110,0,0.0,controls
79,110,0,0.0,controls
80,110,0,0.0,controls
81,110,0,0.0,controls
82,110,0,0.0,controls
83,110,0,0.0,controls
84,110,0,0.0,controls
85,110,0,0.0,controls
86,110,0,0.0,controls
87,110,0,0.0,controls
88,110,0,0.0,controls
89,110,0,0.0,controls
90,110,0,0.0,controls
91,110,0,0.0,controls
92,110,0,0.0,controls
93,110,0,0.0,controls
94,110,0,0.0,controls
95,110,0,0.0,controls
96,110,0,0.0,controls
