event_id,symbol,year,anchor_hour,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
law_BTCUSDT_000576,BTCUSDT,2020,0,-0.0005202627363599386,0.014949263980364974,0.010309278350515465,0
law_BTCUSDT_000896,BTCUSDT,2020,8,0.00045362893006654285,0.015750439714748727,0.02061855670103093,0
law_BTCUSDT_001216,BTCUSDT,2020,16,-2.7279169741636607e-05,-0.010749177768504262,0.0,0
law_BTCUSDT_001344,BTCUSDT,2020,0,0.0004074726877551526,0.03289256646337195,0.04123711340206186,0
law_BTCUSDT_001600,BTCUSDT,2020,16,0.00020569566832079637,-0.004312069509555028,0.0,0
law_BTCUSDT_001728,BTCUSDT,2020,0,-0.0005421400270268298,-0.008869703087347202,-0.020618556701030927,-1
law_BTCUSDT_001856,BTCUSDT,2020,8,-8.379789968704951e-05,0.008859943136116356,-0.010309278350515464,-1
law_BTCUSDT_001984,BTCUSDT,2020,16,-0.0004015035555655958,-0.0035023003025090073,-0.010309278350515464,-1
law_BTCUSDT_002112,BTCUSDT,2020,0,-0.0007307094104184702,-0.017477465136291892,-0.020618556701030927,-1
law_BTCUSDT_002240,BTCUSDT,2020,8,0.0010121100605468881,0.03904978128745426,0.030927835051546393,0
law_BTCUSDT_002560,BTCUSDT,2020,16,0.0008183777695778556,0.009667643531181404,0.041237113402061855,0
law_BTCUSDT_002784,BTCUSDT,2020,0,-0.0006937437464731131,-0.016363401128345112,-0.020618556701030927,-1
law_BTCUSDT_002912,BTCUSDT,2020,8,4.6139459576857635e-06,-0.001356463809024145,0.0,0
law_BTCUSDT_003136,BTCUSDT,2020,16,-0.0005310240574002333,-0.02328647525559686,-0.010309278350515464,-1
law_BTCUSDT_003264,BTCUSDT,2020,0,-0.0010163082363103069,-0.004755100363028345,-0.010309278350515464,0
law_BTCUSDT_003392,BTCUSDT,2020,8,0.0001915183145357719,0.004100059318210992,-0.010309278350515464,-1
law_BTCUSDT_003520,BTCUSDT,2020,16,-0.0002132934459498875,-0.002214936641736335,0.0,0
law_BTCUSDT_003648,BTCUSDT,2020,0,-0.0007009878813805167,-0.002360150403907229,-0.020618556701030927,-1
law_BTCUSDT_003776,BTCUSDT,2020,8,-7.285389858769893e-05,-0.0006043190330862654,-0.010309278350515464,-1
law_BTCUSDT_003904,BTCUSDT,2020,16,-0.0004389741776953382,-0.012925424429755954,-0.010309278350515464,-1
law_BTCUSDT_004032,BTCUSDT,2020,0,-0.0009697787914803792,-0.01610633321983687,-0.020618556701030927,-1
law_BTCUSDT_004160,BTCUSDT,2020,8,-0.0003150679204157504,-0.0008933604662449933,-0.010309278350515464,-1
law_BTCUSDT_004288,BTCUSDT,2020,16,-0.00041566498279034633,-0.010560316880158172,-0.010309278350515464,-1
law_BTCUSDT_004416,BTCUSDT,2020,0,-0.0011140773733039182,-0.02075473663049228,-0.020618556701030927,-1
law_BTCUSDT_004544,BTCUSDT,2020,8,-0.00060093427047502,-0.009317174007801653,-0.010309278350515464,-1
law_BTCUSDT_004672,BTCUSDT,2020,16,-0.0006390163193385319,-0.018173895880081052,-0.010309278350515464,-1
law_BTCUSDT_004800,BTCUSDT,2020,0,-0.0009398972365896791,-0.0003972852715904973,-0.010309278350515464,0
law_BTCUSDT_004928,BTCUSDT,2020,8,-4.803183083536191e-05,0.008293260417347393,0.0,0
law_BTCUSDT_005056,BTCUSDT,2020,16,-3.901193008265438e-05,-0.009345599155386495,0.0,0
law_BTCUSDT_005184,BTCUSDT,2020,0,-0.0007932314136114421,-0.009839047666550735,-0.020618556701030927,-1
law_BTCUSDT_005312,BTCUSDT,2020,8,0.0012007860903947524,0.04880589637579126,0.030927835051546393,0
law_BTCUSDT_007776,BTCUSDT,2020,0,-0.000683310226698673,0.0043048561947437725,0.010309278350515465,0
law_BTCUSDT_007968,BTCUSDT,2020,0,-0.0009140967343068238,-0.014410768543449168,-0.010309278350515464,0
law_BTCUSDT_008096,BTCUSDT,2020,8,1.9234766330333527e-05,0.004783403191837669,-0.010309278350515464,-1
law_BTCUSDT_008544,BTCUSDT,2020,0,-0.0009804830638802848,-0.01756676701311789,-0.020618556701030927,-1
law_BTCUSDT_008672,BTCUSDT,2020,8,5.752644502729563e-05,-0.003635968478501941,-0.010309278350515464,-1
law_BTCUSDT_008800,BTCUSDT,2020,16,0.0001617538530962778,0.013939146924208352,0.0,0
law_BTCUSDT_009920,BTCUSDT,2020,8,-5.310907561733571e-06,0.011307108921135917,0.0,0
law_BTCUSDT_010496,BTCUSDT,2020,8,0.0001514027482610546,0.0019581036482727576,-0.010309278350515464,-1
law_BTCUSDT_010720,BTCUSDT,2020,16,0.0004103115048068051,0.03350906260223786,0.030927835051546393,0
law_BTCUSDT_010976,BTCUSDT,2020,8,0.00032806577719787615,0.019770743490107368,0.010309278350515464,0
law_BTCUSDT_011296,BTCUSDT,2020,16,-0.00011676180929624542,-0.01159904469311893,-0.010309278350515464,-1
law_BTCUSDT_011584,BTCUSDT,2020,16,0.00017444087721687172,-0.00953175574888757,-0.010309278350515464,-1
law_BTCUSDT_011712,BTCUSDT,2020,0,-0.000404278931816877,0.013933478615907088,0.010309278350515465,0
law_BTCUSDT_011936,BTCUSDT,2020,8,-0.00021620749497397993,-0.003950093024004876,-0.010309278350515464,-1
law_BTCUSDT_012064,BTCUSDT,2020,16,-0.0004070123644142401,-0.012528985739348821,-0.010309278350515464,-1
law_BTCUSDT_012192,BTCUSDT,2020,0,-0.001002808828552016,-0.005614102648545019,-0.010309278350515464,0
law_BTCUSDT_012352,BTCUSDT,2020,16,-0.00034455624197598784,0.009737967941241852,0.0,0
