age,at_risk,hits,hazard,cohort
1,378,1,0.0026455026455026454,events
2,377,6,0.015915119363395226,events
3,371,1,0.0026954177897574125,events
4,370,1,0.002702702702702703,events
5,369,4,0.01084010840108401,events
6,365,1,0.0027397260273972603,events
7,364,3,0.008241758241758242,events
8,361,3,0.008310249307479225,events
9,358,3,0.008379888268156424,events
10,355,2,0.005633802816901409,events
11,353,3,0.0084985835694051,events
12,350,2,0.005714285714285714,events
13,348,1,0.0028735632183908046,events
14,347,4,0.011527377521613832,events
15,343,3,0.008746355685131196,events
16,340,4,0.011764705882352941,events
17,336,1,0.002976190476190476,events
18,335,0,0.0,events
19,335,2,0.005970149253731343,events
20,333,2,0.006006006006006006,events
21,331,5,0.015105740181268883,events
22,326,2,0.006134969325153374,events
23,324,2,0.006172839506172839,events
24,322,2,0.006211180124223602,events
25,320,3,0.009375,events
26,317,2,0.006309148264984227,events
27,315,0,0.0,events
28,315,1,0.0031746031746031746,events
29,314,6,0.01910828025477707,events
30,308,3,0.00974025974025974,events
31,305,0,0.0,events
32,305,0,0.0,events
33,305,2,0.006557377049180328,events
34,303,5,0.0165016501650165,events
35,298,2,0.006711409395973154,events
36,296,0,0.0,events
37,296,1,0.0033783783783783786,events
38,295,2,0.006779661016949152,events
39,293,1,0.0034129692832764505,events
40,292,1,0.003424657534246575,events
41,291,0,0.0,events
42,291,3,0.010309278350515464,events
43,288,0,0.0,events
44,288,3,0.010416666666666666,events
45,285,2,0.007017543859649123,events
46,283,3,0.01060070671378092,events
47,280,0,0.0,events
48,280,2,0.007142857142857143,events
49,278,2,0.007194244604316547,events
50,276,3,0.010869565217391304,events
51,273,1,0.003663003663003663,events
52,272,2,0.007352941176470588,events
53,270,1,0.003703703703703704,events
54,269,3,0.011152416356877323,events
55,266,1,0.0037593984962406013,events
56,265,2,0.007547169811320755,events
57,263,2,0.0076045627376425855,events
58,261,4,0.01532567049808429,events
59,257,2,0.007782101167315175,events
60,255,3,0.011764705882352941,events
61,252,2,0.007936507936507936,events
62,250,2,0.008,events
63,248,2,0.008064516129032258,events
64,246,1,0.0040650406504065045,events
65,245,0,0.0,events
66,245,1,0.004081632653061225,events
67,244,1,0.004098360655737705,events
68,243,3,0.012345679012345678,events
69,240,3,0.0125,events
70,237,0,0.0,events
71,237,1,0.004219409282700422,events
72,236,2,0.00847457627118644,events
73,234,1,0.004273504273504274,events
74,233,3,0.012875536480686695,events
75,230,1,0.004347826086956522,events
76,229,0,0.0,events
77,229,1,0.004366812227074236,events
78,228,1,0.0043859649122807015,events
79,227,2,0.00881057268722467,events
80,225,1,0.0044444444444444444,events
81,224,1,0.004464285714285714,events
82,223,0,0.0,events
83,223,2,0.008968609865470852,events
84,221,2,0.00904977375565611,events
85,219,0,0.0,events
86,219,4,0.0182648401826484,events
87,215,4,0.018604651162790697,events
88,211,4,0.018957345971563982,events
89,207,1,0.004830917874396135,events
90,206,3,0.014563106796116505,events
91,203,0,0.0,events
92,203,4,0.019704433497536946,events
93,199,2,0.010050251256281407,events
94,197,1,0.005076142131979695,events
95,196,1,0.00510204081632653,events
96,195,1,0.005128205128205128,events
1,378,0,0.0,controls
2,378,0,0.0,controls
3,378,0,0.0,controls
4,378,0,0.0,controls
5,378,0,0.0,controls
6,378,0,0.0,controls
7,378,0,0.0,controls
8,378,0,0.0,controls
9,378,0,0.0,controls
10,378,0,0.0,controls
11,378,0,0.0,controls
12,378,0,0.0,controls
13,378,0,0.0,controls
14,378,0,0.0,controls
15,378,0,0.0,controls
16,378,136,0.35978835978835977,controls
17,242,0,0.0,controls
18,242,0,0.0,controls
19,242,0,0.0,controls
20,242,0,0.0,controls
21,242,0,0.0,controls
22,242,0,0.0,controls
23,242,0,0.0,controls
24,242,0,0.0,controls
25,242,0,0.0,controls
26,242,0,0.0,controls
27,242,0,0.0,controls
28,242,0,0.0,controls
29,242,0,0.0,controls
30,242,0,0.0,controls
31,242,0,0.0,controls
32,242,0,0.0,controls
