event_id,symbol,year,anchor_hour,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
law_BTCUSDT_000576,BTCUSDT,2020,0,-5.026551096799195e-05,0.011027162364980414,0.02061855670103093,0
law_BTCUSDT_000896,BTCUSDT,2020,8,0.00030222618180548305,0.01379233606647597,0.030927835051546393,1
law_BTCUSDT_001216,BTCUSDT,2020,16,-0.0015089896412717884,-0.08320912532282737,-0.09278350515463916,0
law_BTCUSDT_001344,BTCUSDT,2020,0,0.0008774699131472231,0.02897046484798739,0.051546391752577324,0
law_BTCUSDT_001600,BTCUSDT,2020,16,-0.0012760148032092038,-0.07677201706387812,-0.09278350515463916,0
law_BTCUSDT_001728,BTCUSDT,2020,0,-7.214280163481547e-05,-0.012791804702731762,-0.010309278350515464,-1
law_BTCUSDT_001856,BTCUSDT,2020,8,-0.0002352006479481943,0.006901839487843599,0.0,0
law_BTCUSDT_001984,BTCUSDT,2020,16,-0.001883214027095531,-0.07596224785683212,-0.10309278350515463,-1
law_BTCUSDT_002112,BTCUSDT,2020,0,-0.00026071218502635336,-0.021399566751676452,-0.010309278350515464,-1
law_BTCUSDT_002240,BTCUSDT,2020,8,0.0008607073122859985,0.0370916776391815,0.041237113402061855,1
law_BTCUSDT_002560,BTCUSDT,2020,16,-0.0006633327019521852,-0.0627923040231417,-0.05154639175257732,0
law_BTCUSDT_002784,BTCUSDT,2020,0,-0.00022374652108109357,-0.020285502743729672,-0.010309278350515464,-1
law_BTCUSDT_002912,BTCUSDT,2020,8,-0.00014678880230335647,-0.0033145674572969026,0.010309278350515464,1
law_BTCUSDT_003136,BTCUSDT,2020,16,-0.0020127345289303066,-0.09574642280991996,-0.10309278350515463,-1
law_BTCUSDT_003264,BTCUSDT,2020,0,-0.0005463110109182848,-0.008677201978412905,0.0,0
law_BTCUSDT_003392,BTCUSDT,2020,8,4.011556627491787e-05,0.0021419556699382343,0.0,0
law_BTCUSDT_003520,BTCUSDT,2020,16,-0.0016950039174800135,-0.07467488419605944,-0.09278350515463916,0
law_BTCUSDT_003648,BTCUSDT,2020,0,-0.0002309906559886082,-0.006282252019291789,-0.010309278350515464,-1
law_BTCUSDT_003776,BTCUSDT,2020,8,-0.00022425664684873792,-0.002562422681359023,0.0,0
law_BTCUSDT_003904,BTCUSDT,2020,16,-0.0019206846492253727,-0.08538537198407906,-0.10309278350515463,-1
law_BTCUSDT_004032,BTCUSDT,2020,0,-0.0004997815660883198,-0.02002843483522143,-0.010309278350515464,-1
law_BTCUSDT_004160,BTCUSDT,2020,8,-0.0004664706686768117,-0.002851464114517751,0.0,0
law_BTCUSDT_004288,BTCUSDT,2020,16,-0.001897375454320339,-0.08302026443448127,-0.10309278350515463,-1
law_BTCUSDT_004416,BTCUSDT,2020,0,-0.000644080147911924,-0.02467683824587684,-0.010309278350515464,-1
law_BTCUSDT_004544,BTCUSDT,2020,8,-0.0007523370187360896,-0.01127527765607441,0.0,0
law_BTCUSDT_004672,BTCUSDT,2020,16,-0.002120726790868514,-0.09063384343440416,-0.10309278350515463,-1
law_BTCUSDT_004800,BTCUSDT,2020,0,-0.0004699000111976232,-0.004319386886975057,0.0,0
law_BTCUSDT_004928,BTCUSDT,2020,8,-0.00019943457909638485,0.006335156769074635,0.010309278350515464,1
law_BTCUSDT_005056,BTCUSDT,2020,16,-0.0015207224016125648,-0.0818055467097096,-0.09278350515463916,0
law_BTCUSDT_005184,BTCUSDT,2020,0,-0.0003232341882192732,-0.013761149281935295,-0.010309278350515464,-1
law_BTCUSDT_005312,BTCUSDT,2020,8,0.0010493833421335857,0.0468477927275185,0.041237113402061855,1
law_BTCUSDT_007776,BTCUSDT,2020,0,-0.00021331300130673155,0.0003827545793592124,0.02061855670103093,0
law_BTCUSDT_007968,BTCUSDT,2020,0,-0.00044409950891481685,-0.01833287015883373,0.0,0
law_BTCUSDT_008096,BTCUSDT,2020,8,-0.00013216798193079415,0.0028252995435649117,0.0,0
law_BTCUSDT_008544,BTCUSDT,2020,0,-0.0005104858384881836,-0.02148886862850245,-0.010309278350515464,-1
law_BTCUSDT_008672,BTCUSDT,2020,8,-9.387630323387324e-05,-0.005594072126774699,0.0,0
law_BTCUSDT_008800,BTCUSDT,2020,16,-0.0013199566184337692,-0.05852080063011475,-0.09278350515463916,0
law_BTCUSDT_009920,BTCUSDT,2020,8,-0.0001567136558228246,0.00934900527286316,0.010309278350515464,1
law_BTCUSDT_010528,BTCUSDT,2020,16,-0.0013577180219476682,-0.06982202268092687,-0.09278350515463916,0
law_BTCUSDT_010720,BTCUSDT,2020,16,-0.0010713989667231565,-0.038950884952085235,-0.06185567010309278,0
law_BTCUSDT_010976,BTCUSDT,2020,8,0.0001766630289368736,0.01781263984183461,0.020618556701030927,1
law_BTCUSDT_011296,BTCUSDT,2020,16,-0.0015984722808263178,-0.08405899224744204,-0.10309278350515463,-1
law_BTCUSDT_011584,BTCUSDT,2020,16,-0.0013072695943132427,-0.08199170330321068,-0.10309278350515463,-1
law_BTCUSDT_011712,BTCUSDT,2020,0,6.571829357522401e-05,0.010011377000522528,0.02061855670103093,0
law_BTCUSDT_011936,BTCUSDT,2020,8,-0.000367610243234994,-0.005908196672277634,0.0,0
law_BTCUSDT_012064,BTCUSDT,2020,16,-0.0018887228359443765,-0.08498893329367192,-0.10309278350515463,-1
law_BTCUSDT_012192,BTCUSDT,2020,0,-0.0005328116031599133,-0.009536204263929579,0.0,0
law_BTCUSDT_012352,BTCUSDT,2020,16,-0.0018262667135060565,-0.06272197961308125,-0.09278350515463916,0
law_BTCUSDT_012544,BTCUSDT,2020,16,-0.0005910266694391054,-0.05996037004279758,-0.09278350515463916,0
law_BTCUSDT_012704,BTCUSDT,2020,8,-0.0002594709223250847,-0.005351761135794837,0.0,0
law_BTCUSDT_013120,BTCUSDT,2020,16,-0.0009232405927132067,-0.06203781456049299,-0.08247422680412371,0
law_BTCUSDT_013280,BTCUSDT,2020,8,-0.0003128799138141557,-0.0005236815782081392,0.0,0
law_BTCUSDT_013408,BTCUSDT,2020,16,-0.0019209233565694772,-0.06640217320254455,-0.09278350515463916,0
law_BTCUSDT_014144,BTCUSDT,2020,8,0.00046487623091326694,0.01861720473340007,0.0,0
law_BTCUSDT_062400,BTCUSDT,2022,0,-0.00010851895091731965,0.01067101377803719,0.010309278350515464,0
law_BTCUSDT_063712,BTCUSDT,2022,16,-0.0014809192007601403,-0.08419963325747343,-0.10309278350515463,-1
law_BTCUSDT_065088,BTCUSDT,2022,0,-0.0003949934007477264,0.0009384478415750269,0.0,0
law_BTCUSDT_065728,BTCUSDT,2022,16,-0.0016032174786594342,-0.08582155747650888,-0.10309278350515463,-1
law_BTCUSDT_066400,BTCUSDT,2022,16,-0.0014467707606129266,-0.0855009914441536,-0.09278350515463916,0
law_BTCUSDT_067744,BTCUSDT,2022,16,-0.0005048714749000711,-0.05255226344077129,-0.030927835051546393,0
