age,at_risk,hits,hazard,cohort
1,0,0,,events
2,0,0,,events
3,0,0,,events
4,0,0,,events
5,0,0,,events
6,0,0,,events
7,0,0,,events
8,0,0,,events
9,0,0,,events
10,0,0,,events
11,0,0,,events
12,0,0,,events
13,0,0,,events
14,0,0,,events
15,0,0,,events
16,0,0,,events
17,0,0,,events
18,0,0,,events
19,0,0,,events
20,0,0,,events
21,0,0,,events
22,0,0,,events
23,0,0,,events
24,0,0,,events
25,0,0,,events
26,0,0,,events
27,0,0,,events
28,0,0,,events
29,0,0,,events
30,0,0,,events
31,0,0,,events
32,0,0,,events
33,0,0,,events
34,0,0,,events
35,0,0,,events
36,0,0,,events
37,0,0,,events
38,0,0,,events
39,0,0,,events
40,0,0,,events
41,0,0,,events
42,0,0,,events
43,0,0,,events
44,0,0,,events
45,0,0,,events
46,0,0,,events
47,0,0,,events
48,0,0,,events
1,362,32,0.08839779005524862,controls
2,330,19,0.05757575757575758,controls
3,311,14,0.04501607717041801,controls
4,297,10,0.03367003367003367,controls
5,287,15,0.05226480836236934,controls
6,272,13,0.04779411764705882,controls
7,259,13,0.05019305019305019,controls
8,246,7,0.028455284552845527,controls
9,239,9,0.03765690376569038,controls
10,230,6,0.02608695652173913,controls
11,224,7,0.03125,controls
12,217,10,0.04608294930875576,controls
13,207,3,0.014492753623188406,controls
14,204,6,0.029411764705882353,controls
15,198,10,0.050505050505050504,controls
16,188,3,0.015957446808510637,controls
17,185,3,0.016216216216216217,controls
18,182,2,0.01098901098901099,controls
19,180,5,0.027777777777777776,controls
20,175,4,0.022857142857142857,controls
21,171,5,0.029239766081871343,controls
22,166,5,0.030120481927710843,controls
23,161,6,0.037267080745341616,controls
24,155,2,0.012903225806451613,controls
25,153,6,0.0392156862745098,controls
26,147,5,0.034013605442176874,controls
27,142,1,0.007042253521126761,controls
28,141,4,0.028368794326241134,controls
29,137,1,0.0072992700729927005,controls
30,136,4,0.029411764705882353,controls
31,132,7,0.05303030303030303,controls
32,125,7,0.056,controls
33,118,4,0.03389830508474576,controls
34,114,4,0.03508771929824561,controls
35,110,5,0.045454545454545456,controls
36,105,3,0.02857142857142857,controls
37,102,3,0.029411764705882353,controls
38,99,5,0.050505050505050504,controls
39,94,2,0.02127659574468085,controls
40,92,4,0.043478260869565216,controls
41,88,4,0.045454545454545456,controls
42,84,1,0.011904761904761904,controls
43,83,1,0.012048192771084338,controls
44,82,1,0.012195121951219513,controls
45,81,1,0.012345679012345678,controls
46,80,1,0.0125,controls
47,79,3,0.0379746835443038,controls
48,76,3,0.039473684210526314,controls
