age,at_risk,hits,hazard,cohort
1,0,0,,events
2,0,0,,events
3,0,0,,events
4,0,0,,events
5,0,0,,events
6,0,0,,events
7,0,0,,events
8,0,0,,events
9,0,0,,events
10,0,0,,events
11,0,0,,events
12,0,0,,events
13,0,0,,events
14,0,0,,events
15,0,0,,events
16,0,0,,events
17,0,0,,events
18,0,0,,events
19,0,0,,events
20,0,0,,events
21,0,0,,events
22,0,0,,events
23,0,0,,events
24,0,0,,events
25,0,0,,events
26,0,0,,events
27,0,0,,events
28,0,0,,events
29,0,0,,events
30,0,0,,events
31,0,0,,events
32,0,0,,events
33,0,0,,events
34,0,0,,events
35,0,0,,events
36,0,0,,events
37,0,0,,events
38,0,0,,events
39,0,0,,events
40,0,0,,events
41,0,0,,events
42,0,0,,events
43,0,0,,events
44,0,0,,events
45,0,0,,events
46,0,0,,events
47,0,0,,events
48,0,0,,events
1,192,12,0.0625,controls
2,180,11,0.06111111111111111,controls
3,169,8,0.047337278106508875,controls
4,161,7,0.043478260869565216,controls
5,154,8,0.05194805194805195,controls
6,146,5,0.03424657534246575,controls
7,141,0,0.0,controls
8,141,9,0.06382978723404255,controls
9,132,8,0.06060606060606061,controls
10,124,7,0.056451612903225805,controls
11,117,2,0.017094017094017096,controls
12,115,2,0.017391304347826087,controls
13,113,5,0.04424778761061947,controls
14,108,3,0.027777777777777776,controls
15,105,1,0.009523809523809525,controls
16,104,3,0.028846153846153848,controls
17,101,3,0.0297029702970297,controls
18,98,3,0.030612244897959183,controls
19,95,3,0.031578947368421054,controls
20,92,0,0.0,controls
21,92,0,0.0,controls
22,92,4,0.043478260869565216,controls
23,88,3,0.03409090909090909,controls
24,85,1,0.011764705882352941,controls
25,84,3,0.03571428571428571,controls
26,81,1,0.012345679012345678,controls
27,80,1,0.0125,controls
28,79,1,0.012658227848101266,controls
29,78,2,0.02564102564102564,controls
30,76,1,0.013157894736842105,controls
31,75,1,0.013333333333333334,controls
32,74,2,0.02702702702702703,controls
33,72,0,0.0,controls
34,72,0,0.0,controls
35,72,2,0.027777777777777776,controls
36,70,3,0.04285714285714286,controls
37,67,1,0.014925373134328358,controls
38,66,2,0.030303030303030304,controls
39,64,1,0.015625,controls
40,63,0,0.0,controls
41,63,0,0.0,controls
42,63,0,0.0,controls
43,63,0,0.0,controls
44,63,2,0.031746031746031744,controls
45,61,0,0.0,controls
46,61,0,0.0,controls
47,61,1,0.01639344262295082,controls
48,60,2,0.03333333333333333,controls
