condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,211,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,entry_gate_skip,entry_gating,211,matched_controls_excess,-0.11136875295872323,-0.14093937328692988,-0.08513992102299135,-0.02352927904997234,-0.02674762762534904,-0.020750028796498017,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,211,matched_controls_excess,-0.055684376479361614,-0.06983791676664632,-0.04342306791043183,-0.01176463952498617,-0.013327881753594596,-0.010285076609772965,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,211,matched_controls_excess,-0.11136875295872323,-0.1405187894149472,-0.08429271242112481,-0.02352927904997234,-0.02663933577304528,-0.020639814416354856,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,211,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,delay_8,timing,211,matched_controls_excess,-0.11136875295872323,-0.1387913542652177,-0.08494622001787903,-0.0019607732541643617,-0.0022185569657213293,-0.0017125479919228377,-0.08333333333333334,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,delay_30,timing,211,matched_controls_excess,-0.11136875295872323,-0.13902758522450268,-0.0857894430898835,-0.0073528997031163555,-0.008340025827392662,-0.006402608593784705,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,reenable_at_half_life,timing,211,matched_controls_excess,-0.11136875295872323,-0.13854224093570097,-0.08550020776165723,-0.02352927904997234,-0.026666087641718454,-0.020701201120487612,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,103,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,103,matched_controls_excess,-0.08584325451950885,-0.120812098861389,-0.05169805887438564,-0.021888377536516217,-0.025408428267957334,-0.01852539688704788,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0.5,risk_throttle,103,matched_controls_excess,-0.04292162725975442,-0.06064342276917511,-0.025640731835152225,-0.010944188768258109,-0.01271249953197107,-0.00923101274875031,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0,risk_throttle,103,matched_controls_excess,-0.08584325451950885,-0.1210670355880355,-0.05261854965394121,-0.021888377536516217,-0.025119119134677296,-0.01875836084365617,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,delay_0,timing,103,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,delay_8,timing,103,matched_controls_excess,-0.08584325451950885,-0.12387950644913469,-0.05183296134870919,-0.0018240314613763512,-0.0021243289898561796,-0.0015507579110620173,-0.08333333333333337,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,delay_30,timing,103,matched_controls_excess,-0.08584325451950885,-0.1255672128568061,-0.05254696954417369,-0.006840117980161317,-0.007932443275938561,-0.005831039573650235,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,reenable_at_half_life,timing,103,matched_controls_excess,-0.08584325451950885,-0.12137313335610975,-0.05178507385926695,-0.021888377536516217,-0.025566809402077947,-0.01865159568095138,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_ETHUSDT,symbol == ETHUSDT,no_action,baseline,108,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_ETHUSDT,symbol == ETHUSDT,entry_gate_skip,entry_gating,108,matched_controls_excess,-0.13571251535908505,-0.1757505413639585,-0.0976853513468653,-0.025094212900768454,-0.03077652034027374,-0.02046698200034079,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_ETHUSDT,symbol == ETHUSDT,risk_throttle_0.5,risk_throttle,108,matched_controls_excess,-0.06785625767954252,-0.08842395479206946,-0.04831541382966045,-0.012547106450384227,-0.015165882403441583,-0.01029959571185768,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_ETHUSDT,symbol == ETHUSDT,risk_throttle_0,risk_throttle,108,matched_controls_excess,-0.13571251535908505,-0.1777657683934165,-0.09652623578314985,-0.025094212900768454,-0.0303974367943886,-0.020316176800277214,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_ETHUSDT,symbol == ETHUSDT,delay_0,timing,108,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_ETHUSDT,symbol == ETHUSDT,delay_8,timing,108,matched_controls_excess,-0.13571251535908505,-0.1730842560494275,-0.09706256344182798,-0.0020911844083973717,-0.0025446048170419968,-0.001694528951868906,-0.08333333333333336,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_ETHUSDT,symbol == ETHUSDT,delay_30,timing,108,matched_controls_excess,-0.13571251535908505,-0.1783589032104528,-0.09878606687024004,-0.007841941531490143,-0.009410871377016034,-0.006371991138291564,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_ETHUSDT,symbol == ETHUSDT,reenable_at_half_life,timing,108,matched_controls_excess,-0.13571251535908505,-0.17852565624383301,-0.0979235451532296,-0.025094212900768454,-0.030320182759643346,-0.02046468098326961,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
