condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,112,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,entry_gate_skip,entry_gating,112,matched_controls_excess,-0.05836386809737648,-0.08442880006708232,-0.036013143289073374,-0.0015546385065180804,-0.005066096131345014,0.0020382049978895267,-1.0,True,True,"-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,112,matched_controls_excess,-0.02918193404868824,-0.04269873220622957,-0.017017149822101688,-0.0007773192532590402,-0.002442726703520961,0.000809282396840335,-0.5,True,True,"-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,112,matched_controls_excess,-0.05836386809737648,-0.086895947957833,-0.033030714626176946,-0.0015546385065180804,-0.004811948614950039,0.001581860059605879,-1.0,True,True,"-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,delay_0,timing,112,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,delay_8,timing,112,matched_controls_excess,-0.02228374703391043,-0.03612074278016274,-0.01156981005024606,-0.0001295532088765067,-0.0004288649882058021,0.00016038717966783772,-0.08333333333333333,True,True,"-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,delay_30,timing,112,matched_controls_excess,-0.03953354516604095,-0.06164030364759363,-0.0219957803279401,-0.00048582453328690014,-0.0014707690172966108,0.0005222076051316399,-0.3125,True,True,"-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,reenable_at_half_life,timing,112,matched_controls_excess,-0.05836386809737648,-0.08674228506420105,-0.03504878206572481,-0.0015546385065180804,-0.004657104010055549,0.0017502469695605783,-1.0,True,True,"-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,55,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,55,matched_controls_excess,-0.07093853075259923,-0.1141804064887254,-0.03257128233613851,-0.0004905102531187074,-0.00577386731817031,0.00404570287157181,-1.0,True,True,"-1,-1,0,-1",True,True,False,True,False,False,gate_f_exposure_guard
