condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,739,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,entry_gate_skip,entry_gating,739,matched_controls_excess,-0.037572757820671744,-0.046953002483075566,-0.02872606321619071,-0.005648374554516971,-0.0061479023475591735,-0.005149085315948508,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,739,matched_controls_excess,-0.018786378910335872,-0.023706979382622714,-0.013999058835054931,-0.0028241872772584854,-0.0030974422478067046,-0.0025771882500699997,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,739,matched_controls_excess,-0.037572757820671744,-0.047354595840180994,-0.02884719884220654,-0.005648374554516971,-0.006170359523143554,-0.005161220386047394,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,739,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,delay_8,timing,739,matched_controls_excess,-0.005961986143594224,-0.01000273538314068,-0.0025005063233364787,-0.0004706978795430809,-0.0005154151164773664,-0.00042918673021303855,-0.08333333333333334,True,True,"-1,0,-1,-1,-1,-1",True,False,True,True,False,False,gate_d_friction
all,all events,delay_30,timing,739,matched_controls_excess,-0.01586595258296609,-0.021905570311402115,-0.010405441152708006,-0.0017651170482865534,-0.0019242871254232354,-0.0016152823855520235,-0.3125,True,True,"-1,0,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,reenable_at_half_life,timing,739,matched_controls_excess,-0.037572757820671744,-0.04779541128537131,-0.02837155980749397,-0.005648374554516971,-0.006158922159318117,-0.00513168066867631,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,372,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,372,matched_controls_excess,-0.0035851126653317312,-0.004419614243427033,-0.002761004298556782,-0.0050148378629141285,-0.005751547213621731,-0.004326679096046748,-1.0,True,True,"-1,-1,-1,-1,-1",True,False,False,True,False,False,"gate_d_friction,gate_f_exposure_guard"
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0.5,risk_throttle,372,matched_controls_excess,-0.0017925563326658656,-0.0022231524395166266,-0.0014094744964945184,-0.0025074189314570642,-0.0028598008248804127,-0.0021765892096510947,-0.5,True,True,"-1,-1,-1,-1,-1",True,False,True,True,False,False,gate_d_friction
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0,risk_throttle,372,matched_controls_excess,-0.0035851126653317312,-0.00441124545205301,-0.002834392538898103,-0.0050148378629141285,-0.005755963838122493,-0.004334354738513957,-1.0,True,True,"-1,-1,-1,-1,-1",True,False,False,True,False,False,"gate_d_friction,gate_f_exposure_guard"
symbol_BTCUSDT,symbol == BTCUSDT,delay_0,timing,372,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,delay_8,timing,372,matched_controls_excess,-0.0007448017004128309,-0.0013639600517768296,-0.0002835847466528315,-0.00041790315524284404,-0.00047357820189556065,-0.00036398723253953984,-0.08333333333333334,True,True,"-1,-1,-1,-1,-1",True,False,True,True,False,False,gate_d_friction
