condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,387,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,entry_gate_skip,entry_gating,387,matched_controls_excess,-0.11409085234393622,-0.13471733075363398,-0.09499802768596981,-0.025457985737967447,-0.02785653041095236,-0.022897394447485828,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,387,matched_controls_excess,-0.05704542617196811,-0.06703868780999903,-0.04743999788206282,-0.012728992868983723,-0.014028473179499096,-0.011515827433654455,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,387,matched_controls_excess,-0.11409085234393622,-0.13414967512229486,-0.09478909541763272,-0.025457985737967447,-0.02825113714415735,-0.023025551317008622,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,387,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,delay_8,timing,387,matched_controls_excess,-0.11409085234393622,-0.13360920459164305,-0.09593444442458501,-0.0021214988114972876,-0.0023205447164088024,-0.0018997576321504658,-0.08333333333333333,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,delay_30,timing,387,matched_controls_excess,-0.11409085234393622,-0.1359758293819421,-0.09504837338161344,-0.007955620543114827,-0.008760698937015097,-0.007171642379490633,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,reenable_at_half_life,timing,387,matched_controls_excess,-0.11409085234393622,-0.1342162474564242,-0.0943703899421619,-0.025457985737967447,-0.028160213719009904,-0.023114792535293836,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,210,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,210,matched_controls_excess,-0.11520184103112029,-0.14336884291437785,-0.08652963337655455,-0.021976205353617172,-0.025064341645682584,-0.01918354168971426,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
