condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,1451,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,entry_gate_skip,entry_gating,1451,matched_controls_excess,-0.10587254841270716,-0.11708357481854625,-0.09556863152031524,-0.0003978277041709139,-0.0012446610168491822,0.00046224464058218024,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0.5,risk_throttle,1451,matched_controls_excess,-0.05293627420635358,-0.0578335567690375,-0.047988054855565836,-0.00019891385208545696,-0.0005983689108619071,0.0002217707217735388,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,1451,matched_controls_excess,-0.10587254841270716,-0.11698075792388629,-0.09555599323742558,-0.0003978277041709139,-0.0012763433256008762,0.00044159293826822585,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,delay_0,timing,1451,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,delay_8,timing,1451,matched_controls_excess,-0.01877853333725559,-0.024218683103416485,-0.014367828428440846,-3.3152308680909484e-05,-9.852123656072374e-05,3.5145134087916155e-05,-0.08333333333333334,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,delay_30,timing,1451,matched_controls_excess,-0.052100027894077895,-0.06089460723949037,-0.04412201909964831,-0.0001243211575534106,-0.00038443257171693766,0.00011733321011469803,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,reenable_at_half_life,timing,1451,matched_controls_excess,-0.10587254841270716,-0.1164153840949699,-0.09490026666452328,-0.0003978277041709139,-0.0012026439641681542,0.00042092825070738404,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,714,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,714,matched_controls_excess,-0.09884324965928593,-0.11458461963715325,-0.08495561837901501,0.0008240548023455299,-0.0001759067322041427,0.0017809094213247804,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
