condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,1176,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,entry_gate_skip,entry_gating,1176,matched_controls_excess,-0.05837183921469205,-0.06735256649737237,-0.049503125267497075,-0.012081386455770808,-0.01287512573806501,-0.011312160300074123,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,1176,matched_controls_excess,-0.029185919607346025,-0.03376676018029628,-0.02503692361731881,-0.006040693227885404,-0.006469072160645569,-0.005680213867508498,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,1176,matched_controls_excess,-0.05837183921469205,-0.06660783258296968,-0.05011072647609176,-0.012081386455770808,-0.012982522328182417,-0.011343719755393809,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,1176,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,delay_8,timing,1176,matched_controls_excess,-0.007796235309964274,-0.011533174232312041,-0.00452133366145699,-0.0010067822046475672,-0.0010740941768154397,-0.0009420931141817636,-0.08333333333333333,True,True,"-1,-1,-1,-1,-1,-1",True,False,True,True,False,False,gate_d_friction
all,all events,delay_30,timing,1176,matched_controls_excess,-0.026397337448754686,-0.03341864951091776,-0.02001023845966289,-0.0037754332674283767,-0.004034971470314437,-0.0035423633119525243,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,reenable_at_half_life,timing,1176,matched_controls_excess,-0.031322119776984125,-0.03859815404430957,-0.02526761078488253,-0.0057366746072582886,-0.00628124440947378,-0.005193465068354119,-0.42697704081632654,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,580,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,580,matched_controls_excess,-0.0662534914029953,-0.07963040113157073,-0.05390140606590599,-0.011069604392596544,-0.01204282064461006,-0.010142614283992882,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
