condition,condition_desc,action,action_family,sample_size,train_samples,validation_samples,test_samples,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_c_stable_splits,gate_c_required_splits,gate_d_friction_floor,opportunity_forward_mean,opportunity_tail_mean,opportunity_composite_mean,opportunity_cost_mean,net_benefit_mean,gate_f_exposure_guard,gate_g_net_benefit,gate_e_simplicity,validation_delta_adverse_mean,test_delta_adverse_mean,test_t_stat,test_p_value,test_p_value_adj_bh,gate_oos_validation_test,gate_multiplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,105,63,21,21,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,1,False,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,entry_gate_skip,entry_gating,105,63,21,21,matched_controls_excess,-0.10811925716160525,-0.14687223448941972,-0.06981705247987233,-0.021770622486376585,-0.025130393783167046,-0.018675888174269666,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.08634863467522867,False,True,True,-0.2478251728953859,-0.05421674722523823,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,False,False,"gate_f_exposure_guard,gate_multiplicity"
all,all events,risk_throttle_0.5,risk_throttle,105,63,21,21,matched_controls_excess,-0.05405962858080263,-0.0731926255374776,-0.035177463802449085,-0.010885311243188292,-0.012617135951232891,-0.009298860734975737,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.010885311243188292,0.043174317337614336,True,True,True,-0.12391258644769294,-0.027108373612619113,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,True,False,gate_multiplicity
all,all events,risk_throttle_0,risk_throttle,105,63,21,21,matched_controls_excess,-0.10811925716160525,-0.1472889426017465,-0.06945030248640345,-0.021770622486376585,-0.025474886859312033,-0.018649539017134835,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.08634863467522867,False,True,True,-0.2478251728953859,-0.05421674722523823,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,False,False,"gate_f_exposure_guard,gate_multiplicity"
all,all events,delay_0,timing,105,63,21,21,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,1,False,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,delay_8,timing,105,63,21,21,matched_controls_excess,-0.10811925716160525,-0.14705344179694121,-0.06924706723593062,-0.0018142185405313818,-0.002082632937209368,-0.0015287194892431295,-0.08333333333333333,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.0018142185405313818,0.10630503862107388,True,True,True,-0.2478251728953859,-0.05421674722523823,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,True,False,gate_multiplicity
all,all events,delay_30,timing,105,63,21,21,matched_controls_excess,-0.10811925716160525,-0.14794809162465197,-0.06895090865837943,-0.006803319526992682,-0.00786956810029165,-0.00587723899694581,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.006803319526992682,0.10131593763461257,True,True,True,-0.2478251728953859,-0.05421674722523823,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,True,False,gate_multiplicity
all,all events,reenable_at_half_life,timing,105,63,21,21,matched_controls_excess,-0.10811925716160525,-0.15074326057172138,-0.07082787372703667,-0.021770622486376585,-0.025091137889462135,-0.018364910839677014,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.08634863467522867,False,True,True,-0.2478251728953859,-0.05421674722523823,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,False,False,"gate_f_exposure_guard,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,105,63,21,21,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,0,False,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,105,63,21,21,matched_controls_excess,-0.10811925716160525,-0.14728823807999475,-0.07271754808970592,-0.021770622486376585,-0.025147837687550717,-0.01853291397990179,-1.0,True,True,"-1,-1,-1,-1,-1,-1",False,0,0,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.08634863467522867,False,True,True,-0.2478251728953859,-0.05421674722523823,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,False,False,"gate_c_regime,gate_f_exposure_guard,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0.5,risk_throttle,105,63,21,21,matched_controls_excess,-0.05405962858080263,-0.07501040976066581,-0.034838327006794984,-0.010885311243188292,-0.012615886536801353,-0.00938979893365411,-0.5,True,True,"-1,-1,-1,-1,-1,-1",False,0,0,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.010885311243188292,0.043174317337614336,True,True,True,-0.12391258644769294,-0.027108373612619113,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,False,False,"gate_c_regime,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0,risk_throttle,105,63,21,21,matched_controls_excess,-0.10811925716160525,-0.1502185940135935,-0.07357690700826135,-0.021770622486376585,-0.025066914219784846,-0.018572811474855545,-1.0,True,True,"-1,-1,-1,-1,-1,-1",False,0,0,True,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.021770622486376585,0.08634863467522867,False,True,True,-0.2478251728953859,-0.05421674722523823,-1.6189127057041308,0.10546604671067161,0.14062139561422882,True,False,False,False,"gate_c_regime,gate_f_exposure_guard,gate_multiplicity"
