condition,condition_desc,action,action_family,sample_size,train_samples,validation_samples,test_samples,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_c_stable_splits,gate_c_required_splits,gate_d_friction_floor,opportunity_forward_mean,opportunity_tail_mean,opportunity_composite_mean,opportunity_cost_mean,net_benefit_mean,gate_f_exposure_guard,gate_g_net_benefit,gate_e_simplicity,validation_delta_adverse_mean,test_delta_adverse_mean,test_t_stat,test_p_value,test_p_value_adj_bh,gate_oos_validation_test,gate_multiplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,56,33,11,12,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,entry_gate_skip,entry_gating,56,33,11,12,matched_controls_excess,-0.05576754726445571,-0.09258249569192434,-0.02680383891892423,-0.0016132042985147854,-0.006224515659434109,0.0028599444974244,-1.0,True,True,"-1,-1,-1,-1",True,3,2,True,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0016132042985147854,0.054154342965940926,False,True,True,-0.05861090421653494,-0.14320461461679868,-2.2744931040968708,0.022936355251440776,0.0893938019165993,True,False,False,False,"gate_f_exposure_guard,gate_multiplicity"
all,all events,risk_throttle_0.5,risk_throttle,56,33,11,12,matched_controls_excess,-0.027883773632227854,-0.04455721186578982,-0.01320774041541165,-0.0008066021492573927,-0.0030820694390539384,0.0013600177607543526,-0.5,True,True,"-1,-1,-1,-1",True,3,2,True,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0008066021492573927,0.027077171482970463,True,True,True,-0.02930545210826747,-0.07160230730839934,-2.2744931040968708,0.022936355251440776,0.0893938019165993,True,False,True,False,gate_multiplicity
all,all events,risk_throttle_0,risk_throttle,56,33,11,12,matched_controls_excess,-0.05576754726445571,-0.09182486937104879,-0.02544832067877679,-0.0016132042985147854,-0.006237878895577477,0.0028962656910135696,-1.0,True,True,"-1,-1,-1,-1",True,3,2,True,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0016132042985147854,0.054154342965940926,False,True,True,-0.05861090421653494,-0.14320461461679868,-2.2744931040968708,0.022936355251440776,0.0893938019165993,True,False,False,False,"gate_f_exposure_guard,gate_multiplicity"
all,all events,delay_0,timing,56,33,11,12,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,delay_8,timing,56,33,11,12,matched_controls_excess,-0.0313495246215547,-0.061197420078503616,-0.010801390232019367,-0.00013443369154289876,-0.0004856512915767531,0.0002133184045188869,-0.08333333333333333,True,True,"-1,-1,-1,-1",True,3,2,True,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.00013443369154289876,0.0312150909300118,True,True,True,-0.048002554271138045,-0.05921127461333948,-1.414690005988261,0.15715940589175892,0.26262735571484064,True,False,True,False,gate_multiplicity
all,all events,delay_30,timing,56,33,11,12,matched_controls_excess,-0.03682421604204829,-0.06507208881291904,-0.01604968106894211,-0.0005041263432858705,-0.0018671856357767214,0.000838114871002309,-0.3125,True,True,"-1,-1,-1,-1",True,3,2,True,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0005041263432858705,0.036320089698762416,True,True,True,-0.05839764004263186,-0.06022377048113537,-1.4429535661815447,0.14903355203273083,0.26262735571484064,True,False,True,False,gate_multiplicity
all,all events,reenable_at_half_life,timing,56,33,11,12,matched_controls_excess,-0.05576754726445571,-0.09278759074176036,-0.027691995030278724,-0.0016132042985147854,-0.00622043911055932,0.0028832145540420304,-1.0,True,True,"-1,-1,-1,-1",True,3,2,True,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0016132042985147854,0.054154342965940926,False,True,True,-0.05861090421653494,-0.14320461461679868,-2.2744931040968708,0.022936355251440776,0.0893938019165993,True,False,False,False,"gate_f_exposure_guard,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,56,33,11,12,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,56,33,11,12,matched_controls_excess,-0.05576754726445571,-0.09151688677138993,-0.027475504037096414,-0.0016132042985147854,-0.006193820714108749,0.0025737847383686674,-1.0,True,True,"-1,-1,-1,-1",True,2,2,True,0.015089196146640598,0.0016132042985147854,0.008351200222577692,0.0016132042985147854,0.054154342965940926,False,True,True,-0.05861090421653494,-0.14320461461679868,-2.2744931040968708,0.022936355251440776,0.0893938019165993,True,False,False,False,"gate_f_exposure_guard,gate_multiplicity"
