condition,condition_desc,action,action_family,sample_size,train_samples,validation_samples,test_samples,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_c_stable_splits,gate_c_required_splits,gate_d_friction_floor,opportunity_forward_mean,opportunity_tail_mean,opportunity_composite_mean,opportunity_cost_mean,net_benefit_mean,gate_f_exposure_guard,gate_g_net_benefit,gate_e_simplicity,validation_delta_adverse_mean,test_delta_adverse_mean,test_t_stat,test_p_value,test_p_value_adj_bh,gate_oos_validation_test,gate_multiplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,378,226,76,76,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,1,False,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,entry_gate_skip,entry_gating,378,226,76,76,matched_controls_excess,-0.06071679773763394,-0.0775503859504146,-0.04496491257368939,-0.004854245921817555,-0.005510204372325201,-0.004208756625978611,-1.0,True,True,"-1,-1,-1,-1,-1",True,1,1,True,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.05586255181581639,False,True,True,-0.05657927297759187,-0.04820165629509252,-2.797286203363495,0.005153386099423063,0.017177953664743544,True,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,378,226,76,76,matched_controls_excess,-0.03035839886881697,-0.038493979454057456,-0.02232230078831809,-0.0024271229609087773,-0.002769133880825449,-0.002101388207620665,-0.5,True,True,"-1,-1,-1,-1,-1",True,1,1,True,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.0024271229609087773,0.027931275907908195,True,True,True,-0.028289636488795934,-0.02410082814754626,-2.797286203363495,0.005153386099423063,0.017177953664743544,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,378,226,76,76,matched_controls_excess,-0.06071679773763394,-0.07634549341230597,-0.04334798139959882,-0.004854245921817555,-0.005617234513756744,-0.004245501019317825,-1.0,True,True,"-1,-1,-1,-1,-1",True,1,1,True,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.05586255181581639,False,True,True,-0.05657927297759187,-0.04820165629509252,-2.797286203363495,0.005153386099423063,0.017177953664743544,True,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,378,226,76,76,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,1,False,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,delay_8,timing,378,226,76,76,matched_controls_excess,-0.004411762778328782,-0.009707326528294887,-0.0002830310591464042,-0.0004045204934847962,-0.0004609872297179188,-0.00035278747378736386,-0.08333333333333333,True,True,"-1,-1,-1,-1,-1",True,1,1,False,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.0004045204934847962,0.004007242284843986,True,True,True,-0.0012907647460036972,-2.1493707315714394e-05,-1.0,0.31731050786291415,0.5518443615007207,True,False,False,False,"gate_d_friction,gate_multiplicity"
all,all events,delay_30,timing,378,226,76,76,matched_controls_excess,-0.02755379956699053,-0.04079703505589866,-0.016813410983867735,-0.0015169518505679862,-0.0017357121099227115,-0.001313248488652305,-0.3125,True,True,"-1,-1,-1,-1,-1",True,1,1,True,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.0015169518505679862,0.026036847716422545,True,True,True,-0.021570589464342,-0.020294587263622387,-1.7572324767266505,0.07887819173679844,0.21034184463146252,True,False,True,False,gate_multiplicity
all,all events,reenable_at_half_life,timing,378,226,76,76,matched_controls_excess,-0.06071679773763394,-0.07724087370285679,-0.045183076752711555,-0.004854245921817555,-0.00556974243084904,-0.004221311542385638,-1.0,True,True,"-1,-1,-1,-1,-1",True,1,1,True,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.05586255181581639,False,True,True,-0.05657927297759187,-0.04820165629509252,-2.797286203363495,0.005153386099423063,0.017177953664743544,True,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,378,226,76,76,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,0,False,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,378,226,76,76,matched_controls_excess,-0.06071679773763394,-0.07779593455690476,-0.045135080474466065,-0.004854245921817555,-0.0055424031880319975,-0.0042003546613541,-1.0,True,True,"-1,-1,-1,-1,-1",False,0,0,True,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.004854245921817555,0.05586255181581639,False,True,True,-0.05657927297759187,-0.04820165629509252,-2.797286203363495,0.005153386099423063,0.017177953664743544,True,True,False,False,"gate_c_regime,gate_f_exposure_guard"
