condition,condition_desc,action,action_family,sample_size,train_samples,validation_samples,test_samples,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_c_stable_splits,gate_c_required_splits,gate_d_friction_floor,opportunity_forward_mean,opportunity_tail_mean,opportunity_composite_mean,opportunity_cost_mean,net_benefit_mean,gate_f_exposure_guard,gate_g_net_benefit,gate_e_simplicity,validation_delta_adverse_mean,test_delta_adverse_mean,test_t_stat,test_p_value,test_p_value_adj_bh,gate_oos_validation_test,gate_multiplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,211,126,42,43,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,1,False,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,entry_gate_skip,entry_gating,211,126,42,43,matched_controls_excess,-0.15621691890850925,-0.18674914966580847,-0.12585767467987896,-0.021903026666993872,-0.024836943521563265,-0.01915100867638492,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.13431389224151538,False,True,True,-0.16889511029114712,-0.17457735602096108,-4.818480597835216,1.4465558946241686e-06,1.928741192832225e-06,True,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,211,126,42,43,matched_controls_excess,-0.07810845945425463,-0.09434171480580818,-0.06293057057130051,-0.010951513333496936,-0.012542395995073093,-0.009407657440184779,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.010951513333496936,0.06715694612075769,True,True,True,-0.08444755514557356,-0.08728867801048054,-4.818480597835216,1.4465558946241686e-06,1.928741192832225e-06,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,211,126,42,43,matched_controls_excess,-0.15621691890850925,-0.18833286829901041,-0.12636239352176737,-0.021903026666993872,-0.02507385804129058,-0.01884259717001477,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.13431389224151538,False,True,True,-0.16889511029114712,-0.17457735602096108,-4.818480597835216,1.4465558946241686e-06,1.928741192832225e-06,True,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,211,126,42,43,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,1,False,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,delay_8,timing,211,126,42,43,matched_controls_excess,-0.15621691890850925,-0.18568555461287412,-0.128611845656279,-0.001825252222249489,-0.002090548483509258,-0.0015760012043422734,-0.08333333333333334,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.001825252222249489,0.15439166668625975,True,True,True,-0.16889511029114712,-0.17457735602096108,-4.818480597835216,1.4465558946241686e-06,1.928741192832225e-06,True,True,True,True,
all,all events,delay_30,timing,211,126,42,43,matched_controls_excess,-0.15621691890850925,-0.18781444405039494,-0.12786920145187597,-0.006844695833435585,-0.007850161925427085,-0.005931822703301254,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.006844695833435585,0.14937222307507367,True,True,True,-0.16889511029114712,-0.17457735602096108,-4.818480597835216,1.4465558946241686e-06,1.928741192832225e-06,True,True,True,True,
all,all events,reenable_at_half_life,timing,211,126,42,43,matched_controls_excess,-0.15621691890850925,-0.18934484123434023,-0.12621216523556464,-0.021903026666993872,-0.02501961950284634,-0.019037024075344973,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.13431389224151538,False,True,True,-0.16889511029114712,-0.17457735602096108,-4.818480597835216,1.4465558946241686e-06,1.928741192832225e-06,True,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,211,126,42,43,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,0,False,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,211,126,42,43,matched_controls_excess,-0.15621691890850925,-0.1875045849321156,-0.12786938580362095,-0.021903026666993872,-0.0251075761031072,-0.01902366833291768,-1.0,True,True,"-1,-1,-1,-1,-1,-1",False,0,0,True,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.13431389224151538,False,True,True,-0.16889511029114712,-0.17457735602096108,-4.818480597835216,1.4465558946241686e-06,1.928741192832225e-06,True,True,False,False,"gate_c_regime,gate_f_exposure_guard"
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0.5,risk_throttle,211,126,42,43,matched_controls_excess,-0.07810845945425463,-0.09409803902974202,-0.06394825129853234,-0.010951513333496936,-0.012521291765713854,-0.009543516143757999,-0.5,True,True,"-1,-1,-1,-1,-1,-1",False,0,0,True,0.021903026666993872,0.021903026666993872,0.021903026666993872,0.010951513333496936,0.06715694612075769,True,True,True,-0.08444755514557356,-0.08728867801048054,-4.818480597835216,1.4465558946241686e-06,1.928741192832225e-06,True,True,False,False,gate_c_regime
