condition,condition_desc,action,action_family,sample_size,train_samples,validation_samples,test_samples,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_c_stable_splits,gate_c_required_splits,gate_d_friction_floor,opportunity_forward_mean,opportunity_tail_mean,opportunity_composite_mean,opportunity_cost_mean,net_benefit_mean,gate_f_exposure_guard,gate_g_net_benefit,gate_e_simplicity,validation_delta_adverse_mean,test_delta_adverse_mean,test_t_stat,test_p_value,test_p_value_adj_bh,gate_oos_validation_test,gate_multiplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,588,352,118,118,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,1,False,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,entry_gate_skip,entry_gating,588,352,118,118,matched_controls_excess,-0.06696249225507224,-0.08036905591563594,-0.05393885301130345,-0.011001973441495281,-0.011989761978101077,-0.010012337774054603,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.05596051881357696,False,True,True,-0.0628208285735569,-0.06738636450007766,-4.457712005502075,8.283909321171734e-06,2.2090424856457958e-05,True,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,588,352,118,118,matched_controls_excess,-0.03348124612753612,-0.04060067132484035,-0.027082961165388685,-0.005500986720747641,-0.005999763407417284,-0.005046654983785713,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.005500986720747641,0.02798025940678848,True,True,True,-0.03141041428677845,-0.03369318225003883,-4.457712005502075,8.283909321171734e-06,2.2090424856457958e-05,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,588,352,118,118,matched_controls_excess,-0.06696249225507224,-0.081538177429865,-0.05455067863614218,-0.011001973441495281,-0.011981738415077903,-0.01006933352103759,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,1,1,True,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.05596051881357696,False,True,True,-0.0628208285735569,-0.06738636450007766,-4.457712005502075,8.283909321171734e-06,2.2090424856457958e-05,True,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,588,352,118,118,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,1,False,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,delay_8,timing,588,352,118,118,matched_controls_excess,-0.009995907956191695,-0.016069826469812,-0.005011194915589899,-0.0009168311201246067,-0.0010049385299883687,-0.0008411963836931259,-0.08333333333333333,True,True,"-1,0,-1,-1,0,-1",True,1,1,False,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.0009168311201246067,0.009079076836067089,True,True,True,-0.009612652855343781,-0.004229862166714222,-1.0000000000000002,0.3173105078629139,0.4230806771505519,True,False,False,False,"gate_d_friction,gate_multiplicity"
all,all events,delay_30,timing,588,352,118,118,matched_controls_excess,-0.032342955391316736,-0.043022630029133584,-0.022424454404732504,-0.0034381167004672755,-0.003772939219805398,-0.003143456478905439,-0.3125,True,True,"-1,0,-1,-1,-1,-1",True,1,1,True,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.0034381167004672755,0.02890483869084946,True,True,True,-0.02901227249376707,-0.029586197992843986,-2.7014095414941055,0.006904625966725142,0.011047401546760227,True,True,True,True,
all,all events,reenable_at_half_life,timing,588,352,118,118,matched_controls_excess,-0.039780226644080215,-0.05115723711156081,-0.02927846148078472,-0.004846033496408373,-0.005431240682909515,-0.004286892993238854,-0.43636621315192753,True,True,"-1,0,-1,-1,-1,-1",True,1,1,True,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.004846033496408373,0.03493419314767184,True,True,True,-0.04277030657904716,-0.029449780748343316,-2.7016451328142654,0.006899736015666846,0.011047401546760227,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,588,352,118,118,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,0,False,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,588,352,118,118,matched_controls_excess,-0.06696249225507224,-0.08073526108407013,-0.054252783908117566,-0.011001973441495281,-0.012022101477547054,-0.010025252477535352,-1.0,True,True,"-1,-1,-1,-1,-1,-1",False,0,0,True,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.011001973441495281,0.05596051881357696,False,True,True,-0.0628208285735569,-0.06738636450007766,-4.457712005502075,8.283909321171734e-06,2.2090424856457958e-05,True,True,False,False,"gate_c_regime,gate_f_exposure_guard"
