condition,condition_desc,action,action_family,sample_size,train_samples,validation_samples,test_samples,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_c_stable_splits,gate_c_required_splits,gate_d_friction_floor,opportunity_forward_mean,opportunity_tail_mean,opportunity_composite_mean,opportunity_cost_mean,net_benefit_mean,gate_f_exposure_guard,gate_g_net_benefit,gate_e_simplicity,validation_delta_adverse_mean,test_delta_adverse_mean,test_t_stat,test_p_value,test_p_value_adj_bh,gate_oos_validation_test,gate_multiplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,147,88,29,30,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,entry_gate_skip,entry_gating,147,88,29,30,matched_controls_excess,-0.43257336903324217,-0.45884209451032426,-0.4034409296256385,-0.008318242229498346,-0.01170923946630604,-0.005403760443292247,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.008318242229498346,0.42425512680374383,False,True,True,-0.4438806173505321,-0.42961821060579763,-13.893646041833714,0.0,0.0,True,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,147,88,29,30,matched_controls_excess,-0.21628668451662109,-0.2299316424170335,-0.20222890617980083,-0.004159121114749173,-0.006028667016840421,-0.002740442472791519,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.004159121114749173,0.21212756340187192,True,True,True,-0.22194030867526604,-0.21480910530289882,-13.893646041833714,0.0,0.0,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,147,88,29,30,matched_controls_excess,-0.43257336903324217,-0.4582376344707999,-0.4060811481319679,-0.008318242229498346,-0.01190128870621309,-0.005368562679278379,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.008318242229498346,0.42425512680374383,False,True,True,-0.4438806173505321,-0.42961821060579763,-13.893646041833714,0.0,0.0,True,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,147,88,29,30,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,delay_8,timing,147,88,29,30,matched_controls_excess,-0.2607838323704655,-0.30240167300683013,-0.2191605093963239,-0.0006931868524581954,-0.0009793562260489981,-0.0004447417745973276,-0.08333333333333333,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.0006931868524581954,0.2600906455180073,True,True,True,-0.2430550628393681,-0.3112876390324971,-7.021161751540462,2.2004620348070603e-12,5.134411414549807e-12,True,True,True,True,
all,all events,delay_30,timing,147,88,29,30,matched_controls_excess,-0.39821198834888966,-0.4302309297412,-0.3671948783279707,-0.002599450696718233,-0.003652625212558966,-0.001672533909503463,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.002599450696718233,0.3956125376521714,True,True,True,-0.3766958342590366,-0.3608044304274856,-8.80663309338514,0.0,0.0,True,True,True,True,
all,all events,reenable_at_half_life,timing,147,88,29,30,matched_controls_excess,-0.3871766504476698,-0.4221798953933744,-0.3525041053180505,-0.0013024161622397325,-0.0020441066964219075,-0.0007163208089794068,-0.12634637188208617,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.0013024161622397325,0.38587423428543005,True,True,True,-0.3766958342590366,-0.34277246137483813,-8.125343810372737,4.440892098500626e-16,1.3088945132422897e-15,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,147,88,29,30,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,147,88,29,30,matched_controls_excess,-0.43257336903324217,-0.46146213738785435,-0.4037055810429445,-0.008318242229498346,-0.011584715011155025,-0.0055073040724530195,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,2,2,True,0.01558532353902998,0.008318242229498346,0.011951782884264163,0.008318242229498346,0.42425512680374383,False,True,True,-0.4438806173505321,-0.42961821060579763,-13.893646041833714,0.0,0.0,True,True,False,False,gate_f_exposure_guard
