event_id,symbol,anchor_hour,control_idx,start_idx,end_idx,compression_ratio,rv_rank,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
rcbw_BTCUSDT_000574,BTCUSDT,23,83326,83326,83422,0.9241463414634182,0.22256013890055729,0.0018592621794402621,0.02693063541742485,0.0,0,
rcbw_BTCUSDT_000750,BTCUSDT,19,86479,86479,86575,0.6826301201108745,0.2623988350275841,0.0013630780205411157,0.010565833733781923,0.0,0,
rcbw_BTCUSDT_000865,BTCUSDT,0,87552,87552,87648,1.3465522343888812,0.14919488084236468,0.0029031782565896317,0.05032901344663646,0.041237113402061855,1,2.0
rcbw_BTCUSDT_001209,BTCUSDT,14,169019,169019,169115,0.8919196428571402,0.22827858523061412,0.0017848393783674356,0.040986932599724864,0.0,0,
rcbw_BTCUSDT_001306,BTCUSDT,14,104601,104601,104697,0.9244193851523657,0.15360273320451426,0.0013009305575120286,0.01481044203415673,0.010309278350515464,1,0.0
rcbw_BTCUSDT_001588,BTCUSDT,13,115636,115636,115732,1.6542934522861243,0.13021367162340025,0.0019316681181465857,0.03143806832325419,0.010309278350515464,1,17.0
rcbw_BTCUSDT_001713,BTCUSDT,20,3920,3920,4016,0.7064140537228073,0.06268447730264079,0.0009665281727985001,0.021070146209437254,0.0,0,
rcbw_BTCUSDT_001861,BTCUSDT,9,113412,113412,113508,0.7807111683479998,0.12280937578761657,0.0007253000065631862,0.004397513713400556,0.0,0,
rcbw_BTCUSDT_001995,BTCUSDT,18,141194,141194,141290,0.7292261564820164,0.07347167380772354,0.001822939004252524,0.0567916452760144,0.020618556701030927,1,29.0
rcbw_BTCUSDT_002196,BTCUSDT,21,90324,90324,90420,1.209480122324151,0.10636534207062645,0.001157919673876852,0.01227223361892129,0.0,0,
rcbw_BTCUSDT_002420,BTCUSDT,5,165524,165524,165620,1.7157424151094998,0.40033044890643815,0.0019513494717747343,0.024436956683806414,0.0,0,
rcbw_BTCUSDT_002517,BTCUSDT,5,151990,151990,152086,1.0154139953621586,0.3506510963622616,0.0025005849377988895,0.0622572737394724,0.07216494845360824,1,32.0
rcbw_BTCUSDT_002707,BTCUSDT,4,57041,57041,57137,0.6813526570048313,0.21531266627460866,0.0018932462627470263,0.021706781862918374,0.020618556701030927,1,36.0
rcbw_BTCUSDT_002844,BTCUSDT,15,96735,96735,96831,0.8271604938271605,0.1898905037945616,0.0013824881647029805,0.015804213267690614,0.0,0,
rcbw_BTCUSDT_003030,BTCUSDT,13,104119,104119,104215,0.8867644634910159,0.0685597468425327,0.0012373861004512682,0.022239417861474216,0.010309278350515464,1,95.0
rcbw_BTCUSDT_003139,BTCUSDT,16,4962,4962,5058,1.1503535722994482,0.044750623092217647,0.0013931616520203277,0.029208079203851895,0.010309278350515464,1,24.0
rcbw_BTCUSDT_003236,BTCUSDT,17,3911,3911,4007,0.6780882352941173,0.06101543028368198,0.0009746872016010079,0.01831495473603705,0.0,0,
rcbw_BTCUSDT_003555,BTCUSDT,0,82945,82945,83041,0.7700000000000018,0.05940239155394998,0.00229374402089414,0.08255520043450101,0.07216494845360824,1,40.0
rcbw_BTCUSDT_003703,BTCUSDT,13,178519,178519,178615,1.2452793172789196,0.073253241479739,0.0010847682748959767,0.010823888723641092,0.0,0,
rcbw_BTCUSDT_003804,BTCUSDT,15,108925,108925,109021,0.7991468842730041,0.09789688873953345,0.0019055550151047711,0.031065034981212266,0.020618556701030927,1,18.0
rcbw_BTCUSDT_003901,BTCUSDT,15,104799,104799,104895,1.0498053429990581,0.08927721302752807,0.0017381357791597535,0.04555074255156053,0.020618556701030927,1,10.0
rcbw_BTCUSDT_004269,BTCUSDT,11,114380,114380,114476,0.8794195789903942,0.0611834551513624,0.0012155996449883296,0.011266905214246031,0.0,0,
rcbw_BTCUSDT_004444,BTCUSDT,7,110525,110525,110621,1.3686816050026063,0.111159651628441,0.0011328354076429192,0.016754535349724205,0.0,0,
rcbw_BTCUSDT_004541,BTCUSDT,7,90556,90556,90652,1.391967871485938,0.06812288218656361,0.0007709372169386495,0.010772057934569767,0.0,0,
rcbw_BTCUSDT_004643,BTCUSDT,8,90179,90179,90275,0.8503184713375891,0.016141588955165365,0.0009762713141614119,0.01982138191491884,0.0,0,
rcbw_BTCUSDT_005157,BTCUSDT,17,176710,176710,176806,0.7978542234332415,0.11156291131087401,0.001299689611792452,0.03385304293187384,0.0,0,
rcbw_BTCUSDT_005611,BTCUSDT,10,62058,62058,62154,1.9501665616278003,0.8255677840320368,0.0038389813173046717,0.09483292777019404,0.07216494845360824,1,8.0
rcbw_BTCUSDT_005756,BTCUSDT,23,82270,82270,82366,0.9541378803469046,0.4802878826066258,0.0025088098790758866,0.029821547383787436,0.041237113402061855,1,56.0
rcbw_BTCUSDT_006151,BTCUSDT,1,82277,82277,82373,1.0096596819735473,0.4755047747066566,0.002512773908768887,0.0296314569046328,0.041237113402061855,1,49.0
rcbw_BTCUSDT_006250,BTCUSDT,2,73256,73256,73352,0.978790792376001,0.3289422834579518,0.002526817298506475,0.07429552728124272,0.061855670103092786,1,39.0
