age,at_risk,hits,hazard,cohort
1,1410,35,0.024822695035460994,events
2,1375,37,0.02690909090909091,events
3,1338,31,0.023168908819133034,events
4,1307,35,0.026778882938026015,events
5,1272,33,0.025943396226415096,events
6,1239,25,0.020177562550443905,events
7,1214,21,0.01729818780889621,events
8,1193,17,0.014249790444258172,events
9,1176,27,0.02295918367346939,events
10,1149,21,0.018276762402088774,events
11,1128,22,0.01950354609929078,events
12,1106,12,0.0108499095840868,events
13,1094,21,0.019195612431444242,events
14,1073,15,0.013979496738117428,events
15,1058,17,0.01606805293005671,events
16,1041,19,0.01825168107588857,events
17,1022,16,0.015655577299412915,events
18,1006,17,0.016898608349900597,events
19,989,7,0.007077856420626896,events
20,982,16,0.016293279022403257,events
21,966,7,0.007246376811594203,events
22,959,11,0.011470281543274244,events
23,948,12,0.012658227848101266,events
24,936,6,0.00641025641025641,events
25,930,8,0.008602150537634409,events
26,922,12,0.013015184381778741,events
27,910,14,0.015384615384615385,events
28,896,11,0.012276785714285714,events
29,885,12,0.013559322033898305,events
30,873,12,0.013745704467353952,events
31,861,10,0.011614401858304297,events
32,851,11,0.012925969447708578,events
33,840,8,0.009523809523809525,events
34,832,12,0.014423076923076924,events
35,820,10,0.012195121951219513,events
36,810,9,0.011111111111111112,events
37,801,9,0.011235955056179775,events
38,792,10,0.012626262626262626,events
39,782,7,0.008951406649616368,events
40,775,10,0.012903225806451613,events
41,765,3,0.00392156862745098,events
42,762,7,0.009186351706036745,events
43,755,8,0.010596026490066225,events
44,747,8,0.0107095046854083,events
45,739,10,0.013531799729364006,events
46,729,10,0.013717421124828532,events
47,719,7,0.009735744089012517,events
48,712,6,0.008426966292134831,events
49,706,9,0.012747875354107648,events
50,697,5,0.007173601147776184,events
51,692,13,0.01878612716763006,events
52,679,7,0.010309278350515464,events
53,672,7,0.010416666666666666,events
54,665,8,0.012030075187969926,events
55,657,4,0.0060882800608828,events
56,653,7,0.010719754977029096,events
57,646,13,0.020123839009287926,events
58,633,6,0.009478672985781991,events
59,627,9,0.014354066985645933,events
60,618,3,0.0048543689320388345,events
61,615,4,0.0065040650406504065,events
62,611,4,0.006546644844517185,events
