event_id,symbol,year,anchor_hour,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
rcbw_BTCUSDT_000574,BTCUSDT,2020,23,-0.00018748597512450874,0.019626622262562576,0.030927835051546393,1
rcbw_BTCUSDT_000750,BTCUSDT,2020,19,0.0010719726189496231,0.02451553125811763,0.020618556701030927,1
rcbw_BTCUSDT_000865,BTCUSDT,2020,0,-0.0013624602309552762,-0.016090962963971722,-0.020618556701030927,0
rcbw_BTCUSDT_001209,BTCUSDT,2020,14,-0.0003818984677924793,-0.02425770132830325,0.010309278350515464,1
rcbw_BTCUSDT_001306,BTCUSDT,2020,14,0.0006608833082830774,0.043605038068070395,0.051546391752577324,0
rcbw_BTCUSDT_001588,BTCUSDT,2020,13,-0.00032173374237404423,0.004101956662128876,0.0,0
rcbw_BTCUSDT_001713,BTCUSDT,2020,20,0.00062116461543479,0.0017443284019970605,0.0,0
rcbw_BTCUSDT_001861,BTCUSDT,2020,9,0.0004917026162843788,0.02312093550721338,0.0,0
rcbw_BTCUSDT_001995,BTCUSDT,2020,18,-0.0007838901666467472,-0.018646847098099197,-0.020618556701030927,-1
rcbw_BTCUSDT_002196,BTCUSDT,2020,21,0.0005298638489455471,0.03632857203289548,0.020618556701030927,1
rcbw_BTCUSDT_002420,BTCUSDT,2020,5,0.00017505023295285465,0.0005827419513942701,0.020618556701030927,1
rcbw_BTCUSDT_002517,BTCUSDT,2020,5,-0.0005400577290080098,-0.020829950380293595,-0.030927835051546386,0
rcbw_BTCUSDT_002707,BTCUSDT,2020,4,-0.0002880814305851571,0.0014529014092046141,-0.020618556701030927,-1
rcbw_BTCUSDT_002844,BTCUSDT,2020,15,1.5608568054779936e-05,0.00251869527591082,0.010309278350515464,1
rcbw_BTCUSDT_003030,BTCUSDT,2020,13,0.0008850208995380543,0.012563830297574463,0.0,0
rcbw_BTCUSDT_003139,BTCUSDT,2020,16,-0.0005263414651898629,-0.022392693200370427,-0.010309278350515464,-1
rcbw_BTCUSDT_003236,BTCUSDT,2020,17,0.00020375592982566754,0.004553417387231046,0.010309278350515464,1
rcbw_BTCUSDT_003555,BTCUSDT,2020,0,-0.0009905716106567491,-0.05767053045579269,-0.06185567010309278,0
rcbw_BTCUSDT_003703,BTCUSDT,2020,13,0.00041412299083575443,0.018570535062641728,0.0,0
rcbw_BTCUSDT_003804,BTCUSDT,2020,15,-0.0007859798898806796,-0.01601771636922489,-0.020618556701030927,-1
rcbw_BTCUSDT_003901,BTCUSDT,2020,15,-0.0007560883469418514,-0.027259242145817073,-0.020618556701030927,-1
rcbw_BTCUSDT_004269,BTCUSDT,2020,11,-0.0003158165572817001,0.010789994189942982,0.0,0
rcbw_BTCUSDT_004444,BTCUSDT,2020,7,-0.0001656775395446102,-0.006883894426331732,0.0,0
rcbw_BTCUSDT_004541,BTCUSDT,2020,7,-4.2432733257701644e-05,-0.00147267019443585,0.0,0
rcbw_BTCUSDT_004643,BTCUSDT,2020,8,-0.00020984840781544092,-0.00545722952980803,0.0,0
rcbw_BTCUSDT_005157,BTCUSDT,2020,17,9.84565072881926e-05,-0.014473644594102452,0.0,0
rcbw_BTCUSDT_005611,BTCUSDT,2020,10,-0.0004352778867516417,-0.053278664572106435,-0.04123711340206185,0
