anchor_hour,n,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
0,57,8.532571552650834e-05,0.01100776811061743,0.015916078856936154,0.017543859649122806
1,55,-0.0001517952191772004,0.001610641343872392,-0.0013120899718837861,-0.03636363636363636
2,43,-6.130656693922645e-05,0.001855744978281661,0.008151522416686645,0.046511627906976744
3,34,3.761879430275516e-05,0.011967640433818288,0.0118253486961795,0.14705882352941177
4,35,-0.0001933525932301342,-0.010779144185846702,-0.010309278350515464,-0.11428571428571428
5,39,-1.77113798179383e-05,-0.0034158484078646886,8.006416042969879e-19,0.05128205128205128
6,36,9.847003606613638e-05,0.007908246751373157,0.003436426116838488,0.16666666666666666
7,34,-5.410391332428237e-05,0.0032926368513061318,0.003335354760460887,0.029411764705882353
8,35,-5.27317429352155e-05,-0.0016234037698056873,-0.004418262150220913,0.05714285714285714
9,40,-0.000109780988054911,0.0033113497833314152,0.0012886597938144312,0.075
10,53,-0.00013054237862469102,-0.0022602107486434948,-0.0021396615444466047,-0.018867924528301886
11,40,-0.00014555526667379368,0.0013061781208416182,-0.003865979381443298,-0.05
12,64,7.665501756007676e-06,0.004170150864256091,0.00547680412371134,0.0
13,79,-6.305014269727539e-06,0.0007366258703334239,0.004697898995171603,0.02531645569620253
14,126,-0.00028572612807725527,-0.004437669894869271,-0.006872852233676976,0.047619047619047616
15,120,-6.490669989534884e-05,-0.00034190799013642236,-0.00025773195876288606,0.03333333333333333
16,90,-5.698947664878595e-05,-0.0022971265827291206,0.0032073310423825895,0.0
17,84,1.9435642512784353e-05,0.0004086766224106598,-0.0006136475208640162,-0.047619047619047616
18,67,-0.0001368024332151004,0.0007077683260036715,0.004462224957685798,-0.04477611940298507
19,61,-5.9802047080738364e-05,0.002341787911257301,0.0006760182524928181,0.04918032786885246
20,85,-0.0002965559931503191,-0.0028199717641912286,-0.0035172832019405693,-0.03529411764705882
21,82,4.524774169433851e-05,0.010135278217999609,0.0155896404324868,0.21951219512195122
22,44,-0.0002759725891610976,-0.0012342074695867143,-0.0009372071227741321,0.11363636363636363
23,48,-0.00011386620039842504,0.002309804912617402,-0.00236254295532646,0.16666666666666666
