year,anchor_hour,n,sign_tail_prob,sign_vol
2020,0,8,-1.0,-1.0
2020,1,11,-1.0,-1.0
2020,2,6,-1.0,-1.0
2020,3,2,0.0,1.0
2020,4,8,-1.0,-1.0
2020,5,14,-1.0,-1.0
2020,6,6,-1.0,-1.0
2020,7,10,-1.0,-1.0
2020,8,3,1.0,-1.0
2020,9,5,1.0,1.0
2020,10,14,1.0,1.0
2020,11,2,1.0,1.0
2020,12,5,-1.0,-1.0
2020,13,11,-1.0,1.0
2020,14,11,1.0,-1.0
2020,15,11,-1.0,-1.0
2020,16,6,-1.0,1.0
2020,17,7,1.0,-1.0
2020,18,3,-1.0,1.0
2020,19,3,1.0,1.0
2020,20,8,1.0,-1.0
2020,21,3,1.0,1.0
2020,22,5,1.0,1.0
2020,23,7,-1.0,-1.0
2021,0,16,1.0,1.0
2021,1,14,1.0,-1.0
2021,2,9,1.0,1.0
2021,3,11,1.0,1.0
2021,4,10,-1.0,1.0
2021,5,4,-1.0,-1.0
2021,6,9,1.0,1.0
2021,7,7,1.0,1.0
2021,8,11,-1.0,1.0
2021,9,16,-1.0,-1.0
2021,10,4,1.0,-1.0
2021,11,16,-1.0,-1.0
2021,12,11,1.0,1.0
2021,13,10,1.0,-1.0
2021,14,25,-1.0,-1.0
2021,15,9,1.0,1.0
2021,16,8,1.0,-1.0
2021,17,8,1.0,1.0
2021,18,8,1.0,1.0
2021,19,11,-1.0,-1.0
2021,20,17,1.0,1.0
2021,21,13,1.0,-1.0
2021,22,6,1.0,-1.0
2021,23,12,1.0,1.0
2022,0,14,1.0,1.0
2022,1,10,1.0,1.0
2022,2,6,1.0,1.0
2022,3,4,1.0,1.0
2022,4,4,1.0,-1.0
2022,5,7,1.0,1.0
2022,6,8,1.0,-1.0
2022,7,4,1.0,1.0
2022,8,9,-1.0,-1.0
2022,9,5,1.0,1.0
2022,10,7,-1.0,-1.0
2022,11,3,1.0,1.0
2022,12,18,-1.0,-1.0
2022,13,15,-1.0,-1.0
2022,14,24,-1.0,-1.0
2022,15,29,-1.0,-1.0
2022,16,20,1.0,1.0
2022,17,16,-1.0,1.0
2022,18,8,1.0,-1.0
2022,19,14,-1.0,-1.0
2022,20,18,-1.0,-1.0
2022,21,16,1.0,1.0
2022,22,9,-1.0,-1.0
2022,23,13,-1.0,-1.0
2023,0,9,1.0,-1.0
2023,1,10,-1.0,-1.0
2023,2,6,-1.0,-1.0
2023,3,3,1.0,1.0
2023,4,2,1.0,-1.0
2023,5,2,-1.0,-1.0
2023,6,3,1.0,1.0
2023,7,6,-1.0,-1.0
2023,8,3,1.0,1.0
2023,9,8,-1.0,-1.0
2023,10,16,1.0,-1.0
2023,11,7,-1.0,-1.0
2023,12,16,-1.0,-1.0
2023,13,13,-1.0,-1.0
2023,14,30,-1.0,-1.0
2023,15,24,-1.0,-1.0
2023,16,24,-1.0,-1.0
2023,17,20,1.0,1.0
2023,18,24,-1.0,-1.0
2023,19,19,1.0,-1.0
2023,20,16,-1.0,-1.0
2023,21,24,1.0,1.0
2023,22,5,-1.0,-1.0
2023,23,2,1.0,1.0
2024,0,7,-1.0,-1.0
2024,1,9,-1.0,-1.0
2024,2,13,-1.0,-1.0
2024,3,3,1.0,-1.0
2024,4,8,-1.0,-1.0
2024,5,10,-1.0,-1.0
2024,6,7,-1.0,-1.0
2024,7,5,1.0,-1.0
2024,8,4,-1.0,-1.0
2024,9,6,1.0,-1.0
2024,10,12,-1.0,-1.0
2024,11,5,1.0,1.0
2024,12,9,1.0,1.0
2024,13,20,1.0,1.0
2024,14,32,-1.0,-1.0
2024,15,28,1.0,1.0
2024,16,20,-1.0,-1.0
2024,17,25,-1.0,-1.0
2024,18,14,1.0,-1.0
2024,19,7,1.0,1.0
2024,20,14,-1.0,-1.0
2024,21,15,1.0,-1.0
2024,22,7,-1.0,-1.0
2024,23,13,-1.0,-1.0
2025,0,3,1.0,-1.0
2025,1,1,1.0,1.0
2025,2,3,-1.0,-1.0
2025,3,11,1.0,-1.0
2025,4,3,-1.0,-1.0
2025,5,2,-1.0,-1.0
2025,6,3,1.0,1.0
2025,7,2,-1.0,1.0
2025,8,5,1.0,1.0
2025,11,7,-1.0,-1.0
2025,12,5,1.0,1.0
2025,13,10,1.0,1.0
2025,14,4,-1.0,-1.0
2025,15,19,1.0,-1.0
2025,16,12,-1.0,1.0
2025,17,8,1.0,1.0
2025,18,10,-1.0,-1.0
2025,19,7,1.0,1.0
2025,20,12,-1.0,-1.0
2025,21,11,-1.0,-1.0
2025,22,12,1.0,1.0
2025,23,1,1.0,1.0
