age,at_risk,hits,hazard,cohort
1,667,13,0.019490254872563718,events
2,654,14,0.021406727828746176,events
3,640,10,0.015625,events
4,630,18,0.02857142857142857,events
5,612,12,0.0196078431372549,events
6,600,8,0.013333333333333334,events
7,592,7,0.011824324324324325,events
8,585,9,0.015384615384615385,events
9,576,10,0.017361111111111112,events
10,566,7,0.012367491166077738,events
11,559,11,0.01967799642218247,events
12,548,11,0.020072992700729927,events
13,537,9,0.01675977653631285,events
14,528,5,0.00946969696969697,events
15,523,9,0.017208413001912046,events
16,514,10,0.019455252918287938,events
17,504,6,0.011904761904761904,events
18,498,7,0.014056224899598393,events
19,491,9,0.018329938900203666,events
20,482,5,0.01037344398340249,events
21,477,3,0.006289308176100629,events
22,474,4,0.008438818565400843,events
23,470,5,0.010638297872340425,events
24,465,2,0.004301075268817204,events
25,463,5,0.01079913606911447,events
26,458,1,0.002183406113537118,events
27,457,5,0.010940919037199124,events
28,452,3,0.00663716814159292,events
29,449,8,0.017817371937639197,events
30,441,6,0.013605442176870748,events
31,435,7,0.016091954022988506,events
32,428,2,0.004672897196261682,events
33,426,6,0.014084507042253521,events
34,420,3,0.007142857142857143,events
35,417,5,0.011990407673860911,events
36,412,4,0.009708737864077669,events
37,408,4,0.00980392156862745,events
38,404,5,0.012376237623762377,events
39,399,7,0.017543859649122806,events
40,392,2,0.00510204081632653,events
41,390,2,0.005128205128205128,events
42,388,7,0.01804123711340206,events
43,381,3,0.007874015748031496,events
44,378,2,0.005291005291005291,events
45,376,2,0.005319148936170213,events
46,374,2,0.0053475935828877,events
47,372,0,0.0,events
48,372,3,0.008064516129032258,events
49,369,5,0.013550135501355014,events
50,364,6,0.016483516483516484,events
51,358,7,0.019553072625698324,events
52,351,3,0.008547008547008548,events
53,348,2,0.005747126436781609,events
54,346,2,0.005780346820809248,events
55,344,2,0.005813953488372093,events
56,342,0,0.0,events
57,342,3,0.008771929824561403,events
58,339,0,0.0,events
59,339,2,0.0058997050147492625,events
60,337,5,0.01483679525222552,events
61,332,6,0.018072289156626505,events
62,326,5,0.015337423312883436,events
63,321,3,0.009345794392523364,events
64,318,3,0.009433962264150943,events
65,315,1,0.0031746031746031746,events
66,314,4,0.012738853503184714,events
67,310,3,0.00967741935483871,events
68,307,2,0.006514657980456026,events
69,305,3,0.009836065573770493,events
70,302,2,0.006622516556291391,events
71,300,4,0.013333333333333334,events
72,296,5,0.016891891891891893,events
73,291,3,0.010309278350515464,events
74,288,1,0.003472222222222222,events
75,287,3,0.010452961672473868,events
76,284,4,0.014084507042253521,events
77,280,1,0.0035714285714285713,events
78,279,2,0.007168458781362007,events
79,277,2,0.007220216606498195,events
80,275,2,0.007272727272727273,events
81,273,1,0.003663003663003663,events
82,272,3,0.011029411764705883,events
83,269,2,0.007434944237918215,events
84,267,2,0.00749063670411985,events
85,265,1,0.0037735849056603774,events
86,264,1,0.003787878787878788,events
87,263,2,0.0076045627376425855,events
88,261,2,0.007662835249042145,events
89,259,2,0.007722007722007722,events
90,257,6,0.023346303501945526,events
91,251,4,0.01593625498007968,events
92,247,3,0.012145748987854251,events
93,244,3,0.012295081967213115,events
94,241,1,0.004149377593360996,events
95,240,5,0.020833333333333332,events
96,235,3,0.01276595744680851,events
1,655,15,0.022900763358778626,controls
2,640,9,0.0140625,controls
3,631,12,0.01901743264659271,controls
4,619,9,0.014539579967689823,controls
5,610,17,0.027868852459016394,controls
6,593,8,0.013490725126475547,controls
7,585,10,0.017094017094017096,controls
8,575,9,0.01565217391304348,controls
9,566,12,0.02120141342756184,controls
10,554,12,0.021660649819494584,controls
11,542,10,0.01845018450184502,controls
12,532,4,0.007518796992481203,controls
13,528,15,0.028409090909090908,controls
14,513,9,0.017543859649122806,controls
15,504,9,0.017857142857142856,controls
16,495,15,0.030303030303030304,controls
17,480,7,0.014583333333333334,controls
18,473,7,0.014799154334038054,controls
19,466,5,0.01072961373390558,controls
20,461,6,0.013015184381778741,controls
21,455,4,0.008791208791208791,controls
22,451,2,0.004434589800443459,controls
23,449,4,0.008908685968819599,controls
24,445,2,0.0044943820224719105,controls
25,443,9,0.020316027088036117,controls
26,434,6,0.013824884792626729,controls
27,428,4,0.009345794392523364,controls
28,424,5,0.01179245283018868,controls
29,419,5,0.011933174224343675,controls
30,414,2,0.004830917874396135,controls
31,412,6,0.014563106796116505,controls
32,406,5,0.012315270935960592,controls
33,401,8,0.0199501246882793,controls
34,393,4,0.010178117048346057,controls
35,389,4,0.010282776349614395,controls
36,385,3,0.007792207792207792,controls
37,382,2,0.005235602094240838,controls
38,380,6,0.015789473684210527,controls
39,374,5,0.013368983957219251,controls
40,369,2,0.005420054200542005,controls
41,367,5,0.013623978201634877,controls
42,362,7,0.019337016574585635,controls
43,355,2,0.005633802816901409,controls
44,353,2,0.0056657223796034,controls
45,351,1,0.002849002849002849,controls
46,350,4,0.011428571428571429,controls
47,346,1,0.002890173410404624,controls
48,345,3,0.008695652173913044,controls
49,342,0,0.0,controls
50,342,5,0.014619883040935672,controls
51,337,3,0.008902077151335312,controls
52,334,4,0.011976047904191617,controls
53,330,2,0.006060606060606061,controls
54,328,6,0.018292682926829267,controls
55,322,2,0.006211180124223602,controls
56,320,3,0.009375,controls
57,317,0,0.0,controls
58,317,2,0.006309148264984227,controls
59,315,1,0.0031746031746031746,controls
60,314,1,0.0031847133757961785,controls
61,313,3,0.009584664536741214,controls
62,310,2,0.0064516129032258064,controls
63,308,2,0.006493506493506494,controls
64,306,3,0.00980392156862745,controls
65,303,2,0.006600660066006601,controls
66,301,0,0.0,controls
67,301,2,0.006644518272425249,controls
68,299,1,0.0033444816053511705,controls
69,298,3,0.010067114093959731,controls
70,295,4,0.013559322033898305,controls
71,291,4,0.013745704467353952,controls
72,287,1,0.003484320557491289,controls
73,286,0,0.0,controls
74,286,4,0.013986013986013986,controls
75,282,0,0.0,controls
76,282,2,0.0070921985815602835,controls
77,280,2,0.007142857142857143,controls
78,278,1,0.0035971223021582736,controls
79,277,2,0.007220216606498195,controls
80,275,3,0.01090909090909091,controls
81,272,3,0.011029411764705883,controls
82,269,0,0.0,controls
83,269,1,0.0037174721189591076,controls
84,268,3,0.011194029850746268,controls
85,265,0,0.0,controls
86,265,1,0.0037735849056603774,controls
87,264,1,0.003787878787878788,controls
88,263,5,0.019011406844106463,controls
89,258,1,0.003875968992248062,controls
90,257,2,0.007782101167315175,controls
91,255,1,0.00392156862745098,controls
92,254,3,0.011811023622047244,controls
93,251,2,0.00796812749003984,controls
94,249,1,0.004016064257028112,controls
95,248,3,0.012096774193548387,controls
96,245,1,0.004081632653061225,controls
