anchor_hour,n,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
0,21,0.00011951461460683633,0.009950187153940452,0.006872852233676977,0.09523809523809523
1,22,-0.00037067048156814395,-0.0019104697854498295,-0.012652296157450798,0.0
2,22,9.374731324156609e-05,0.005752419444397616,0.01593252108716026,0.045454545454545456
3,25,-0.00018527233114775464,-0.007978298189407323,-0.012371134020618558,-0.12
4,11,0.0002252571607924854,0.02065521757367846,0.019681349578256794,0.0
5,15,6.296711558673714e-05,0.0017121370807680733,0.0006872852233676958,0.0
6,26,-0.00010529897865927724,0.00410293943056248,-0.003965107057890566,0.038461538461538464
7,14,-0.00030248998864884066,-0.0059862395076073415,0.0014727540500736394,-0.14285714285714285
8,17,0.00012876637868581458,0.0071087682466244645,0.013947847180109158,0.11764705882352941
9,21,0.00011683229310179187,0.012506715075621658,0.0029455081001472766,0.19047619047619047
10,38,-0.0001490521436864136,-0.0032555043502889777,-0.00027129679869777515,-0.15789473684210525
11,14,7.546028448221999e-05,0.011838804075236698,0.008100147275405006,0.21428571428571427
12,27,-0.00032515896817898174,0.0006220550992741109,-0.005345551737304314,-0.1111111111111111
13,35,-0.00012061990167852082,-0.001066544380800037,-0.0035346097201767296,0.02857142857142857
14,73,-0.00010992403816054727,-0.0026234225930596724,-0.004377912724191498,-0.0547945205479452
15,34,-4.1034281698796546e-05,0.009684480982334888,0.004851425106124925,0.08823529411764706
16,54,-8.398820483537236e-05,-0.00038204833122157156,0.0026727758686521576,0.018518518518518517
17,36,-0.00020062014598631284,-0.004756020202297338,-0.007445589919816722,0.1111111111111111
18,37,-2.0087706368944727e-05,0.004002500147943547,0.0047366954583449436,0.0
19,36,-5.171058301320035e-05,0.008352024250300218,0.006586483390607103,0.0
20,27,-0.0003051993467931888,0.0003068096952399448,-0.00229095074455899,0.037037037037037035
21,32,-5.0101678199098226e-05,0.0029425826925730753,0.004188144329896907,0.09375
22,24,8.068583295107798e-06,-0.0003659008491526442,0.0042955326460481094,0.125
23,21,2.4132608150294455e-06,0.0034487577813896216,-0.002454590083456063,0.047619047619047616
