year,anchor_hour,n,sign_tail_prob,sign_vol
2020,0,1,0.0,-1.0
2020,1,1,-1.0,-1.0
2020,3,3,-1.0,1.0
2020,4,1,1.0,1.0
2020,5,2,0.0,1.0
2020,6,3,1.0,1.0
2020,7,3,-1.0,-1.0
2020,9,2,-1.0,-1.0
2020,10,6,-1.0,-1.0
2020,11,2,1.0,1.0
2020,12,3,-1.0,-1.0
2020,13,2,1.0,-1.0
2020,14,7,-1.0,-1.0
2020,15,2,0.0,1.0
2020,16,2,-1.0,-1.0
2020,17,3,-1.0,-1.0
2020,18,1,1.0,1.0
2020,20,3,1.0,-1.0
2020,21,2,1.0,1.0
2020,22,3,0.0,-1.0
2020,23,5,-1.0,1.0
2021,0,3,1.0,1.0
2021,1,8,-1.0,-1.0
2021,2,6,1.0,1.0
2021,3,4,0.0,1.0
2021,4,2,1.0,1.0
2021,5,5,-1.0,-1.0
2021,6,7,-1.0,-1.0
2021,7,4,1.0,1.0
2021,8,6,1.0,1.0
2021,9,7,-1.0,-1.0
2021,10,9,1.0,1.0
2021,11,6,1.0,1.0
2021,12,7,1.0,-1.0
2021,13,3,1.0,1.0
2021,14,6,1.0,1.0
2021,15,2,-1.0,-1.0
2021,16,3,1.0,1.0
2021,17,7,-1.0,-1.0
2021,18,7,1.0,1.0
2021,19,5,1.0,-1.0
2021,20,7,-1.0,-1.0
2021,21,5,1.0,-1.0
2021,22,5,-1.0,-1.0
2021,23,4,-1.0,-1.0
2022,0,9,1.0,1.0
2022,1,2,-1.0,-1.0
2022,2,1,0.0,-1.0
2022,3,2,-1.0,-1.0
2022,4,3,1.0,-1.0
2022,5,4,1.0,1.0
2022,6,4,-1.0,-1.0
2022,7,1,-1.0,-1.0
2022,8,3,-1.0,-1.0
2022,9,5,1.0,1.0
2022,10,3,1.0,1.0
2022,11,1,-1.0,1.0
2022,12,5,-1.0,-1.0
2022,13,17,-1.0,-1.0
2022,14,19,-1.0,-1.0
2022,15,10,1.0,-1.0
2022,16,17,-1.0,-1.0
2022,17,9,-1.0,-1.0
2022,18,3,0.0,-1.0
2022,19,15,1.0,-1.0
2022,20,3,1.0,-1.0
2022,21,4,1.0,1.0
2022,22,5,1.0,1.0
2022,23,4,-1.0,-1.0
2023,0,4,-1.0,1.0
2023,1,7,-1.0,-1.0
2023,2,6,-1.0,-1.0
2023,3,4,1.0,-1.0
2023,5,4,-1.0,-1.0
2023,6,3,1.0,-1.0
2023,7,1,-1.0,-1.0
2023,8,2,1.0,1.0
2023,9,2,0.0,1.0
2023,10,9,-1.0,-1.0
2023,11,2,1.0,1.0
2023,12,8,1.0,1.0
2023,13,3,1.0,1.0
2023,14,14,-1.0,-1.0
2023,15,9,1.0,-1.0
2023,16,13,1.0,1.0
2023,17,6,-1.0,-1.0
2023,18,8,-1.0,-1.0
2023,19,9,1.0,1.0
2023,20,5,-1.0,-1.0
2023,21,6,-1.0,-1.0
2023,22,5,1.0,1.0
2023,23,2,0.0,-1.0
2024,0,2,-1.0,1.0
2024,1,2,1.0,1.0
2024,2,3,1.0,1.0
2024,3,7,-1.0,-1.0
2024,4,4,1.0,1.0
2024,6,5,1.0,1.0
2024,7,5,1.0,-1.0
2024,8,1,0.0,1.0
2024,9,2,1.0,1.0
2024,10,1,-1.0,-1.0
2024,11,1,1.0,1.0
2024,12,4,0.0,-1.0
2024,13,6,-1.0,-1.0
2024,14,22,1.0,-1.0
2024,15,8,1.0,1.0
2024,16,13,1.0,-1.0
2024,17,6,-1.0,-1.0
2024,18,10,1.0,1.0
2024,19,3,-1.0,-1.0
2024,20,5,1.0,-1.0
2024,21,10,1.0,1.0
2024,22,4,1.0,1.0
2024,23,6,1.0,1.0
2025,0,2,1.0,1.0
2025,1,2,1.0,1.0
2025,2,6,1.0,-1.0
2025,3,5,-1.0,-1.0
2025,4,1,1.0,-1.0
2025,6,4,-1.0,-1.0
2025,8,5,-1.0,-1.0
2025,9,3,1.0,1.0
2025,10,10,-1.0,-1.0
2025,11,2,-1.0,-1.0
2025,13,4,1.0,1.0
2025,14,5,0.0,1.0
2025,15,3,-1.0,-1.0
2025,16,6,1.0,1.0
2025,17,5,1.0,1.0
2025,18,8,-1.0,-1.0
2025,19,4,1.0,-1.0
2025,20,4,-1.0,-1.0
2025,21,5,-1.0,-1.0
2025,22,2,-1.0,-1.0
