age,at_risk,hits,hazard,window_x,window_y,slice_type,slice_value
1,74,0,0.0,0,48,prior_shock_severity_q,0
2,74,1,0.013513513513513514,0,48,prior_shock_severity_q,0
3,73,0,0.0,0,48,prior_shock_severity_q,0
4,73,0,0.0,0,48,prior_shock_severity_q,0
5,73,0,0.0,0,48,prior_shock_severity_q,0
6,73,0,0.0,0,48,prior_shock_severity_q,0
7,73,0,0.0,0,48,prior_shock_severity_q,0
8,73,0,0.0,0,48,prior_shock_severity_q,0
9,73,0,0.0,0,48,prior_shock_severity_q,0
10,73,0,0.0,0,48,prior_shock_severity_q,0
11,73,0,0.0,0,48,prior_shock_severity_q,0
12,73,0,0.0,0,48,prior_shock_severity_q,0
13,73,0,0.0,0,48,prior_shock_severity_q,0
14,73,0,0.0,0,48,prior_shock_severity_q,0
15,73,0,0.0,0,48,prior_shock_severity_q,0
16,73,0,0.0,0,48,prior_shock_severity_q,0
17,73,0,0.0,0,48,prior_shock_severity_q,0
18,73,0,0.0,0,48,prior_shock_severity_q,0
19,73,0,0.0,0,48,prior_shock_severity_q,0
20,73,0,0.0,0,48,prior_shock_severity_q,0
21,73,1,0.0136986301369863,0,48,prior_shock_severity_q,0
22,72,0,0.0,0,48,prior_shock_severity_q,0
23,72,0,0.0,0,48,prior_shock_severity_q,0
24,72,0,0.0,0,48,prior_shock_severity_q,0
25,72,0,0.0,0,48,prior_shock_severity_q,0
26,72,1,0.013888888888888888,0,48,prior_shock_severity_q,0
27,71,1,0.014084507042253521,0,48,prior_shock_severity_q,0
28,70,0,0.0,0,48,prior_shock_severity_q,0
29,70,0,0.0,0,48,prior_shock_severity_q,0
30,70,0,0.0,0,48,prior_shock_severity_q,0
31,70,0,0.0,0,48,prior_shock_severity_q,0
32,70,0,0.0,0,48,prior_shock_severity_q,0
33,70,0,0.0,0,48,prior_shock_severity_q,0
34,70,0,0.0,0,48,prior_shock_severity_q,0
35,70,3,0.04285714285714286,0,48,prior_shock_severity_q,0
36,67,1,0.014925373134328358,0,48,prior_shock_severity_q,0
37,66,0,0.0,0,48,prior_shock_severity_q,0
38,66,0,0.0,0,48,prior_shock_severity_q,0
