event_id,symbol,window_x,window_y,start_idx,end_idx,rv_rank,secondary_shock_within,time_to_secondary_shock,realized_vol_mean,range_expansion
vsr_v1_BTCUSDT_000001,BTCUSDT,0,48,10653,10701,0.23098025304481495,0,,0.001442360175373354,0.017160762632215405
vsr_v1_BTCUSDT_000001,BTCUSDT,0,96,103816,103912,0.23079106065980845,0,,0.001893510505858911,0.04149714026924568
vsr_v1_BTCUSDT_000001,BTCUSDT,24,96,13133,13205,0.2165247723779118,0,,0.002148521185352299,0.04119629712594873
vsr_v1_BTCUSDT_000001,BTCUSDT,48,144,116018,116114,0.19784793662055103,0,,0.0006567978083159288,0.00825523984158359
vsr_v1_BTCUSDT_000002,BTCUSDT,0,48,178284,178332,0.10468842379094241,0,,0.0011392365550948282,0.02514901600855002
vsr_v1_BTCUSDT_000002,BTCUSDT,0,96,3676,3772,0.10421544282842615,0,,0.001376614701250769,0.033339996087403984
vsr_v1_BTCUSDT_000002,BTCUSDT,24,96,178641,178713,0.1079401679082417,0,,0.0005082135383928301,0.01237559089115013
vsr_v1_BTCUSDT_000002,BTCUSDT,48,144,143114,143210,0.10480371290055575,1,26.0,0.002067959410701172,0.033987492680338634
vsr_v1_BTCUSDT_000003,BTCUSDT,0,48,178422,178470,0.146745299751685,0,,0.0014224736595830731,0.013795610487572137
vsr_v1_BTCUSDT_000003,BTCUSDT,0,96,119643,119739,0.1468339836821568,0,,0.001903326408195037,0.024435109363293614
vsr_v1_BTCUSDT_000003,BTCUSDT,24,96,115383,115455,0.2402152063379449,0,,0.0012624189792933033,0.017387228702534754
vsr_v1_BTCUSDT_000003,BTCUSDT,48,144,96619,96715,0.27136100271964053,0,,0.0012179383227073112,0.0225118271091678
vsr_v1_BTCUSDT_000004,BTCUSDT,0,48,125131,125179,0.13960919947972095,0,,0.0020433002539065573,0.029816626575444496
vsr_v1_BTCUSDT_000004,BTCUSDT,0,96,139790,139886,0.13955303299042213,0,,0.0020097094511422084,0.04336739873929956
vsr_v1_BTCUSDT_000004,BTCUSDT,24,96,12834,12906,0.1293750739032754,0,,0.0017915269580061571,0.031094662748086106
vsr_v1_BTCUSDT_000004,BTCUSDT,48,144,106965,107061,0.11095837767529856,0,,0.002517896552253436,0.09110663714841824
vsr_v1_BTCUSDT_000005,BTCUSDT,0,48,90542,90590,0.023805723069646446,0,,0.000574518869854597,0.006646405201114179
vsr_v1_BTCUSDT_000005,BTCUSDT,0,96,91004,91100,0.024130897481376375,0,,0.0006378151247162226,0.007864567864567735
vsr_v1_BTCUSDT_000005,BTCUSDT,24,96,4530,4602,0.035940640889204206,0,,0.0006719990503191922,0.009294890381566544
vsr_v1_BTCUSDT_000005,BTCUSDT,48,144,90531,90627,0.03193803949391037,0,,0.0005886011127974788,0.010751779896223043
vsr_v1_BTCUSDT_000006,BTCUSDT,0,48,178488,178536,0.14327775807023768,0,,0.001156827032388232,0.016682113067655317
vsr_v1_BTCUSDT_000006,BTCUSDT,0,96,176860,176956,0.1436118008750148,0,,0.0016998508822620613,0.03315672871111128
vsr_v1_BTCUSDT_000006,BTCUSDT,24,96,1384,1456,0.19339600331086673,0,,0.0025564125547802552,0.06137703521933622
vsr_v1_BTCUSDT_000006,BTCUSDT,48,144,143435,143531,0.23582535177959088,1,0.0,0.003530285339754673,0.06424193901315783
vsr_v1_BTCUSDT_000007,BTCUSDT,0,48,98205,98253,0.8227562965590635,0,,0.002821540350874674,0.03181391467612392
vsr_v1_BTCUSDT_000007,BTCUSDT,0,96,9254,9350,0.822912971502897,0,,0.004784907065978025,0.05519030173952131
vsr_v1_BTCUSDT_000007,BTCUSDT,24,96,16661,16733,0.8624512238382405,0,,0.002683595043894586,0.03182094916569694
vsr_v1_BTCUSDT_000007,BTCUSDT,48,144,5663,5759,0.8620698829372118,0,,0.0023316368735056955,0.03320156608953644
vsr_v1_BTCUSDT_000008,BTCUSDT,0,48,47618,47666,0.7103641953411375,0,,0.0029241531135537806,0.037438185131790154
vsr_v1_BTCUSDT_000008,BTCUSDT,0,96,56398,56494,0.710240037838477,0,,0.0027140083125928973,0.03837313323206405
vsr_v1_BTCUSDT_000008,BTCUSDT,24,96,146340,146412,0.7203322691261677,0,,0.0023320856134149133,0.03848024187580608
vsr_v1_BTCUSDT_000008,BTCUSDT,48,144,69691,69787,0.7409571952228923,0,,0.0016723346020372418,0.02614726187872916
vsr_v1_BTCUSDT_000009,BTCUSDT,0,48,58707,58755,0.507428757242521,0,,0.0035158447848678276,0.05674742255118785
vsr_v1_BTCUSDT_000009,BTCUSDT,0,96,160819,160915,0.5078603523708171,0,,0.001570957794762435,0.03458121759580944
vsr_v1_BTCUSDT_000009,BTCUSDT,24,96,134283,134355,0.4453115762090576,0,,0.0009994127579003222,0.016286128282732976
vsr_v1_BTCUSDT_000009,BTCUSDT,48,144,177583,177679,0.4178609435970202,0,,0.0016797200811677563,0.027293452204492967
vsr_v1_BTCUSDT_000010,BTCUSDT,0,48,149518,149566,0.5491900201016909,0,,0.0025962682741579183,0.029984531509333126
vsr_v1_BTCUSDT_000010,BTCUSDT,0,96,87067,87163,0.5498935792834339,0,,0.0012595257008953566,0.018561009834564955
vsr_v1_BTCUSDT_000010,BTCUSDT,24,96,166717,166789,0.6093502424027433,1,0.0,0.0061309931236172965,0.0972868668275979
vsr_v1_BTCUSDT_000010,BTCUSDT,48,144,59076,59172,0.6287010760316897,0,,0.002360804375405123,0.04787425797303468
vsr_v1_BTCUSDT_000011,BTCUSDT,0,48,52033,52081,0.7800135982026724,0,,0.0024832719186854467,0.026609259138452145
vsr_v1_BTCUSDT_000011,BTCUSDT,0,96,52444,52540,0.7806757715501951,0,,0.0028499424382081753,0.05249156183836844
vsr_v1_BTCUSDT_000011,BTCUSDT,24,96,74705,74777,0.818458082062197,0,,0.004955666060635626,0.10247729224920964
vsr_v1_BTCUSDT_000011,BTCUSDT,48,144,54065,54161,0.8356479839186473,0,,0.0026443645189486885,0.042714975702628694
vsr_v1_BTCUSDT_000012,BTCUSDT,0,48,173856,173904,0.23603819321272318,0,,0.0012889537146545077,0.01078831838874855
vsr_v1_BTCUSDT_000012,BTCUSDT,0,96,100628,100724,0.23524595010050844,0,,0.0008203596205497136,0.011914086926757985
vsr_v1_BTCUSDT_000012,BTCUSDT,24,96,137128,137200,0.23447144377438808,0,,0.0025282867079020163,0.0474972807814739
vsr_v1_BTCUSDT_000012,BTCUSDT,48,144,175015,175111,0.24799574317133735,0,,0.0017869073579008313,0.04013749798803738
vsr_v1_BTCUSDT_000013,BTCUSDT,0,48,142406,142454,0.09230223483504789,0,,0.0007667556857155139,0.013994409069731302
vsr_v1_BTCUSDT_000013,BTCUSDT,0,96,87854,87950,0.09188246423081471,0,,0.0008977173448842193,0.011518854112154564
vsr_v1_BTCUSDT_000013,BTCUSDT,24,96,113199,113271,0.09878207402152063,0,,0.0014977372933197728,0.027744986757472542
vsr_v1_BTCUSDT_000013,BTCUSDT,48,144,179001,179097,0.10098439162823697,0,,0.001530437789491952,0.033140401656744534
vsr_v1_BTCUSDT_000014,BTCUSDT,0,48,122940,122988,0.1057644554806669,0,,0.0019901913543586133,0.03779324855035265
vsr_v1_BTCUSDT_000014,BTCUSDT,0,96,3097,3193,0.10600094596192504,0,,0.0008559197110927345,0.009720302311731056
vsr_v1_BTCUSDT_000014,BTCUSDT,24,96,86733,86805,0.1302323518978361,1,39.0,0.0031345107695157307,0.05162855809612688
vsr_v1_BTCUSDT_000014,BTCUSDT,48,144,119771,119867,0.16416577982736194,0,,0.001266470787290738,0.0341673705980018
vsr_v1_BTCUSDT_000015,BTCUSDT,0,48,511,559,0.4324198888494738,0,,0.0015550705112992362,0.016626237966347965
vsr_v1_BTCUSDT_000015,BTCUSDT,0,96,2509,2605,0.4321508809270427,0,,0.002042400811397848,0.041404669935963874
vsr_v1_BTCUSDT_000015,BTCUSDT,24,96,29354,29426,0.5328603523708171,0,,0.002089268702368053,0.024236905759028794
vsr_v1_BTCUSDT_000015,BTCUSDT,48,144,157473,157569,0.5922076386425447,0,,0.0022471989974388665,0.046537373581641214
vsr_v1_BTCUSDT_000016,BTCUSDT,0,48,30733,30781,0.7813822868629537,0,,0.0024240738315510642,0.03627643960963429
vsr_v1_BTCUSDT_000016,BTCUSDT,0,96,126695,126791,0.781065980844271,0,,0.003517561524672731,0.08067321190180866
vsr_v1_BTCUSDT_000016,BTCUSDT,24,96,36671,36743,0.8287897599621615,0,,0.00363654748555184,0.05249035028511028
vsr_v1_BTCUSDT_000016,BTCUSDT,48,144,45956,46052,0.843328012297505,0,,0.003841301561145587,0.03679129515809132
vsr_v1_BTCUSDT_000017,BTCUSDT,0,48,126835,126883,0.8693951755941823,0,,0.0020485403820822267,0.017819596422078903
vsr_v1_BTCUSDT_000017,BTCUSDT,0,96,126830,126926,0.8693951755941823,0,,0.0018464169143245098,0.01926635233121689
vsr_v1_BTCUSDT_000017,BTCUSDT,24,96,53655,53727,0.8835373063734184,0,,0.0026107436329805755,0.030293652981071225
vsr_v1_BTCUSDT_000017,BTCUSDT,48,144,133096,133192,0.901167671751212,0,,0.0037192714384854672,0.08310965465979214
vsr_v1_BTCUSDT_000018,BTCUSDT,0,48,50398,50446,0.49043987229514013,0,,0.0029386944304215365,0.05794099922564063
