age,at_risk,hits,hazard,cohort
1,1168,0,0.0,events
2,1168,5,0.004280821917808219,events
3,1163,1,0.0008598452278589854,events
4,1162,1,0.0008605851979345956,events
5,1161,2,0.0017226528854435831,events
6,1159,2,0.001725625539257981,events
7,1157,1,0.000864304235090752,events
8,1156,0,0.0,events
9,1156,3,0.0025951557093425604,events
10,1153,1,0.0008673026886383347,events
11,1152,5,0.004340277777777778,events
12,1147,2,0.0017436791630340018,events
13,1145,0,0.0,events
14,1145,0,0.0,events
15,1145,1,0.0008733624454148472,events
16,1144,5,0.004370629370629371,events
17,1139,6,0.0052677787532923615,events
18,1133,2,0.00176522506619594,events
19,1131,1,0.0008841732979664014,events
20,1130,3,0.002654867256637168,events
21,1127,4,0.00354924578527063,events
22,1123,2,0.0017809439002671415,events
23,1121,3,0.0026761819803746653,events
24,1118,2,0.0017889087656529517,events
25,1116,0,0.0,events
26,1116,4,0.0035842293906810036,events
27,1112,2,0.0017985611510791368,events
28,1110,1,0.0009009009009009009,events
29,1109,0,0.0,events
30,1109,0,0.0,events
31,1109,2,0.0018034265103697023,events
32,1107,0,0.0,events
33,1107,8,0.007226738934056007,events
34,1099,2,0.0018198362147406734,events
35,1097,6,0.0054694621695533276,events
36,1091,3,0.002749770852428964,events
37,1088,0,0.0,events
38,1088,1,0.0009191176470588235,events
39,1087,1,0.0009199632014719411,events
40,1086,4,0.003683241252302026,events
41,1082,5,0.0046210720887245845,events
42,1077,0,0.0,events
43,1077,1,0.0009285051067780873,events
44,1076,1,0.0009293680297397769,events
45,1075,3,0.0027906976744186047,events
46,1072,1,0.0009328358208955224,events
47,1071,3,0.0028011204481792717,events
48,1068,0,0.0,events
49,1068,0,0.0,events
50,1068,0,0.0,events
51,1068,0,0.0,events
52,1068,1,0.0009363295880149813,events
53,1067,0,0.0,events
54,1067,0,0.0,events
55,1067,0,0.0,events
56,1067,0,0.0,events
57,1067,4,0.0037488284910965324,events
58,1063,2,0.0018814675446848542,events
59,1061,0,0.0,events
60,1061,1,0.000942507068803016,events
61,1060,1,0.0009433962264150943,events
62,1059,1,0.0009442870632672333,events
63,1058,1,0.000945179584120983,events
64,1057,2,0.001892147587511826,events
65,1055,3,0.002843601895734597,events
66,1052,0,0.0,events
67,1052,1,0.0009505703422053232,events
68,1051,1,0.0009514747859181732,events
69,1050,2,0.0019047619047619048,events
70,1048,0,0.0,events
71,1048,3,0.0028625954198473282,events
72,1045,0,0.0,events
73,1045,0,0.0,events
74,1045,0,0.0,events
75,1045,0,0.0,events
76,1045,0,0.0,events
77,1045,0,0.0,events
78,1045,0,0.0,events
79,1045,0,0.0,events
80,1045,0,0.0,events
81,1045,3,0.0028708133971291866,events
82,1042,1,0.0009596928982725527,events
83,1041,0,0.0,events
84,1041,0,0.0,events
85,1041,0,0.0,events
86,1041,1,0.0009606147934678194,events
87,1040,0,0.0,events
88,1040,0,0.0,events
89,1040,0,0.0,events
90,1040,0,0.0,events
91,1040,0,0.0,events
92,1040,0,0.0,events
93,1040,0,0.0,events
94,1040,2,0.0019230769230769232,events
95,1038,0,0.0,events
96,1038,1,0.0009633911368015414,events
1,1166,2,0.0017152658662092624,controls
2,1164,1,0.000859106529209622,controls
3,1163,1,0.0008598452278589854,controls
4,1162,0,0.0,controls
5,1162,2,0.0017211703958691911,controls
6,1160,2,0.0017241379310344827,controls
7,1158,1,0.0008635578583765112,controls
8,1157,1,0.000864304235090752,controls
9,1156,4,0.0034602076124567475,controls
10,1152,2,0.001736111111111111,controls
11,1150,0,0.0,controls
12,1150,2,0.0017391304347826088,controls
13,1148,3,0.002613240418118467,controls
14,1145,0,0.0,controls
15,1145,1,0.0008733624454148472,controls
16,1144,1,0.0008741258741258741,controls
17,1143,0,0.0,controls
18,1143,1,0.0008748906386701663,controls
19,1142,1,0.0008756567425569177,controls
20,1141,1,0.0008764241893076249,controls
21,1140,4,0.0035087719298245615,controls
22,1136,1,0.0008802816901408451,controls
23,1135,1,0.000881057268722467,controls
24,1134,1,0.0008818342151675485,controls
25,1133,0,0.0,controls
26,1133,1,0.00088261253309797,controls
27,1132,0,0.0,controls
28,1132,1,0.0008833922261484099,controls
29,1131,3,0.002652519893899204,controls
30,1128,2,0.0017730496453900709,controls
31,1126,1,0.0008880994671403197,controls
32,1125,0,0.0,controls
33,1125,2,0.0017777777777777779,controls
34,1123,1,0.0008904719501335708,controls
35,1122,0,0.0,controls
36,1122,1,0.00089126559714795,controls
37,1121,1,0.0008920606601248885,controls
38,1120,1,0.0008928571428571428,controls
39,1119,2,0.0017873100983020554,controls
40,1117,0,0.0,controls
