window_x,window_y,year,n,sign_secondary,sign_realized_vol,sign_range_expansion
0,48,2020,34,1.0,1.0,1.0
0,48,2021,28,1.0,1.0,1.0
0,48,2022,53,1.0,1.0,1.0
0,48,2023,102,1.0,1.0,1.0
0,48,2024,45,-1.0,1.0,1.0
0,48,2025,32,1.0,1.0,1.0
0,96,2020,34,1.0,1.0,1.0
0,96,2021,28,1.0,1.0,1.0
0,96,2022,53,1.0,1.0,1.0
0,96,2023,102,-1.0,1.0,1.0
0,96,2024,45,1.0,1.0,1.0
0,96,2025,32,1.0,1.0,1.0
24,96,2020,34,1.0,1.0,1.0
24,96,2021,28,1.0,1.0,1.0
24,96,2022,53,1.0,1.0,1.0
24,96,2023,102,1.0,1.0,1.0
24,96,2024,45,1.0,1.0,1.0
24,96,2025,32,1.0,1.0,1.0
48,144,2020,34,1.0,1.0,-1.0
48,144,2021,28,1.0,1.0,1.0
48,144,2022,53,1.0,1.0,1.0
48,144,2023,102,-1.0,1.0,1.0
48,144,2024,45,1.0,1.0,-1.0
48,144,2025,32,1.0,1.0,1.0
