age,at_risk,hits,hazard,window_x,window_y,slice_type,slice_value
1,37,0,0.0,0,48,prior_shock_severity_q,0
2,37,1,0.02702702702702703,0,48,prior_shock_severity_q,0
3,36,0,0.0,0,48,prior_shock_severity_q,0
4,36,0,0.0,0,48,prior_shock_severity_q,0
5,36,0,0.0,0,48,prior_shock_severity_q,0
6,36,0,0.0,0,48,prior_shock_severity_q,0
7,36,0,0.0,0,48,prior_shock_severity_q,0
8,36,0,0.0,0,48,prior_shock_severity_q,0
9,36,0,0.0,0,48,prior_shock_severity_q,0
10,36,0,0.0,0,48,prior_shock_severity_q,0
11,36,0,0.0,0,48,prior_shock_severity_q,0
12,36,0,0.0,0,48,prior_shock_severity_q,0
13,36,0,0.0,0,48,prior_shock_severity_q,0
14,36,0,0.0,0,48,prior_shock_severity_q,0
15,36,0,0.0,0,48,prior_shock_severity_q,0
16,36,0,0.0,0,48,prior_shock_severity_q,0
17,36,0,0.0,0,48,prior_shock_severity_q,0
18,36,0,0.0,0,48,prior_shock_severity_q,0
19,36,0,0.0,0,48,prior_shock_severity_q,0
20,36,0,0.0,0,48,prior_shock_severity_q,0
21,36,0,0.0,0,48,prior_shock_severity_q,0
22,36,0,0.0,0,48,prior_shock_severity_q,0
23,36,0,0.0,0,48,prior_shock_severity_q,0
24,36,0,0.0,0,48,prior_shock_severity_q,0
25,36,0,0.0,0,48,prior_shock_severity_q,0
26,36,0,0.0,0,48,prior_shock_severity_q,0
27,36,0,0.0,0,48,prior_shock_severity_q,0
28,36,0,0.0,0,48,prior_shock_severity_q,0
29,36,0,0.0,0,48,prior_shock_severity_q,0
30,36,0,0.0,0,48,prior_shock_severity_q,0
31,36,0,0.0,0,48,prior_shock_severity_q,0
32,36,0,0.0,0,48,prior_shock_severity_q,0
33,36,0,0.0,0,48,prior_shock_severity_q,0
34,36,1,0.027777777777777776,0,48,prior_shock_severity_q,0
35,35,2,0.05714285714285714,0,48,prior_shock_severity_q,0
36,33,0,0.0,0,48,prior_shock_severity_q,0
37,33,0,0.0,0,48,prior_shock_severity_q,0
38,33,0,0.0,0,48,prior_shock_severity_q,0
39,33,0,0.0,0,48,prior_shock_severity_q,0
40,33,0,0.0,0,48,prior_shock_severity_q,0
41,33,0,0.0,0,48,prior_shock_severity_q,0
42,33,0,0.0,0,48,prior_shock_severity_q,0
43,33,0,0.0,0,48,prior_shock_severity_q,0
44,33,0,0.0,0,48,prior_shock_severity_q,0
45,33,0,0.0,0,48,prior_shock_severity_q,0
46,33,0,0.0,0,48,prior_shock_severity_q,0
47,33,0,0.0,0,48,prior_shock_severity_q,0
48,33,0,0.0,0,48,prior_shock_severity_q,0
49,33,0,0.0,0,48,prior_shock_severity_q,0
50,33,0,0.0,0,48,prior_shock_severity_q,0
51,33,0,0.0,0,48,prior_shock_severity_q,0
52,33,0,0.0,0,48,prior_shock_severity_q,0
53,33,0,0.0,0,48,prior_shock_severity_q,0
54,33,0,0.0,0,48,prior_shock_severity_q,0
55,33,0,0.0,0,48,prior_shock_severity_q,0
56,33,0,0.0,0,48,prior_shock_severity_q,0
57,33,0,0.0,0,48,prior_shock_severity_q,0
58,33,0,0.0,0,48,prior_shock_severity_q,0
59,33,0,0.0,0,48,prior_shock_severity_q,0
60,33,0,0.0,0,48,prior_shock_severity_q,0
61,33,0,0.0,0,48,prior_shock_severity_q,0
62,33,0,0.0,0,48,prior_shock_severity_q,0
63,33,0,0.0,0,48,prior_shock_severity_q,0
64,33,0,0.0,0,48,prior_shock_severity_q,0
65,33,0,0.0,0,48,prior_shock_severity_q,0
66,33,0,0.0,0,48,prior_shock_severity_q,0
67,33,0,0.0,0,48,prior_shock_severity_q,0
68,33,0,0.0,0,48,prior_shock_severity_q,0
69,33,0,0.0,0,48,prior_shock_severity_q,0
70,33,0,0.0,0,48,prior_shock_severity_q,0
71,33,0,0.0,0,48,prior_shock_severity_q,0
72,33,0,0.0,0,48,prior_shock_severity_q,0
73,33,0,0.0,0,48,prior_shock_severity_q,0
74,33,0,0.0,0,48,prior_shock_severity_q,0
75,33,0,0.0,0,48,prior_shock_severity_q,0
76,33,0,0.0,0,48,prior_shock_severity_q,0
77,33,0,0.0,0,48,prior_shock_severity_q,0
78,33,0,0.0,0,48,prior_shock_severity_q,0
79,33,0,0.0,0,48,prior_shock_severity_q,0
80,33,0,0.0,0,48,prior_shock_severity_q,0
81,33,0,0.0,0,48,prior_shock_severity_q,0
82,33,0,0.0,0,48,prior_shock_severity_q,0
83,33,0,0.0,0,48,prior_shock_severity_q,0
84,33,0,0.0,0,48,prior_shock_severity_q,0
85,33,0,0.0,0,48,prior_shock_severity_q,0
86,33,0,0.0,0,48,prior_shock_severity_q,0
87,33,0,0.0,0,48,prior_shock_severity_q,0
88,33,0,0.0,0,48,prior_shock_severity_q,0
89,33,0,0.0,0,48,prior_shock_severity_q,0
90,33,0,0.0,0,48,prior_shock_severity_q,0
91,33,0,0.0,0,48,prior_shock_severity_q,0
92,33,0,0.0,0,48,prior_shock_severity_q,0
93,33,0,0.0,0,48,prior_shock_severity_q,0
94,33,0,0.0,0,48,prior_shock_severity_q,0
95,33,0,0.0,0,48,prior_shock_severity_q,0
96,33,0,0.0,0,48,prior_shock_severity_q,0
1,37,0,0.0,0,48,prior_shock_severity_q,1
2,37,0,0.0,0,48,prior_shock_severity_q,1
3,37,0,0.0,0,48,prior_shock_severity_q,1
4,37,0,0.0,0,48,prior_shock_severity_q,1
5,37,0,0.0,0,48,prior_shock_severity_q,1
6,37,0,0.0,0,48,prior_shock_severity_q,1
7,37,0,0.0,0,48,prior_shock_severity_q,1
8,37,0,0.0,0,48,prior_shock_severity_q,1
9,37,0,0.0,0,48,prior_shock_severity_q,1
10,37,0,0.0,0,48,prior_shock_severity_q,1
11,37,0,0.0,0,48,prior_shock_severity_q,1
12,37,0,0.0,0,48,prior_shock_severity_q,1
13,37,0,0.0,0,48,prior_shock_severity_q,1
14,37,0,0.0,0,48,prior_shock_severity_q,1
15,37,0,0.0,0,48,prior_shock_severity_q,1
16,37,1,0.02702702702702703,0,48,prior_shock_severity_q,1
17,36,0,0.0,0,48,prior_shock_severity_q,1
18,36,1,0.027777777777777776,0,48,prior_shock_severity_q,1
19,35,0,0.0,0,48,prior_shock_severity_q,1
20,35,0,0.0,0,48,prior_shock_severity_q,1
21,35,0,0.0,0,48,prior_shock_severity_q,1
22,35,0,0.0,0,48,prior_shock_severity_q,1
23,35,0,0.0,0,48,prior_shock_severity_q,1
24,35,0,0.0,0,48,prior_shock_severity_q,1
25,35,0,0.0,0,48,prior_shock_severity_q,1
26,35,1,0.02857142857142857,0,48,prior_shock_severity_q,1
27,34,0,0.0,0,48,prior_shock_severity_q,1
28,34,0,0.0,0,48,prior_shock_severity_q,1
29,34,0,0.0,0,48,prior_shock_severity_q,1
30,34,0,0.0,0,48,prior_shock_severity_q,1
31,34,0,0.0,0,48,prior_shock_severity_q,1
32,34,0,0.0,0,48,prior_shock_severity_q,1
33,34,1,0.029411764705882353,0,48,prior_shock_severity_q,1
34,33,0,0.0,0,48,prior_shock_severity_q,1
35,33,0,0.0,0,48,prior_shock_severity_q,1
36,33,0,0.0,0,48,prior_shock_severity_q,1
