age,at_risk,hits,hazard,cohort
1,582,0,0.0,events
2,582,3,0.005154639175257732,events
3,579,0,0.0,events
4,579,1,0.0017271157167530224,events
5,578,2,0.0034602076124567475,events
6,576,1,0.001736111111111111,events
7,575,0,0.0,events
8,575,0,0.0,events
9,575,1,0.0017391304347826088,events
10,574,1,0.0017421602787456446,events
11,573,3,0.005235602094240838,events
12,570,0,0.0,events
13,570,0,0.0,events
14,570,0,0.0,events
15,570,1,0.0017543859649122807,events
16,569,4,0.007029876977152899,events
17,565,3,0.005309734513274336,events
18,562,2,0.0035587188612099642,events
19,560,1,0.0017857142857142857,events
20,559,1,0.0017889087656529517,events
21,558,2,0.0035842293906810036,events
22,556,0,0.0,events
23,556,2,0.0035971223021582736,events
24,554,2,0.0036101083032490976,events
25,552,0,0.0,events
26,552,2,0.0036231884057971015,events
27,550,0,0.0,events
28,550,1,0.0018181818181818182,events
29,549,0,0.0,events
30,549,0,0.0,events
31,549,0,0.0,events
32,549,0,0.0,events
33,549,3,0.00546448087431694,events
34,546,2,0.003663003663003663,events
35,544,4,0.007352941176470588,events
36,540,0,0.0,events
37,540,0,0.0,events
38,540,0,0.0,events
39,540,1,0.001851851851851852,events
40,539,2,0.0037105751391465678,events
41,537,3,0.00558659217877095,events
42,534,0,0.0,events
43,534,1,0.0018726591760299626,events
44,533,1,0.001876172607879925,events
45,532,3,0.005639097744360902,events
46,529,0,0.0,events
47,529,2,0.003780718336483932,events
48,527,0,0.0,events
49,527,0,0.0,events
50,527,0,0.0,events
51,527,0,0.0,events
52,527,1,0.0018975332068311196,events
53,526,0,0.0,events
54,526,0,0.0,events
55,526,0,0.0,events
56,526,0,0.0,events
57,526,1,0.0019011406844106464,events
58,525,0,0.0,events
59,525,0,0.0,events
60,525,0,0.0,events
61,525,0,0.0,events
62,525,0,0.0,events
63,525,1,0.0019047619047619048,events
64,524,2,0.003816793893129771,events
65,522,3,0.005747126436781609,events
66,519,0,0.0,events
67,519,1,0.0019267822736030828,events
68,518,1,0.0019305019305019305,events
69,517,2,0.0038684719535783366,events
70,515,0,0.0,events
71,515,1,0.001941747572815534,events
72,514,0,0.0,events
73,514,0,0.0,events
74,514,0,0.0,events
75,514,0,0.0,events
76,514,0,0.0,events
77,514,0,0.0,events
78,514,0,0.0,events
79,514,0,0.0,events
80,514,0,0.0,events
81,514,1,0.0019455252918287938,events
82,513,0,0.0,events
83,513,0,0.0,events
84,513,0,0.0,events
85,513,0,0.0,events
86,513,0,0.0,events
87,513,0,0.0,events
88,513,0,0.0,events
89,513,0,0.0,events
90,513,0,0.0,events
91,513,0,0.0,events
92,513,0,0.0,events
93,513,0,0.0,events
94,513,1,0.001949317738791423,events
95,512,0,0.0,events
96,512,0,0.0,events
1,585,1,0.0017094017094017094,controls
2,584,1,0.0017123287671232876,controls
3,583,0,0.0,controls
4,583,0,0.0,controls
5,583,0,0.0,controls
6,583,0,0.0,controls
7,583,0,0.0,controls
8,583,0,0.0,controls
9,583,0,0.0,controls
10,583,1,0.0017152658662092624,controls
11,582,0,0.0,controls
12,582,1,0.001718213058419244,controls
13,581,0,0.0,controls
14,581,0,0.0,controls
15,581,0,0.0,controls
16,581,2,0.0034423407917383822,controls
17,579,0,0.0,controls
18,579,0,0.0,controls
19,579,0,0.0,controls
20,579,1,0.0017271157167530224,controls
21,578,1,0.0017301038062283738,controls
22,577,1,0.0017331022530329288,controls
23,576,0,0.0,controls
24,576,2,0.003472222222222222,controls
25,574,0,0.0,controls
26,574,0,0.0,controls
27,574,1,0.0017421602787456446,controls
28,573,1,0.0017452006980802793,controls
29,572,0,0.0,controls
30,572,0,0.0,controls
31,572,0,0.0,controls
32,572,1,0.0017482517482517483,controls
33,571,1,0.0017513134851138354,controls
34,570,0,0.0,controls
35,570,0,0.0,controls
36,570,3,0.005263157894736842,controls
37,567,3,0.005291005291005291,controls
38,564,0,0.0,controls
39,564,2,0.0035460992907801418,controls
40,562,1,0.0017793594306049821,controls
41,561,0,0.0,controls
42,561,1,0.0017825311942959,controls
43,560,0,0.0,controls
44,560,3,0.005357142857142857,controls
45,557,1,0.0017953321364452424,controls
46,556,0,0.0,controls
47,556,0,0.0,controls
48,556,3,0.00539568345323741,controls
49,553,0,0.0,controls
50,553,0,0.0,controls
51,553,0,0.0,controls
52,553,0,0.0,controls
53,553,0,0.0,controls
54,553,0,0.0,controls
55,553,1,0.0018083182640144665,controls
56,552,1,0.0018115942028985507,controls
57,551,0,0.0,controls
58,551,1,0.0018148820326678765,controls
59,550,0,0.0,controls
60,550,0,0.0,controls
61,550,1,0.0018181818181818182,controls
62,549,0,0.0,controls
63,549,0,0.0,controls
64,549,0,0.0,controls
65,549,0,0.0,controls
66,549,1,0.0018214936247723133,controls
67,548,0,0.0,controls
68,548,0,0.0,controls
69,548,1,0.0018248175182481751,controls
70,547,0,0.0,controls
71,547,0,0.0,controls
72,547,2,0.003656307129798903,controls
73,545,0,0.0,controls
74,545,0,0.0,controls
75,545,0,0.0,controls
76,545,1,0.001834862385321101,controls
77,544,0,0.0,controls
78,544,0,0.0,controls
79,544,0,0.0,controls
80,544,0,0.0,controls
81,544,0,0.0,controls
