window_x,window_y,year,n,sign_secondary,sign_realized_vol,sign_range_expansion
0,48,2020,20,0.0,1.0,1.0
0,48,2021,15,-1.0,1.0,-1.0
0,48,2022,27,1.0,1.0,1.0
0,48,2023,47,1.0,1.0,1.0
0,48,2024,21,-1.0,1.0,-1.0
0,48,2025,17,1.0,1.0,1.0
0,96,2020,20,1.0,1.0,1.0
0,96,2021,15,0.0,1.0,1.0
0,96,2022,27,1.0,1.0,1.0
0,96,2023,47,1.0,1.0,1.0
0,96,2024,21,1.0,1.0,1.0
0,96,2025,17,1.0,1.0,1.0
24,96,2020,20,1.0,1.0,1.0
24,96,2021,15,-1.0,1.0,1.0
24,96,2022,27,1.0,1.0,1.0
24,96,2023,47,1.0,1.0,1.0
24,96,2024,21,1.0,1.0,1.0
24,96,2025,17,1.0,1.0,1.0
48,144,2020,20,1.0,1.0,1.0
48,144,2021,15,-1.0,-1.0,-1.0
48,144,2022,27,1.0,1.0,1.0
48,144,2023,47,-1.0,1.0,-1.0
48,144,2024,21,1.0,1.0,1.0
48,144,2025,17,-1.0,1.0,1.0
