age,at_risk,hits,hazard,hazard_control,hazard_delta,symbol,outcome
1,78,2,0.02564102564102564,0.0,0.02564102564102564,BTCUSDT,secondary_shock
2,76,4,0.05263157894736842,0.0,0.05263157894736842,BTCUSDT,secondary_shock
3,72,5,0.06944444444444445,0.0,0.06944444444444445,BTCUSDT,secondary_shock
4,67,2,0.029850746268656716,0.0,0.029850746268656716,BTCUSDT,secondary_shock
5,65,5,0.07692307692307693,0.0,0.07692307692307693,BTCUSDT,secondary_shock
6,60,2,0.03333333333333333,0.0,0.03333333333333333,BTCUSDT,secondary_shock
7,58,5,0.08620689655172414,0.0,0.08620689655172414,BTCUSDT,secondary_shock
8,53,4,0.07547169811320754,0.0,0.07547169811320754,BTCUSDT,secondary_shock
9,49,6,0.12244897959183673,0.0,0.12244897959183673,BTCUSDT,secondary_shock
10,43,10,0.23255813953488372,0.0,0.23255813953488372,BTCUSDT,secondary_shock
11,33,11,0.3333333333333333,0.002564102564102564,0.33076923076923076,BTCUSDT,secondary_shock
12,22,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
13,22,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
14,22,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
15,22,1,0.045454545454545456,0.0,0.045454545454545456,BTCUSDT,secondary_shock
16,21,1,0.047619047619047616,0.0,0.047619047619047616,BTCUSDT,secondary_shock
17,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
18,20,0,0.0,0.002570694087403599,-0.002570694087403599,BTCUSDT,secondary_shock
19,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
20,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
21,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
22,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
23,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
24,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
25,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
26,20,1,0.05,0.0,0.05,BTCUSDT,secondary_shock
27,19,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
28,19,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
29,19,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
30,19,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
31,19,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
32,19,1,0.05263157894736842,0.0,0.05263157894736842,BTCUSDT,secondary_shock
33,18,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
34,18,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
35,18,0,0.0,0.002577319587628866,-0.002577319587628866,BTCUSDT,secondary_shock
36,18,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
37,18,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
38,18,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
39,18,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
40,18,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
41,18,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
42,18,1,0.05555555555555555,0.0,0.05555555555555555,BTCUSDT,secondary_shock
43,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
44,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
45,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
46,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
47,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
48,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
49,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
50,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
51,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
52,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
53,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
54,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
55,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
56,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
57,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
58,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
59,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
60,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
61,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
62,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
63,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
64,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
65,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
66,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
67,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
68,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
69,17,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
70,17,1,0.058823529411764705,0.0,0.058823529411764705,BTCUSDT,secondary_shock
71,16,0,0.0,0.002583979328165375,-0.002583979328165375,BTCUSDT,secondary_shock
72,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
73,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
74,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
75,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
76,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
77,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
78,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
79,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
80,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
81,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
82,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
83,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
84,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
85,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
86,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
87,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
88,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
89,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
90,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
91,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
92,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
93,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
94,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
95,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
96,16,0,0.0,0.0025906735751295338,-0.0025906735751295338,BTCUSDT,secondary_shock
1,78,64,0.8205128205128205,0.010256410256410256,0.8102564102564103,BTCUSDT,range_expansion
2,14,0,0.0,0.0051813471502590676,-0.0051813471502590676,BTCUSDT,range_expansion
3,14,2,0.14285714285714285,0.010416666666666666,0.1324404761904762,BTCUSDT,range_expansion
4,12,2,0.16666666666666666,0.013157894736842105,0.15350877192982454,BTCUSDT,range_expansion
5,10,0,0.0,0.024,-0.024,BTCUSDT,range_expansion
6,10,1,0.1,0.01366120218579235,0.08633879781420765,BTCUSDT,range_expansion
7,9,0,0.0,0.013850415512465374,-0.013850415512465374,BTCUSDT,range_expansion
8,9,0,0.0,0.02247191011235955,-0.02247191011235955,BTCUSDT,range_expansion
9,9,0,0.0,0.020114942528735632,-0.020114942528735632,BTCUSDT,range_expansion
10,9,0,0.0,0.011730205278592375,-0.011730205278592375,BTCUSDT,range_expansion
11,9,0,0.0,0.02373887240356083,-0.02373887240356083,BTCUSDT,range_expansion
12,9,0,0.0,0.02127659574468085,-0.02127659574468085,BTCUSDT,range_expansion
13,9,0,0.0,0.012422360248447204,-0.012422360248447204,BTCUSDT,range_expansion
14,9,1,0.1111111111111111,0.02830188679245283,0.08280922431865828,BTCUSDT,range_expansion
15,8,0,0.0,0.025889967637540454,-0.025889967637540454,BTCUSDT,range_expansion
16,8,0,0.0,0.009966777408637873,-0.009966777408637873,BTCUSDT,range_expansion
17,8,0,0.0,0.030201342281879196,-0.030201342281879196,BTCUSDT,range_expansion
18,8,1,0.125,0.01384083044982699,0.111159169550173,BTCUSDT,range_expansion
19,7,1,0.14285714285714285,0.017543859649122806,0.12531328320802004,BTCUSDT,range_expansion
20,6,0,0.0,0.02142857142857143,-0.02142857142857143,BTCUSDT,range_expansion
21,6,0,0.0,0.010948905109489052,-0.010948905109489052,BTCUSDT,range_expansion
22,6,0,0.0,0.01845018450184502,-0.01845018450184502,BTCUSDT,range_expansion
23,6,1,0.16666666666666666,0.03007518796992481,0.13659147869674185,BTCUSDT,range_expansion
24,5,1,0.2,0.015503875968992248,0.18449612403100776,BTCUSDT,range_expansion
25,4,0,0.0,0.011811023622047244,-0.011811023622047244,BTCUSDT,range_expansion
26,4,0,0.0,0.01593625498007968,-0.01593625498007968,BTCUSDT,range_expansion
27,4,0,0.0,0.020242914979757085,-0.020242914979757085,BTCUSDT,range_expansion
28,4,0,0.0,0.02066115702479339,-0.02066115702479339,BTCUSDT,range_expansion
29,4,0,0.0,0.016877637130801686,-0.016877637130801686,BTCUSDT,range_expansion
30,4,0,0.0,0.008583690987124463,-0.008583690987124463,BTCUSDT,range_expansion
31,4,0,0.0,0.021645021645021644,-0.021645021645021644,BTCUSDT,range_expansion
32,4,0,0.0,0.022123893805309734,-0.022123893805309734,BTCUSDT,range_expansion
33,4,0,0.0,0.00904977375565611,-0.00904977375565611,BTCUSDT,range_expansion
34,4,0,0.0,0.0045662100456621,-0.0045662100456621,BTCUSDT,range_expansion
35,4,0,0.0,0.01834862385321101,-0.01834862385321101,BTCUSDT,range_expansion
36,4,0,0.0,0.009345794392523364,-0.009345794392523364,BTCUSDT,range_expansion
37,4,0,0.0,0.009433962264150943,-0.009433962264150943,BTCUSDT,range_expansion
38,4,0,0.0,0.01904761904761905,-0.01904761904761905,BTCUSDT,range_expansion
39,4,0,0.0,0.009708737864077669,-0.009708737864077669,BTCUSDT,range_expansion
40,4,0,0.0,0.00980392156862745,-0.00980392156862745,BTCUSDT,range_expansion
41,4,0,0.0,0.0297029702970297,-0.0297029702970297,BTCUSDT,range_expansion
42,4,0,0.0,0.00510204081632653,-0.00510204081632653,BTCUSDT,range_expansion
43,4,0,0.0,0.010256410256410256,-0.010256410256410256,BTCUSDT,range_expansion
44,4,0,0.0,0.010362694300518135,-0.010362694300518135,BTCUSDT,range_expansion
45,4,0,0.0,0.015706806282722512,-0.015706806282722512,BTCUSDT,range_expansion
46,4,0,0.0,0.010638297872340425,-0.010638297872340425,BTCUSDT,range_expansion
47,4,1,0.25,0.010752688172043012,0.239247311827957,BTCUSDT,range_expansion
48,3,0,0.0,0.016304347826086956,-0.016304347826086956,BTCUSDT,range_expansion
49,3,0,0.0,0.0,0.0,BTCUSDT,range_expansion
50,3,0,0.0,0.027624309392265192,-0.027624309392265192,BTCUSDT,range_expansion
51,3,0,0.0,0.017045454545454544,-0.017045454545454544,BTCUSDT,range_expansion
52,3,0,0.0,0.017341040462427744,-0.017341040462427744,BTCUSDT,range_expansion
53,3,0,0.0,0.01764705882352941,-0.01764705882352941,BTCUSDT,range_expansion
54,3,0,0.0,0.0,0.0,BTCUSDT,range_expansion
55,3,0,0.0,0.023952095808383235,-0.023952095808383235,BTCUSDT,range_expansion
56,3,0,0.0,0.006134969325153374,-0.006134969325153374,BTCUSDT,range_expansion
57,3,0,0.0,0.006172839506172839,-0.006172839506172839,BTCUSDT,range_expansion
58,3,0,0.0,0.018633540372670808,-0.018633540372670808,BTCUSDT,range_expansion
59,3,0,0.0,0.006329113924050633,-0.006329113924050633,BTCUSDT,range_expansion
60,3,1,0.3333333333333333,0.01910828025477707,0.31422505307855625,BTCUSDT,range_expansion
61,2,0,0.0,0.0,0.0,BTCUSDT,range_expansion
62,2,0,0.0,0.012987012987012988,-0.012987012987012988,BTCUSDT,range_expansion
63,2,0,0.0,0.013157894736842105,-0.013157894736842105,BTCUSDT,range_expansion
64,2,0,0.0,0.013333333333333334,-0.013333333333333334,BTCUSDT,range_expansion
65,2,0,0.0,0.0,0.0,BTCUSDT,range_expansion
66,2,0,0.0,0.006756756756756757,-0.006756756756756757,BTCUSDT,range_expansion
67,2,0,0.0,0.013605442176870748,-0.013605442176870748,BTCUSDT,range_expansion
68,2,0,0.0,0.020689655172413793,-0.020689655172413793,BTCUSDT,range_expansion
69,2,0,0.0,0.014084507042253521,-0.014084507042253521,BTCUSDT,range_expansion
70,2,0,0.0,0.02142857142857143,-0.02142857142857143,BTCUSDT,range_expansion
71,2,0,0.0,0.021897810218978103,-0.021897810218978103,BTCUSDT,range_expansion
72,2,0,0.0,0.007462686567164179,-0.007462686567164179,BTCUSDT,range_expansion
73,2,0,0.0,0.007518796992481203,-0.007518796992481203,BTCUSDT,range_expansion
74,2,0,0.0,0.022727272727272728,-0.022727272727272728,BTCUSDT,range_expansion
75,2,0,0.0,0.023255813953488372,-0.023255813953488372,BTCUSDT,range_expansion
76,2,0,0.0,0.023809523809523808,-0.023809523809523808,BTCUSDT,range_expansion
77,2,0,0.0,0.032520325203252036,-0.032520325203252036,BTCUSDT,range_expansion
78,2,0,0.0,0.025210084033613446,-0.025210084033613446,BTCUSDT,range_expansion
79,2,0,0.0,0.02586206896551724,-0.02586206896551724,BTCUSDT,range_expansion
80,2,0,0.0,0.008849557522123894,-0.008849557522123894,BTCUSDT,range_expansion
81,2,0,0.0,0.008928571428571428,-0.008928571428571428,BTCUSDT,range_expansion
82,2,0,0.0,0.04504504504504504,-0.04504504504504504,BTCUSDT,range_expansion
83,2,0,0.0,0.009433962264150943,-0.009433962264150943,BTCUSDT,range_expansion
84,2,0,0.0,0.009523809523809525,-0.009523809523809525,BTCUSDT,range_expansion
85,2,0,0.0,0.0,0.0,BTCUSDT,range_expansion
86,2,0,0.0,0.019230769230769232,-0.019230769230769232,BTCUSDT,range_expansion
