event_id,symbol,vsr_def_version,enter_idx,exit_idx,enter_ts,exit_ts,duration_bars,time_to_relax,rv_peak,t_rv_peak,rv_base_enter,rv_decay_half_life,auc_excess_rv,secondary_shock_within_h,time_to_secondary_shock,realized_vol_mean_96,realized_vol_p90_96,range_pct_96,relaxed_within_96,skew_returns_96,kurtosis_returns_96,tod_bucket,vol_regime_q,vol_regime,bull_bear,year,time_to_range_expansion
vsr_v1_BTCUSDT_000001,BTCUSDT,v1,1027,1076,2020-06-11 16:45:00+00:00,2020-06-12 05:00:00+00:00,50,49,0.013816699979420385,2,0.0011111291710099174,12.0,0.2403940277108361,1,3.0,0.0035894181164824544,0.013351705342855204,0.05448964605345588,1,-3.4977205434949643,37.431523086471245,16,0.0,low,bear,2020,1.0
vsr_v1_BTCUSDT_000002,BTCUSDT,v1,4830,4910,2020-07-21 07:30:00+00:00,2020-07-22 03:30:00+00:00,81,80,0.003486827471950901,10,0.0005839691265993091,12.0,0.08421090647438784,1,11.0,0.001452122801592998,0.0034205600505356954,0.023955435938088278,1,3.2880182236270867,21.23063320278599,7,0.0,low,bull,2020,19.0
vsr_v1_BTCUSDT_000003,BTCUSDT,v1,5320,5374,2020-07-26 10:00:00+00:00,2020-07-26 23:30:00+00:00,55,54,0.006059041257138967,10,0.0010442037289933148,12.0,0.17737073561393804,1,11.0,0.002872768013673088,0.005805569515612618,0.05490764534053722,1,2.0418692080140945,9.959153232425571,10,0.0,low,bull,2020,1.0
vsr_v1_BTCUSDT_000004,BTCUSDT,v1,5443,5553,2020-07-27 16:45:00+00:00,2020-07-28 20:15:00+00:00,111,110,0.010407608749082116,31,0.0015373107264717609,12.0,0.4202040191698249,0,,0.005869310924098822,0.008447869038904389,0.09850278746294262,0,0.7962258761402977,3.4666291354038488,16,1.0,low,bull,2020,1.0
vsr_v1_BTCUSDT_000005,BTCUSDT,v1,5970,5987,2020-08-02 04:30:00+00:00,2020-08-02 08:45:00+00:00,18,17,0.024475347469856645,8,0.0025082031393807436,12.0,0.31285194262301436,1,9.0,0.00553251563397499,0.02401481748974684,0.13629092808409232,1,-7.429676733188798,66.99206249086782,4,2.0,high,bear,2020,1.0
vsr_v1_BTCUSDT_000006,BTCUSDT,v1,6761,6796,2020-08-10 10:15:00+00:00,2020-08-10 19:00:00+00:00,36,35,0.012664585059702596,10,0.0019326785447940828,12.0,0.15167580068347708,1,11.0,0.003256168606438435,0.012415874235557007,0.054383080279867796,1,-5.566733361428351,49.72394535846244,10,1.0,low,bear,2020,1.0
vsr_v1_BTCUSDT_000007,BTCUSDT,v1,9117,9143,2020-09-03 23:15:00+00:00,2020-09-04 05:45:00+00:00,27,26,0.013759477330248132,11,0.0021212918812617406,12.0,0.36978680082554505,0,,0.005933069237812494,0.013281357838913342,0.07669331898963291,1,-2.1879983124866778,17.816368489289392,23,2.0,high,bear,2020,1.0
vsr_v1_BTCUSDT_000008,BTCUSDT,v1,12584,12603,2020-10-10 02:00:00+00:00,2020-10-10 06:45:00+00:00,20,19,0.007434567276972578,8,0.0010593954960596594,12.0,0.10913983646541009,1,9.0,0.0021582643763623397,0.007197685924826189,0.03678838491348718,1,5.80247720545197,47.86403531558596,2,0.0,low,bull,2020,1.0
vsr_v1_BTCUSDT_000009,BTCUSDT,v1,16342,16411,2020-11-18 05:30:00+00:00,2020-11-18 22:45:00+00:00,70,69,0.012987839459157725,3,0.0024166577017420993,12.0,0.28240895854980763,1,4.0,0.00532809026411125,0.011937552147430086,0.06152987177040456,1,-2.431658266149174,16.33707931979205,5,2.0,high,bull,2020,1.0
vsr_v1_BTCUSDT_000010,BTCUSDT,v1,17621,17661,2020-12-01 13:15:00+00:00,2020-12-01 23:15:00+00:00,41,40,0.01786084155239945,3,0.003276808381442219,12.0,0.3180229533404834,0,,0.006544289647463542,0.013152085695483052,0.07411394616519722,1,1.199382675469004,3.523033205144077,13,3.0,high,bear,2020,1.0
