symbol,shock_quantile,t_shock,event_count,min_events,meets_min_events,selected,selected_quantile,selected_t_shock,selected_event_count
BTCUSDT,0.95,2.640235582691044,566,50,True,False,0.995,5.1954302355886055,78
BTCUSDT,0.97,3.085146932739668,379,50,True,False,0.995,5.1954302355886055,78
BTCUSDT,0.98,3.4547203855993303,273,50,True,False,0.995,5.1954302355886055,78
BTCUSDT,0.99,4.260581698399657,146,50,True,False,0.995,5.1954302355886055,78
BTCUSDT,0.995,5.1954302355886055,78,50,True,True,0.995,5.1954302355886055,78
ETHUSDT,0.95,2.4574501730499994,582,50,True,False,0.995,4.856813912726702,77
ETHUSDT,0.97,2.865748434932284,393,50,True,False,0.995,4.856813912726702,77
ETHUSDT,0.98,3.2277309900536184,258,50,True,False,0.995,4.856813912726702,77
ETHUSDT,0.99,3.9751853944165996,150,50,True,False,0.995,4.856813912726702,77
ETHUSDT,0.995,4.856813912726702,77,50,True,True,0.995,4.856813912726702,77
