event_id,symbol,vsr_def_version,enter_idx,exit_idx,enter_ts,exit_ts,duration_bars,time_to_relax,rv_peak,t_rv_peak,rv_base_enter,rv_decay_half_life,auc_excess_rv,secondary_shock_within_h,time_to_secondary_shock,realized_vol_mean_96,realized_vol_p90_96,range_pct_96,relaxed_within_96,skew_returns_96,kurtosis_returns_96,tod_bucket,vol_regime_q,vol_regime,bull_bear,year,time_to_range_expansion
vsr_v1_BTCUSDT_000001,BTCUSDT,v1,769,783,2020-06-09 00:15:00+00:00,2020-06-09 03:45:00+00:00,15,14,0.006840283091595973,4,0.0014416103907276844,12.0,0.07836158527817236,1,5.0,0.001927583857346372,0.0065719484603746926,0.03415142046601256,1,-5.592885243127087,46.165113456592564,0,0.0,low,bear,2020,1.0
vsr_v1_BTCUSDT_000002,BTCUSDT,v1,939,964,2020-06-10 18:45:00+00:00,2020-06-11 01:00:00+00:00,26,25,0.00510402528288176,6,0.0010965829113930778,12.0,0.21438187671173575,1,7.0,0.0033015404020253075,0.005103688660798644,0.0971335862721364,1,-3.18415901694449,31.848174960524926,18,0.0,low,bull,2020,1.0
vsr_v1_BTCUSDT_000003,BTCUSDT,v1,1027,1076,2020-06-11 16:45:00+00:00,2020-06-12 05:00:00+00:00,50,49,0.013816699979420385,2,0.0011111291710099174,12.0,0.2403940277108361,1,3.0,0.0035894181164824544,0.013351705342855204,0.05448964605345588,1,-3.4977205434949634,37.431523086471245,16,0.0,low,bear,2020,1.0
vsr_v1_BTCUSDT_000004,BTCUSDT,v1,3043,3057,2020-07-02 16:45:00+00:00,2020-07-02 20:15:00+00:00,15,14,0.005364136505078212,3,0.0012037164985078635,5.0,0.037605003636088916,1,4.0,0.0013743345404819832,0.002620711633654221,0.019479866346718163,1,0.8221004520222511,6.159552228654521,16,0.0,low,bear,2020,
vsr_v1_BTCUSDT_000005,BTCUSDT,v1,4830,4910,2020-07-21 07:30:00+00:00,2020-07-22 03:30:00+00:00,81,80,0.0034868274719509016,10,0.000583969126599313,12.0,0.08421090647438764,1,11.0,0.0014521228015930002,0.0034205600505356963,0.023955435938088278,1,3.2880182236270867,21.230633202785995,7,0.0,low,bull,2020,19.0
vsr_v1_BTCUSDT_000006,BTCUSDT,v1,5320,5374,2020-07-26 10:00:00+00:00,2020-07-26 23:30:00+00:00,55,54,0.006059041257138968,10,0.001044203728993317,12.0,0.17737073561393804,1,11.0,0.00287276801367309,0.0058055695156126194,0.05490764534053722,1,2.0418692080140963,9.959153232425582,10,0.0,low,bull,2020,1.0
vsr_v1_BTCUSDT_000007,BTCUSDT,v1,5443,5553,2020-07-27 16:45:00+00:00,2020-07-28 20:15:00+00:00,111,110,0.010407608749082116,31,0.0015373107264717637,12.0,0.42020401916982475,1,32.0,0.0058693109240988235,0.00844786903890439,0.09850278746294262,0,0.7962258761402977,3.4666291354038496,16,1.0,low,bull,2020,1.0
vsr_v1_BTCUSDT_000008,BTCUSDT,v1,5970,5987,2020-08-02 04:30:00+00:00,2020-08-02 08:45:00+00:00,18,17,0.024475347469856648,8,0.0025082031393807453,12.0,0.3128519426230143,1,9.0,0.0055325156339749906,0.024014817489746848,0.13629092808409232,1,-7.429676733188799,66.99206249086784,4,2.0,high,bear,2020,1.0
vsr_v1_BTCUSDT_000009,BTCUSDT,v1,6761,6796,2020-08-10 10:15:00+00:00,2020-08-10 19:00:00+00:00,36,35,0.012664585059702596,10,0.0019326785447940833,12.0,0.15167580068347705,1,11.0,0.003256168606438435,0.012415874235557007,0.054383080279867796,1,-5.566733361428351,49.72394535846244,10,1.0,low,bear,2020,1.0
vsr_v1_BTCUSDT_000010,BTCUSDT,v1,9074,9112,2020-09-03 12:30:00+00:00,2020-09-03 22:00:00+00:00,39,38,0.008602036537339115,6,0.0019155835271491418,11.0,0.3530809819396425,1,7.0,0.005551633533715762,0.013281357838913346,0.09573793091916104,1,-3.851209124668512,29.898848204723624,12,1.0,low,bear,2020,11.0
