age,at_risk,hits,hazard,hazard_control,hazard_delta,symbol,outcome
1,147,5,0.034013605442176874,0.0,0.034013605442176874,BTCUSDT,secondary_shock
2,142,5,0.035211267605633804,0.0,0.035211267605633804,BTCUSDT,secondary_shock
3,137,9,0.06569343065693431,0.0,0.06569343065693431,BTCUSDT,secondary_shock
4,128,13,0.1015625,0.0,0.1015625,BTCUSDT,secondary_shock
5,115,11,0.09565217391304348,0.0,0.09565217391304348,BTCUSDT,secondary_shock
6,104,6,0.057692307692307696,0.0,0.057692307692307696,BTCUSDT,secondary_shock
7,98,15,0.15306122448979592,0.0,0.15306122448979592,BTCUSDT,secondary_shock
8,83,12,0.14457831325301204,0.0013605442176870747,0.14321776903532496,BTCUSDT,secondary_shock
9,71,9,0.1267605633802817,0.0027247956403269754,0.12403576773995471,BTCUSDT,secondary_shock
10,62,10,0.16129032258064516,0.0,0.16129032258064516,BTCUSDT,secondary_shock
11,52,13,0.25,0.001366120218579235,0.24863387978142076,BTCUSDT,secondary_shock
12,39,6,0.15384615384615385,0.0,0.15384615384615385,BTCUSDT,secondary_shock
13,33,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
14,33,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
15,33,1,0.030303030303030304,0.0,0.030303030303030304,BTCUSDT,secondary_shock
16,32,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
17,32,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
18,32,0,0.0,0.0013679890560875513,-0.0013679890560875513,BTCUSDT,secondary_shock
19,32,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
20,32,0,0.0,0.00410958904109589,-0.00410958904109589,BTCUSDT,secondary_shock
21,32,0,0.0,0.002751031636863824,-0.002751031636863824,BTCUSDT,secondary_shock
22,32,1,0.03125,0.0,0.03125,BTCUSDT,secondary_shock
23,31,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
24,31,0,0.0,0.001379310344827586,-0.001379310344827586,BTCUSDT,secondary_shock
25,31,0,0.0,0.0013812154696132596,-0.0013812154696132596,BTCUSDT,secondary_shock
26,31,1,0.03225806451612903,0.0,0.03225806451612903,BTCUSDT,secondary_shock
27,30,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
28,30,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
29,30,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
30,30,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
31,30,0,0.0,0.0013831258644536654,-0.0013831258644536654,BTCUSDT,secondary_shock
32,30,1,0.03333333333333333,0.0,0.03333333333333333,BTCUSDT,secondary_shock
33,29,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
34,29,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
35,29,1,0.034482758620689655,0.0,0.034482758620689655,BTCUSDT,secondary_shock
36,28,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
37,28,0,0.0,0.0013850415512465374,-0.0013850415512465374,BTCUSDT,secondary_shock
38,28,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
39,28,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
40,28,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
41,28,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
42,28,1,0.03571428571428571,0.0,0.03571428571428571,BTCUSDT,secondary_shock
43,27,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
44,27,0,0.0,0.0013869625520110957,-0.0013869625520110957,BTCUSDT,secondary_shock
45,27,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
46,27,0,0.0,0.002777777777777778,-0.002777777777777778,BTCUSDT,secondary_shock
47,27,0,0.0,0.001392757660167131,-0.001392757660167131,BTCUSDT,secondary_shock
48,27,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
49,27,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
50,27,1,0.037037037037037035,0.001394700139470014,0.035642336897567024,BTCUSDT,secondary_shock
51,26,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
52,26,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
53,26,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
54,26,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
55,26,1,0.038461538461538464,0.0,0.038461538461538464,BTCUSDT,secondary_shock
56,25,1,0.04,0.0,0.04,BTCUSDT,secondary_shock
57,24,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
58,24,1,0.041666666666666664,0.0,0.041666666666666664,BTCUSDT,secondary_shock
59,23,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
60,23,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
61,23,1,0.043478260869565216,0.0,0.043478260869565216,BTCUSDT,secondary_shock
62,22,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
63,22,1,0.045454545454545456,0.0,0.045454545454545456,BTCUSDT,secondary_shock
64,21,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
65,21,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
66,21,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
67,21,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
68,21,0,0.0,0.0013966480446927375,-0.0013966480446927375,BTCUSDT,secondary_shock
