split_name,split_value,metric,n,delta_mean,delta_ci_low,delta_ci_high,status
all,ALL,relaxed_within_96,2,0.0,0.0,0.0,includes_zero
all,ALL,auc_excess_rv,2,0.6225975643953088,0.5373580653455614,0.707837063445056,positive
all,ALL,rv_decay_half_life,2,22.0,20.0,24.0,positive
all,ALL,secondary_shock_within_h,2,1.0,1.0,1.0,positive
all,ALL,range_pct_96,2,0.040850369564463127,-0.026066573762685008,0.10776731289161126,includes_zero
symbol,BTCUSDT,relaxed_within_96,1,0.0,0.0,0.0,includes_zero
symbol,BTCUSDT,auc_excess_rv,1,0.707837063445056,0.707837063445056,0.707837063445056,positive
symbol,BTCUSDT,rv_decay_half_life,1,24.0,24.0,24.0,positive
symbol,BTCUSDT,secondary_shock_within_h,1,1.0,1.0,1.0,positive
symbol,BTCUSDT,range_pct_96,1,0.10776731289161126,0.10776731289161126,0.10776731289161126,positive
symbol,ETHUSDT,relaxed_within_96,1,0.0,0.0,0.0,includes_zero
symbol,ETHUSDT,auc_excess_rv,1,0.5373580653455614,0.5373580653455614,0.5373580653455614,positive
symbol,ETHUSDT,rv_decay_half_life,1,20.0,20.0,20.0,positive
symbol,ETHUSDT,secondary_shock_within_h,1,1.0,1.0,1.0,positive
symbol,ETHUSDT,range_pct_96,1,-0.026066573762685008,-0.026066573762685008,-0.026066573762685008,negative
bull_bear,bear,relaxed_within_96,1,0.0,0.0,0.0,includes_zero
bull_bear,bear,auc_excess_rv,1,0.707837063445056,0.707837063445056,0.707837063445056,positive
bull_bear,bear,rv_decay_half_life,1,24.0,24.0,24.0,positive
bull_bear,bear,secondary_shock_within_h,1,1.0,1.0,1.0,positive
bull_bear,bear,range_pct_96,1,0.10776731289161126,0.10776731289161126,0.10776731289161126,positive
bull_bear,bull,relaxed_within_96,1,0.0,0.0,0.0,includes_zero
bull_bear,bull,auc_excess_rv,1,0.5373580653455614,0.5373580653455614,0.5373580653455614,positive
bull_bear,bull,rv_decay_half_life,1,20.0,20.0,20.0,positive
bull_bear,bull,secondary_shock_within_h,1,1.0,1.0,1.0,positive
bull_bear,bull,range_pct_96,1,-0.026066573762685008,-0.026066573762685008,-0.026066573762685008,negative
vol_regime,low,relaxed_within_96,2,0.0,0.0,0.0,includes_zero
vol_regime,low,auc_excess_rv,2,0.6225975643953088,0.5373580653455614,0.707837063445056,positive
vol_regime,low,rv_decay_half_life,2,22.0,20.0,24.0,positive
vol_regime,low,secondary_shock_within_h,2,1.0,1.0,1.0,positive
vol_regime,low,range_pct_96,2,0.040850369564463127,-0.026066573762685008,0.10776731289161126,includes_zero
