event_id,control_idx,relaxed_within_96,auc_excess_rv,rv_decay_half_life,secondary_shock_within_h,time_to_secondary_shock,range_pct_96,time_to_range_expansion
vsr_v1_BTCUSDT_000001,16568,1,0.32571992128432775,24.0,0,,0.19915768963193237,1.0
vsr_v1_BTCUSDT_000001,3899,1,0.053236151443800644,3.0,0,,0.11001594008731931,1.0
vsr_v1_BTCUSDT_000001,37689,1,0.026789803491496803,0.0,0,,0.04374261086304046,8.0
vsr_v1_BTCUSDT_000001,25593,1,0.05965768388083838,9.0,0,,0.037899175500588925,5.0
vsr_v1_BTCUSDT_000001,65241,1,0.08012125000280082,12.0,0,,0.06049012511632716,1.0
vsr_v1_BTCUSDT_000002,1952,1,0.4872905182485366,0.0,0,,0.1698230073847831,2.0
vsr_v1_BTCUSDT_000002,25568,1,0.18052588065698139,0.0,0,,0.09797780490971235,4.0
vsr_v1_BTCUSDT_000002,37474,1,0.07697796649171863,0.0,0,,0.09088690481259748,10.0
vsr_v1_BTCUSDT_000002,12514,1,0.013376725093912443,0.0,0,,0.05822988885071802,14.0
vsr_v1_BTCUSDT_000002,1571,1,0.02944400939734126,0.0,0,,0.08730238646661967,1.0
vsr_v1_BTCUSDT_000003,16755,1,0.015139903652058907,0.0,0,,0.07885462153946662,10.0
vsr_v1_BTCUSDT_000003,4176,1,0.027944360519528432,0.0,0,,0.0766040117783643,1.0
vsr_v1_BTCUSDT_000003,2258,1,0.0,0.0,0,,0.09885797422871474,9.0
vsr_v1_BTCUSDT_000003,54387,1,0.0011127710224678117,0.0,0,,0.05921993594524631,7.0
vsr_v1_BTCUSDT_000003,3123,1,0.03382502098523402,0.0,0,,0.07396685604266723,6.0
vsr_v1_BTCUSDT_000004,26892,1,0.035973490440609476,0.0,0,,0.04758333581024849,19.0
vsr_v1_BTCUSDT_000004,52620,1,0.0014062575338870207,0.0,0,,0.044971207616988695,7.0
vsr_v1_BTCUSDT_000004,24302,1,0.0023485468277510183,0.0,0,,0.02784903457021088,27.0
vsr_v1_BTCUSDT_000004,32748,1,0.08778812930476955,0.0,0,,0.05309441603023909,30.0
vsr_v1_BTCUSDT_000004,54156,1,0.16667759807368307,2.0,0,,0.10116505117114036,3.0
vsr_v1_BTCUSDT_000005,3647,1,0.3654890040617567,0.0,0,,0.23447042092189682,11.0
vsr_v1_BTCUSDT_000005,5085,1,0.8393706674904928,0.0,0,,0.17728120750348178,3.0
vsr_v1_BTCUSDT_000005,4703,1,0.06210268167932946,0.0,0,,0.11201149948566148,9.0
vsr_v1_BTCUSDT_000005,6142,1,2.725729965092922e-05,0.0,0,,0.04434469508628398,19.0
vsr_v1_BTCUSDT_000005,2108,1,0.020661698213200998,0.0,0,,0.06330964018011441,4.0
vsr_v1_BTCUSDT_000006,16951,1,0.08837715104126022,14.0,0,,0.10003055195797136,4.0
vsr_v1_BTCUSDT_000006,10518,1,0.0005981208531792206,0.0,0,,0.049900150548824775,5.0
vsr_v1_BTCUSDT_000006,37111,1,0.07979343009068746,0.0,0,,0.05359546869434863,4.0
vsr_v1_BTCUSDT_000006,5142,1,0.44412812611353136,16.0,0,,0.1276856348107556,1.0
vsr_v1_BTCUSDT_000006,37589,1,0.04326906362587838,0.0,0,,0.05386289178080177,11.0
vsr_v1_BTCUSDT_000007,10873,1,0.0029509373417894915,0.0,0,,0.04675065780273553,11.0
vsr_v1_BTCUSDT_000007,3962,1,0.07566974126077185,0.0,0,,0.10848821108594799,13.0
vsr_v1_BTCUSDT_000007,14139,1,0.2283096673824589,0.0,0,,0.07272532778705318,4.0
vsr_v1_BTCUSDT_000007,21147,1,0.08698075625697019,0.0,0,,0.07935390576726566,9.0
vsr_v1_BTCUSDT_000007,13851,1,0.015148639804495087,0.0,0,,0.11144764599948549,6.0
vsr_v1_BTCUSDT_000008,21890,0,0.07589545911444048,0.0,0,,0.061105759029825034,5.0
vsr_v1_BTCUSDT_000008,23619,0,0.011950841127823183,1.0,0,,0.02446381803954355,66.0
vsr_v1_BTCUSDT_000008,59523,0,0.24194541644805903,0.0,1,57.0,0.13555322377990842,23.0
vsr_v1_BTCUSDT_000008,48961,0,0.1362072922052518,0.0,0,,0.06457944019297679,32.0
vsr_v1_BTCUSDT_000008,34273,0,0.022544420978663885,0.0,0,,0.028073897310675208,59.0
vsr_v1_BTCUSDT_000009,67547,0,0.04223043156528216,0.0,0,,0.02075205107481562,19.0
vsr_v1_BTCUSDT_000009,67640,0,0.026897339007781882,0.0,0,,0.027955318572925124,68.0
vsr_v1_BTCUSDT_000009,30010,0,0.07868518807731115,0.0,0,,0.04927550861398041,2.0
vsr_v1_BTCUSDT_000009,34425,0,0.02638746042849422,0.0,0,,0.03625612905920862,17.0
vsr_v1_BTCUSDT_000009,64857,0,0.14644941836957692,0.0,0,,0.07485469326278789,32.0
vsr_v1_BTCUSDT_000010,22708,1,0.07951554908502105,0.0,0,,0.06484296185079384,6.0
vsr_v1_BTCUSDT_000010,46422,1,0.028157954447905118,0.0,0,,0.03148782539129008,12.0
vsr_v1_BTCUSDT_000010,56791,1,0.06963161290443723,9.0,0,,0.02113303206405358,37.0
vsr_v1_BTCUSDT_000010,66390,1,0.038719391410315246,0.0,0,,0.02953325448093893,22.0
vsr_v1_BTCUSDT_000010,24438,1,0.11654137430465376,0.0,0,,0.05085738148378726,28.0
vsr_v1_BTCUSDT_000011,48963,1,0.13881114202595066,0.0,0,,0.06464255010477679,30.0
vsr_v1_BTCUSDT_000011,56929,1,0.04755494746120163,0.0,0,,0.05303918285331547,23.0
vsr_v1_BTCUSDT_000011,55491,1,0.07504135365752704,5.0,0,,0.036484824953083576,15.0
vsr_v1_BTCUSDT_000011,59522,1,0.2432736203103258,11.0,0,,0.1355855855855856,24.0
vsr_v1_BTCUSDT_000011,21794,1,0.0506193069923291,10.0,0,,0.05944895251223813,30.0
vsr_v1_BTCUSDT_000012,4457,1,0.10883603742821672,0.0,0,,0.0818053470529567,7.0
vsr_v1_BTCUSDT_000012,17707,1,0.011684474083136297,0.0,0,,0.05499286137513236,44.0
vsr_v1_BTCUSDT_000012,61193,1,0.07139391658685797,0.0,0,,0.056690759513771886,9.0
vsr_v1_BTCUSDT_000012,60617,1,0.0,0.0,0,,0.021994750656167978,44.0
vsr_v1_BTCUSDT_000012,7817,1,0.09408180412227397,0.0,0,,0.05685324618280886,8.0
vsr_v1_BTCUSDT_000013,55543,1,0.06701527084776865,0.0,0,,0.0434402959205613,3.0
vsr_v1_BTCUSDT_000013,57460,1,0.027287738792460374,0.0,0,,0.03184800501870225,12.0
vsr_v1_BTCUSDT_000013,36917,1,0.19656612262642947,0.0,0,,0.13912296122296394,5.0
vsr_v1_BTCUSDT_000013,57365,1,0.05901130972831316,0.0,0,,0.04420023735434013,30.0
vsr_v1_BTCUSDT_000013,31252,1,0.22991722044291774,0.0,1,7.0,0.07690546971553537,2.0
vsr_v1_BTCUSDT_000014,21967,1,0.0429485449907641,0.0,0,,0.040084264307019765,2.0
vsr_v1_BTCUSDT_000014,22158,1,0.03365203972330485,7.0,0,,0.06019130460109312,19.0
vsr_v1_BTCUSDT_000014,52494,1,0.014962468976000832,0.0,0,,0.03768114441332246,3.0
vsr_v1_BTCUSDT_000014,25902,1,0.054180903778683565,0.0,0,,0.05327553031181177,16.0
vsr_v1_BTCUSDT_000014,40205,1,0.21273852550973205,0.0,0,,0.09413701331749944,16.0
vsr_v1_BTCUSDT_000015,36040,1,0.07221028808618284,0.0,0,,0.04443140677990355,20.0
vsr_v1_BTCUSDT_000015,25098,1,0.09269347442170264,0.0,0,,0.07901476719139587,5.0
vsr_v1_BTCUSDT_000015,44491,1,0.0,0.0,0,,0.01738254069544284,
vsr_v1_BTCUSDT_000015,36331,1,0.04332382194163385,12.0,0,,0.04241584888165051,5.0
vsr_v1_BTCUSDT_000015,66376,1,0.03719638664242244,0.0,0,,0.029423139676822835,17.0
vsr_v1_BTCUSDT_000016,22708,1,0.07951554908502105,0.0,0,,0.06484296185079384,6.0
vsr_v1_BTCUSDT_000016,52276,1,0.07859905890425993,0.0,0,,0.07604600584280176,28.0
vsr_v1_BTCUSDT_000016,59191,1,0.030100656162604177,0.0,0,,0.035716326647236986,7.0
