event_id,symbol,vsr_def_version,enter_idx,exit_idx,enter_ts,exit_ts,duration_bars,time_to_relax,rv_peak,t_rv_peak,rv_base_enter,rv_decay_half_life,auc_excess_rv,secondary_shock_within_h,time_to_secondary_shock,realized_vol_mean_96,realized_vol_p90_96,range_pct_96,relaxed_within_96,skew_returns_96,kurtosis_returns_96,tod_bucket,vol_regime_q,vol_regime,bull_bear,year,time_to_range_expansion
vsr_v1_BTCUSDT_000001,BTCUSDT,v1,1017,1078,2021-01-11 14:15:00+00:00,2021-01-12 05:30:00+00:00,62,61,0.02900287611672738,10,0.006397209410703523,24.0,0.7626276678076889,1,11.0,0.014259350315937428,0.025998293166427548,0.1886839879154079,1,0.9904433685695951,2.4724376780442863,14,3.0,high,bear,2021,1.0
vsr_v1_BTCUSDT_000002,BTCUSDT,v1,2723,2800,2021-01-29 08:45:00+00:00,2021-01-30 04:00:00+00:00,78,77,0.03368476350329337,8,0.005394654695969976,12.0,0.6597023261849683,1,9.0,0.012165331357428222,0.02948178923443539,0.15913155214558242,1,2.4398791277353573,15.122452533809657,8,3.0,high,bull,2021,1.0
vsr_v1_BTCUSDT_000003,BTCUSDT,v1,3699,3727,2021-02-08 12:45:00+00:00,2021-02-08 19:45:00+00:00,29,28,0.02512224791421049,10,0.004032262737889964,12.0,0.5015157026918798,1,11.0,0.009202527714094912,0.022970458320347463,0.177546596913996,1,2.8852922000301975,17.816688333394058,12,3.0,high,bull,2021,1.0
vsr_v1_BTCUSDT_000004,BTCUSDT,v1,10285,10348,2021-04-18 03:15:00+00:00,2021-04-18 19:00:00+00:00,64,63,0.01977550640837848,11,0.002689783788035723,13.0,0.4313488411621819,1,12.0,0.007135653580201848,0.018666759083664334,0.15585072832986574,1,-2.7102192779667225,13.510927956156422,3,2.0,high,bear,2021,1.0
vsr_v1_BTCUSDT_000005,BTCUSDT,v1,12671,12701,2021-05-12 23:45:00+00:00,2021-05-13 07:15:00+00:00,31,30,0.0196783315642963,4,0.003681689139126417,13.0,0.45532137687663804,1,5.0,0.008375723952287634,0.016028387977925253,0.11903598210814796,1,-0.42648292788361936,2.223457734564349,23,3.0,high,bear,2021,1.0
vsr_v1_BTCUSDT_000006,BTCUSDT,v1,13300,13374,2021-05-19 13:00:00+00:00,2021-05-20 07:30:00+00:00,75,74,0.04411941508738316,8,0.0073579777780609186,19.0,1.0746331682560348,1,9.0,0.018436670234308703,0.03686040171936304,0.4131366349451357,1,0.01953744622456424,5.214491071276738,13,3.0,high,bear,2021,1.0
vsr_v1_BTCUSDT_000007,BTCUSDT,v1,16443,16531,2021-06-21 06:45:00+00:00,2021-06-22 04:45:00+00:00,89,88,0.014497492297230559,9,0.003593703390092743,11.0,0.44558220013985217,0,,0.008172103626888846,0.01233888630601553,0.0734542911202772,1,0.6597524821228846,1.813194646234812,6,3.0,high,bear,2021,1.0
vsr_v1_BTCUSDT_000008,BTCUSDT,v1,19779,19897,2021-07-26 00:45:00+00:00,2021-07-27 06:15:00+00:00,119,118,0.014466288229598475,5,0.0023089513472611643,13.0,0.4777530810847284,1,6.0,0.007234240842980014,0.013434485036104858,0.337335449309132,0,0.3789388917095543,4.836374303209006,0,1.0,low,bull,2021,1.0
vsr_v1_BTCUSDT_000009,BTCUSDT,v1,23963,24074,2021-09-07 14:45:00+00:00,2021-09-08 18:30:00+00:00,112,111,0.02060895453167596,10,0.0017819016956316786,13.0,0.4928084710626357,1,11.0,0.006862401397308334,0.018899119250455516,0.1652643423279838,0,-2.7457108930266645,15.527209783012704,14,0.0,low,bear,2021,1.0
vsr_v1_BTCUSDT_000010,BTCUSDT,v1,24534,24550,2021-09-13 13:30:00+00:00,2021-09-13 17:30:00+00:00,17,16,0.016012865396578486,2,0.0025724769591763405,14.0,0.19534804911788517,1,3.0,0.004262127129189102,0.013734222007529825,0.0779389349235067,1,-1.3545998579803946,31.13487394064318,13,1.0,low,bull,2021,1.0
