age,at_risk,hits,hazard,hazard_control,hazard_delta,symbol,outcome
1,55,2,0.03636363636363636,0.0,0.03636363636363636,BTCUSDT,secondary_shock
2,53,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
3,53,2,0.03773584905660377,0.0,0.03773584905660377,BTCUSDT,secondary_shock
4,51,1,0.0196078431372549,0.0,0.0196078431372549,BTCUSDT,secondary_shock
5,50,3,0.06,0.0,0.06,BTCUSDT,secondary_shock
6,47,3,0.06382978723404255,0.0,0.06382978723404255,BTCUSDT,secondary_shock
7,44,6,0.13636363636363635,0.0036363636363636364,0.13272727272727272,BTCUSDT,secondary_shock
8,38,3,0.07894736842105263,0.0,0.07894736842105263,BTCUSDT,secondary_shock
9,35,4,0.11428571428571428,0.0,0.11428571428571428,BTCUSDT,secondary_shock
10,31,6,0.1935483870967742,0.0,0.1935483870967742,BTCUSDT,secondary_shock
11,25,5,0.2,0.0,0.2,BTCUSDT,secondary_shock
12,20,4,0.2,0.0036496350364963502,0.19635036496350367,BTCUSDT,secondary_shock
13,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
14,16,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
15,16,1,0.0625,0.0,0.0625,BTCUSDT,secondary_shock
16,15,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
17,15,0,0.0,0.003663003663003663,-0.003663003663003663,BTCUSDT,secondary_shock
18,15,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
19,15,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
20,15,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
21,15,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
22,15,0,0.0,0.003676470588235294,-0.003676470588235294,BTCUSDT,secondary_shock
23,15,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
24,15,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
25,15,0,0.0,0.0036900369003690036,-0.0036900369003690036,BTCUSDT,secondary_shock
26,15,1,0.06666666666666667,0.0,0.06666666666666667,BTCUSDT,secondary_shock
27,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
28,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
29,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
30,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
31,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
32,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
33,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
34,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
35,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
36,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
37,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
38,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
39,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
40,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
41,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
42,14,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
